Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.939866244792938,0.6854395866394043,0.0085,0.0109,0.0234,0.0085,0.013,0.0162,0.0192,0.0044,0.0046,0.0435,0.0895
ASLGCNSymmetric,2,15.93603104352951,0.29277729988098145,0.0104,0.0137,0.0284,0.0104,0.016,0.0192,0.0231,0.0055,0.0058,0.055,0.1115
ASLGCNSymmetric,3,15.93106335401535,0.2875854969024658,0.0141,0.0196,0.0339,0.0141,0.0195,0.0241,0.0279,0.0075,0.0068,0.0735,0.1305
ASLGCNSymmetric,4,15.923414826393127,0.28626441955566406,0.0172,0.0221,0.0383,0.0172,0.0236,0.0312,0.0357,0.0084,0.0078,0.082,0.1475
ASLGCNSymmetric,5,15.912657797336578,0.28530240058898926,0.0212,0.0255,0.0421,0.0212,0.0275,0.0392,0.0434,0.0103,0.0087,0.0985,0.1625
ASLGCNSymmetric,6,15.897748529911041,0.2858772277832031,0.0238,0.0291,0.0498,0.0238,0.0314,0.0433,0.0481,0.0116,0.0099,0.11,0.1815
ASLGCNSymmetric,7,15.877485275268555,0.2855520248413086,0.0251,0.0319,0.0535,0.0251,0.0333,0.0446,0.0499,0.0122,0.0108,0.1165,0.1955
ASLGCNSymmetric,8,15.851380288600922,0.2845785617828369,0.0271,0.0341,0.0551,0.0271,0.0347,0.0487,0.0534,0.0135,0.0107,0.1285,0.1955
ASLGCNSymmetric,9,15.817827463150024,0.2861058712005615,0.0277,0.0364,0.0585,0.0277,0.0358,0.0487,0.0536,0.0141,0.0112,0.134,0.206
ASLGCNSymmetric,10,15.778158187866211,0.28475260734558105,0.0292,0.0394,0.0597,0.0292,0.0368,0.0505,0.0554,0.0147,0.0115,0.139,0.2095
ASLGCNSymmetric,11,15.73062127828598,0.2846362590789795,0.0294,0.0402,0.0598,0.0294,0.0368,0.0503,0.0551,0.0149,0.0116,0.1405,0.2115
ASLGCNSymmetric,12,15.675519287586212,0.2855663299560547,0.0291,0.0389,0.0603,0.0291,0.0369,0.0508,0.0556,0.0144,0.0114,0.135,0.2065
ASLGCNSymmetric,13,15.611155927181244,0.282484769821167,0.0292,0.0391,0.0603,0.0292,0.0369,0.0508,0.0557,0.0145,0.0114,0.1345,0.208
ASLGCNSymmetric,14,15.53892868757248,0.28363847732543945,0.0287,0.0378,0.0597,0.0287,0.0367,0.0502,0.0553,0.0139,0.0114,0.1305,0.207
ASLGCNSymmetric,15,15.458814263343811,0.2817816734313965,0.0276,0.0361,0.0581,0.0276,0.0357,0.0489,0.0539,0.0133,0.0109,0.125,0.1985
ASLGCNSymmetric,16,15.371314227581024,0.2811431884765625,0.0269,0.0358,0.0578,0.0269,0.0351,0.0474,0.0525,0.0131,0.0111,0.1245,0.2015
ASLGCNSymmetric,17,15.274018108844757,0.4006667137145996,0.026,0.0338,0.0588,0.026,0.035,0.0464,0.0517,0.0127,0.011,0.1195,0.198
ASLGCNSymmetric,18,15.166213512420654,0.289661169052124,0.0262,0.0349,0.059,0.0262,0.0349,0.0455,0.0506,0.013,0.0111,0.123,0.199
ASLGCNSymmetric,19,15.054338455200195,0.28253793716430664,0.0259,0.0335,0.0567,0.0259,0.0343,0.0458,0.0509,0.0125,0.0107,0.1195,0.195
ASLGCNSymmetric,20,14.933782398700714,0.2820098400115967,0.0259,0.0341,0.0567,0.0259,0.034,0.045,0.0498,0.0128,0.0107,0.1225,0.195
ASLGCNSymmetric,21,14.804879069328308,0.2811141014099121,0.0259,0.0346,0.0564,0.0259,0.0339,0.0443,0.0492,0.0127,0.0107,0.1215,0.196
ASLGCNSymmetric,22,14.664588570594788,0.28139805793762207,0.0255,0.034,0.0559,0.0255,0.0333,0.0437,0.0484,0.0127,0.0105,0.1215,0.1935
