Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.940008819103241,0.5542747974395752,0.0101,0.0141,0.0244,0.0101,0.014,0.0184,0.0211,0.0055,0.0049,0.0555,0.0945
HAGNGlobal,2,15.936074316501617,0.28854966163635254,0.013,0.0174,0.0291,0.013,0.0175,0.023,0.0262,0.0066,0.006,0.066,0.113
HAGNGlobal,3,15.930786788463593,0.2886805534362793,0.0151,0.0199,0.0331,0.0151,0.0202,0.0272,0.0306,0.0074,0.0066,0.074,0.1255
HAGNGlobal,4,15.922755658626556,0.3069143295288086,0.0174,0.0233,0.0348,0.0174,0.0219,0.0308,0.0341,0.0085,0.007,0.0835,0.133
HAGNGlobal,5,15.910623908042908,0.2997896671295166,0.0185,0.0241,0.0395,0.0185,0.0242,0.0325,0.0364,0.0092,0.0077,0.09,0.147
HAGNGlobal,6,15.893340528011322,0.29996442794799805,0.0193,0.0246,0.0408,0.0193,0.0254,0.0342,0.0382,0.009,0.0078,0.089,0.147
HAGNGlobal,7,15.86985957622528,0.2997097969055176,0.0189,0.0257,0.0419,0.0189,0.025,0.0311,0.0353,0.0092,0.008,0.089,0.15
HAGNGlobal,8,15.83890426158905,0.3010528087615967,0.0174,0.023,0.0401,0.0174,0.0239,0.0294,0.034,0.0081,0.0077,0.079,0.1455
HAGNGlobal,9,15.799521446228027,0.30020856857299805,0.0158,0.0223,0.037,0.0158,0.0213,0.0251,0.0287,0.0078,0.007,0.077,0.132
HAGNGlobal,10,15.750629663467407,0.29944372177124023,0.0144,0.0197,0.0335,0.0144,0.0195,0.0237,0.0271,0.0071,0.0063,0.0695,0.119
HAGNGlobal,11,15.692231118679047,0.2992560863494873,0.0122,0.0164,0.0316,0.0122,0.0177,0.0199,0.0234,0.0062,0.0059,0.061,0.1125
HAGNGlobal,12,15.623760282993317,0.29883480072021484,0.0108,0.015,0.0287,0.0108,0.0158,0.017,0.0204,0.0055,0.0054,0.054,0.104
HAGNGlobal,13,15.547256767749786,0.30081987380981445,0.0104,0.0143,0.0273,0.0104,0.0153,0.0168,0.0202,0.0052,0.0052,0.0505,0.1
HAGNGlobal,14,15.458401620388031,0.2983846664428711,0.0103,0.0148,0.0257,0.0103,0.0143,0.0159,0.0187,0.0054,0.005,0.054,0.097
HAGNGlobal,15,15.364026665687561,0.29459238052368164,0.0092,0.0126,0.0232,0.0092,0.0132,0.0147,0.0175,0.0047,0.0045,0.047,0.087
HAGNGlobal,16,15.259097576141357,0.2832052707672119,0.0086,0.0115,0.0228,0.0086,0.013,0.0141,0.0174,0.0042,0.0045,0.042,0.0895
HAGNGlobal,17,15.142906904220581,0.42279744148254395,0.0083,0.0119,0.0223,0.0083,0.0123,0.013,0.016,0.0044,0.0045,0.0435,0.0875
