Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,31.188241124153137,0.7686612606048584,0.007,0.0062,0.0108,0.007,0.0087,0.0191,0.022,0.0055,0.005,0.054,0.0955
ASLGCNSymmetric,2,31.178057432174683,0.575275182723999,0.0087,0.0074,0.0128,0.0087,0.0104,0.0233,0.0264,0.007,0.0061,0.0685,0.1145
ASLGCNSymmetric,3,31.158596456050873,0.5762596130371094,0.0091,0.0077,0.0141,0.0091,0.0115,0.025,0.0289,0.0075,0.0071,0.0745,0.1325
ASLGCNSymmetric,4,31.122488617897034,0.5752458572387695,0.01,0.0084,0.0156,0.01,0.0128,0.0275,0.0321,0.0081,0.0078,0.078,0.146
ASLGCNSymmetric,5,31.06327784061432,0.5735454559326172,0.0096,0.0081,0.0149,0.0096,0.0122,0.0269,0.0313,0.0077,0.0075,0.074,0.1395
ASLGCNSymmetric,6,30.97543627023697,0.5787076950073242,0.01,0.0082,0.0143,0.01,0.0119,0.0274,0.0307,0.0082,0.0071,0.0805,0.1305
ASLGCNSymmetric,7,30.854770720005035,0.574514627456665,0.0091,0.0071,0.0132,0.0091,0.0114,0.0263,0.0298,0.0071,0.0066,0.07,0.1215
ASLGCNSymmetric,8,30.6965314745903,0.5725870132446289,0.009,0.007,0.0132,0.009,0.0113,0.0258,0.0295,0.0068,0.0065,0.0665,0.1215
ASLGCNSymmetric,9,30.502648770809174,0.5731997489929199,0.0085,0.0069,0.0129,0.0085,0.0108,0.0236,0.0273,0.0066,0.0063,0.0645,0.118
ASLGCNSymmetric,10,30.269220173358917,0.5818257331848145,0.0081,0.0064,0.0118,0.0081,0.01,0.0228,0.026,0.0065,0.0058,0.0635,0.1105
ASLGCNSymmetric,11,29.998777747154236,0.5737321376800537,0.0081,0.0067,0.0112,0.0081,0.0098,0.0225,0.0255,0.0064,0.0056,0.063,0.108
ASLGCNSymmetric,12,29.691082179546356,0.5596861839294434,0.0075,0.0063,0.0107,0.0075,0.0092,0.0208,0.0238,0.006,0.0053,0.059,0.102
ASLGCNSymmetric,13,29.354793548583984,0.58392333984375,0.0073,0.0061,0.0106,0.0073,0.0091,0.0204,0.0234,0.0059,0.0053,0.057,0.102
ASLGCNSymmetric,14,28.973086714744568,0.5583820343017578,0.0075,0.0058,0.0103,0.0075,0.0091,0.0215,0.0244,0.0058,0.0052,0.057,0.099
ASLGCNSymmetric,15,28.58377915620804,0.5561535358428955,0.0077,0.006,0.0102,0.0077,0.0091,0.0227,0.0253,0.0059,0.0051,0.059,0.098
ASLGCNSymmetric,16,28.163570821285248,0.5510244369506836,0.0074,0.0061,0.0101,0.0074,0.0088,0.0212,0.0239,0.006,0.0051,0.059,0.098
ASLGCNSymmetric,17,27.701969861984253,0.5509545803070068,0.0075,0.0063,0.0104,0.0075,0.009,0.0214,0.0241,0.006,0.0052,0.06,0.1
