Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,4.849065542221069,0.3214433193206787,0.1437,0.2168,0.2786,0.1437,0.1598,0.1274,0.1323,0.0244,0.0159,0.2421,0.3142
HAGNFixed,2,4.846936225891113,0.12472319602966309,0.1734,0.2602,0.3308,0.1734,0.1921,0.1559,0.1615,0.0293,0.019,0.2916,0.3742
HAGNFixed,3,4.844252586364746,0.12927699089050293,0.1989,0.2965,0.3762,0.1989,0.2203,0.1794,0.1859,0.0336,0.0219,0.3327,0.4272
HAGNFixed,4,4.840825796127319,0.1256084442138672,0.2199,0.3267,0.4075,0.2199,0.2417,0.1984,0.2051,0.0372,0.0237,0.3677,0.4617
HAGNFixed,5,4.8363037109375,0.12680697441101074,0.2393,0.3583,0.435,0.2393,0.2602,0.215,0.2215,0.0407,0.0255,0.4007,0.4932
HAGNFixed,6,4.8306058049201965,0.12897181510925293,0.2544,0.3739,0.4603,0.2544,0.2777,0.2312,0.2382,0.0429,0.0271,0.4197,0.5213
HAGNFixed,7,4.823332607746124,0.127593994140625,0.2638,0.3854,0.4771,0.2638,0.2886,0.24,0.2475,0.0442,0.0281,0.4317,0.5398
HAGNFixed,8,4.81436550617218,0.1252574920654297,0.273,0.3982,0.4883,0.273,0.2973,0.2491,0.2563,0.0456,0.0288,0.4452,0.5503
HAGNFixed,9,4.803453147411346,0.12199592590332031,0.2782,0.4032,0.4971,0.2782,0.3036,0.2548,0.2623,0.0462,0.0294,0.4517,0.5603
HAGNFixed,10,4.790331244468689,0.1266026496887207,0.2838,0.4117,0.5019,0.2838,0.3083,0.2595,0.2666,0.0472,0.0298,0.4607,0.5638
HAGNFixed,11,4.775090873241425,0.12789607048034668,0.2838,0.4135,0.5099,0.2838,0.3099,0.2587,0.2664,0.0473,0.0303,0.4607,0.5748
HAGNFixed,12,4.757008969783783,0.12692523002624512,0.2839,0.4131,0.5139,0.2839,0.3114,0.2591,0.2673,0.0473,0.0307,0.4607,0.5808
HAGNFixed,13,4.737137854099274,0.1289355754852295,0.2818,0.4098,0.5149,0.2818,0.3106,0.2568,0.2653,0.0468,0.0307,0.4572,0.5793
HAGNFixed,14,4.714236676692963,0.12964892387390137,0.2812,0.4124,0.5172,0.2812,0.3096,0.2553,0.2636,0.0471,0.0307,0.4602,0.5808
HAGNFixed,15,4.689090728759766,0.12696313858032227,0.2784,0.4119,0.5144,0.2784,0.3061,0.2517,0.2599,0.0471,0.0304,0.4597,0.5788
HAGNFixed,16,4.660836338996887,0.13363909721374512,0.2767,0.4114,0.5136,0.2767,0.3042,0.2496,0.2578,0.0471,0.0304,0.4597,0.5788
HAGNFixed,17,4.630297660827637,0.1268177032470703,0.277,0.4107,0.515,0.277,0.3053,0.2504,0.2589,0.0469,0.0305,0.4572,0.5808
HAGNFixed,18,4.596512079238892,0.12442469596862793,0.2766,0.409,0.5109,0.2766,0.3043,0.2498,0.2582,0.0467,0.0303,0.4557,0.5783
HAGNFixed,19,4.5615615248680115,0.12383270263671875,0.2753,0.4085,0.5108,0.2753,0.3031,0.2483,0.2566,0.0466,0.0303,0.4557,0.5773
HAGNFixed,20,4.522535920143127,0.1583247184753418,0.2738,0.4054,0.5066,0.2738,0.3013,0.2474,0.2556,0.0463,0.03,0.4527,0.5723
HAGNFixed,21,4.483289837837219,0.21595263481140137,0.2714,0.4014,0.5063,0.2714,0.2999,0.2453,0.2539,0.0459,0.03,0.4487,0.5718
HAGNFixed,22,4.440031468868256,0.32521605491638184,0.2707,0.4026,0.5049,0.2707,0.2984,0.244,0.2523,0.0461,0.0299,0.4507,0.5703
HAGNFixed,23,4.394497036933899,0.16426897048950195,0.267,0.3973,0.5018,0.267,0.2954,0.2404,0.2489,0.0455,0.0297,0.4452,0.5658
