Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,8.315104961395264,0.38361477851867676,0.038,0.0596,0.0911,0.038,0.0474,0.0394,0.0433,0.0098,0.0079,0.093,0.151
CSGCNNoWarmup,2,8.312592685222626,0.17500996589660645,0.05,0.0794,0.1172,0.05,0.0611,0.0515,0.056,0.013,0.01,0.126,0.192
CSGCNNoWarmup,3,8.309570789337158,0.17005014419555664,0.0613,0.0952,0.1434,0.0613,0.0756,0.0657,0.0713,0.0158,0.0124,0.153,0.235
CSGCNNoWarmup,4,8.305528998374939,0.17049646377563477,0.0732,0.1138,0.1621,0.0732,0.0878,0.079,0.0849,0.0188,0.0142,0.181,0.2655
CSGCNNoWarmup,5,8.300087213516235,0.16874122619628906,0.0832,0.1294,0.1779,0.0832,0.098,0.0893,0.0952,0.0215,0.0158,0.206,0.2915
CSGCNNoWarmup,6,8.292761445045471,0.16879534721374512,0.0913,0.139,0.1916,0.0913,0.1074,0.0999,0.1061,0.0235,0.0173,0.2255,0.3155
CSGCNNoWarmup,7,8.283295214176178,0.17022442817687988,0.0968,0.1464,0.2054,0.0968,0.1147,0.1057,0.1126,0.0247,0.0184,0.2355,0.3355
CSGCNNoWarmup,8,8.271259009838104,0.17070484161376953,0.1021,0.1543,0.2178,0.1021,0.1211,0.1111,0.1182,0.0262,0.0193,0.249,0.353
CSGCNNoWarmup,9,8.256546437740326,0.1708974838256836,0.1046,0.1597,0.2261,0.1046,0.1244,0.1124,0.1197,0.027,0.0201,0.256,0.3665
CSGCNNoWarmup,10,8.238199532032013,0.17148756980895996,0.1059,0.1595,0.229,0.1059,0.1265,0.1145,0.1219,0.0272,0.0203,0.259,0.37
CSGCNNoWarmup,11,8.216591596603394,0.1698758602142334,0.1053,0.1603,0.2311,0.1053,0.1264,0.1139,0.1214,0.0273,0.0204,0.2605,0.3695
CSGCNNoWarmup,12,8.189852774143219,0.16996383666992188,0.1062,0.1609,0.2301,0.1062,0.1269,0.1142,0.1218,0.0274,0.0204,0.2605,0.371
CSGCNNoWarmup,13,8.15967082977295,0.16892504692077637,0.1045,0.1587,0.2296,0.1045,0.1255,0.1123,0.1199,0.027,0.0202,0.2565,0.368
CSGCNNoWarmup,14,8.12521117925644,0.17623329162597656,0.1039,0.158,0.2238,0.1039,0.1233,0.1111,0.1182,0.0267,0.0196,0.253,0.358
CSGCNNoWarmup,15,8.085784316062927,0.2899818420410156,0.1015,0.1558,0.2172,0.1015,0.1197,0.1076,0.1145,0.0262,0.019,0.248,0.349
CSGCNNoWarmup,16,8.040997982025146,0.17210030555725098,0.0997,0.1538,0.2138,0.0997,0.1176,0.1051,0.1119,0.0258,0.0187,0.245,0.3405
CSGCNNoWarmup,17,7.991430044174194,0.17603468894958496,0.0987,0.1507,0.2097,0.0987,0.1164,0.1045,0.1112,0.0252,0.0183,0.2395,0.3355
CSGCNNoWarmup,18,7.936043798923492,0.17043781280517578,0.0966,0.1476,0.2072,0.0966,0.1144,0.1019,0.1085,0.0247,0.018,0.2355,0.331
CSGCNNoWarmup,19,7.87737363576889,0.17419648170471191,0.0944,0.1429,0.204,0.0944,0.1125,0.0999,0.1066,0.024,0.0177,0.2285,0.325
CSGCNNoWarmup,20,7.811963975429535,0.17204642295837402,0.0927,0.1405,0.1975,0.0927,0.1097,0.0977,0.1042,0.0235,0.0172,0.223,0.316
CSGCNNoWarmup,21,7.739037036895752,0.17604756355285645,0.0907,0.1366,0.1946,0.0907,0.108,0.0959,0.1023,0.0227,0.0169,0.2165,0.3085
CSGCNNoWarmup,22,7.663708329200745,0.17903780937194824,0.0906,0.1365,0.1905,0.0906,0.1067,0.0954,0.1014,0.0227,0.0166,0.2165,0.3045
CSGCNNoWarmup,23,7.58177262544632,0.17776179313659668,0.0887,0.1339,0.1898,0.0887,0.1054,0.0926,0.0989,0.0219,0.0165,0.2095,0.3025
