Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,12.474746525287628,0.42250680923461914,0.0099,0.0128,0.0242,0.0099,0.014,0.016,0.0185,0.0043,0.0041,0.0415,0.0795
HAGNFixed,2,12.472427427768707,0.24489426612854004,0.0102,0.0145,0.026,0.0102,0.0144,0.0155,0.0183,0.0042,0.0042,0.041,0.082
HAGNFixed,3,12.469138383865356,0.24382400512695312,0.01,0.0146,0.0285,0.01,0.0147,0.0149,0.0176,0.0048,0.0044,0.0465,0.087
HAGNFixed,4,12.463747799396515,0.3501625061035156,0.0096,0.0143,0.0268,0.0096,0.0139,0.0138,0.0163,0.0045,0.0043,0.0445,0.082
HAGNFixed,5,12.454561710357666,0.2442178726196289,0.0092,0.0144,0.024,0.0092,0.0126,0.0131,0.0152,0.0043,0.0038,0.042,0.073
HAGNFixed,6,12.440699994564056,0.2418200969696045,0.007,0.0104,0.0208,0.007,0.0107,0.0102,0.0123,0.0035,0.0035,0.0345,0.0665
HAGNFixed,7,12.424464762210846,0.24895405769348145,0.0067,0.0097,0.0185,0.0067,0.0098,0.0099,0.0119,0.0033,0.0031,0.0315,0.06
HAGNFixed,8,12.403766691684723,0.24492192268371582,0.0061,0.0094,0.0175,0.0061,0.009,0.0088,0.0105,0.0031,0.003,0.03,0.056
HAGNFixed,9,12.380707919597626,0.2497401237487793,0.0068,0.0111,0.0177,0.0068,0.0093,0.0093,0.0109,0.0034,0.003,0.033,0.0565
HAGNFixed,10,12.35840129852295,0.25157642364501953,0.006,0.01,0.0163,0.006,0.0084,0.0083,0.0099,0.0032,0.0029,0.031,0.054
HAGNFixed,11,12.34101128578186,0.2443699836730957,0.0055,0.0089,0.0157,0.0055,0.0081,0.0081,0.0099,0.003,0.0029,0.029,0.055
HAGNFixed,12,12.321545541286469,0.24418401718139648,0.0055,0.0088,0.0174,0.0055,0.0086,0.008,0.0098,0.0033,0.0031,0.032,0.059
HAGNFixed,13,12.312384128570557,0.24425816535949707,0.0058,0.0093,0.0167,0.0058,0.0086,0.0084,0.0101,0.0033,0.0031,0.0315,0.057
