Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,170364.62280273438,3.3925042152404785,0.1352,0.2035,0.2726,0.1352,0.1553,0.1443,0.1516,0.0348,0.0249,0.3113,0.4159
SimGCL,2,150946.57153320312,0.49016499519348145,0.1758,0.2607,0.3415,0.1758,0.1994,0.1874,0.1953,0.0433,0.0303,0.387,0.5009
SimGCL,3,145516.28540039062,0.37470078468322754,0.2047,0.2994,0.3845,0.2047,0.2298,0.2167,0.2249,0.0494,0.0338,0.4377,0.5533
SimGCL,4,141808.13891601562,0.37259340286254883,0.2291,0.3288,0.4139,0.2291,0.2541,0.2428,0.2509,0.0538,0.0363,0.4725,0.591
SimGCL,5,138936.72778320312,0.38245463371276855,0.2474,0.3471,0.4377,0.2474,0.2744,0.2648,0.2736,0.0565,0.0384,0.4954,0.6194
SimGCL,6,137133.2841796875,0.3775007724761963,0.263,0.3679,0.4548,0.263,0.289,0.2794,0.2878,0.0598,0.0398,0.5223,0.64
SimGCL,7,135798.45581054688,0.3833639621734619,0.2765,0.3873,0.4718,0.2765,0.3014,0.2925,0.3001,0.0633,0.0412,0.5496,0.6597
SimGCL,8,134606.47631835938,0.3818020820617676,0.2887,0.4007,0.4845,0.2887,0.3138,0.306,0.3137,0.0655,0.0425,0.5667,0.6762
SimGCL,9,133196.74755859375,0.3737211227416992,0.299,0.4112,0.4979,0.299,0.3251,0.3179,0.3255,0.0673,0.0438,0.5797,0.6896
SimGCL,10,132304.48193359375,0.3769962787628174,0.3084,0.4208,0.5099,0.3084,0.3352,0.3281,0.3361,0.0689,0.045,0.5916,0.7043
SimGCL,11,131550.70532226562,0.371260404586792,0.3174,0.4314,0.518,0.3174,0.3435,0.3376,0.3453,0.0708,0.0458,0.6041,0.7133
SimGCL,12,130778.4931640625,0.371171236038208,0.3249,0.4396,0.5256,0.3249,0.3509,0.3454,0.353,0.0724,0.0465,0.6139,0.7217
SimGCL,13,130357.00219726562,0.3873560428619385,0.3326,0.4498,0.5328,0.3326,0.3576,0.3531,0.3604,0.0741,0.0471,0.6264,0.7296
SimGCL,14,129570.85034179688,0.3747880458831787,0.3376,0.455,0.5404,0.3376,0.3635,0.3593,0.3668,0.075,0.0479,0.6319,0.738
