Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,1605682.2788085938,7.60849928855896,0.1463,0.1714,0.2421,0.1463,0.1657,0.2311,0.2402,0.0699,0.0519,0.4722,0.6048
SimGCL,2,1363509.7856445312,6.683026075363159,0.1694,0.1993,0.2749,0.1694,0.19,0.2621,0.2711,0.0777,0.0567,0.5256,0.655
SimGCL,3,1326712.6552734375,6.677534341812134,0.1838,0.2181,0.2942,0.1838,0.2047,0.2801,0.289,0.0826,0.0594,0.5561,0.6849
SimGCL,4,1305585.4189453125,6.675459623336792,0.1953,0.2311,0.3084,0.1953,0.2166,0.2945,0.3032,0.0859,0.0615,0.5751,0.7006
SimGCL,5,1291886.6982421875,6.676863670349121,0.2038,0.2399,0.3198,0.2038,0.2259,0.3055,0.3142,0.0882,0.063,0.5905,0.7161
SimGCL,6,1282664.1767578125,6.684528112411499,0.2118,0.2503,0.3285,0.2118,0.2336,0.3154,0.3241,0.0906,0.0644,0.6042,0.7278
SimGCL,7,1274373.9448242188,6.680805683135986,0.2178,0.2574,0.3364,0.2178,0.2398,0.3231,0.3317,0.0927,0.0657,0.615,0.7387
SimGCL,8,1269777.8999023438,6.880751848220825,0.2232,0.264,0.3435,0.2232,0.2455,0.3299,0.3386,0.0943,0.0668,0.6242,0.7489
SimGCL,9,1264457.234375,6.680232048034668,0.2286,0.2691,0.3482,0.2286,0.2509,0.3368,0.3454,0.0959,0.0676,0.634,0.756
SimGCL,10,1260313.8310546875,6.6702821254730225,0.2328,0.2739,0.3518,0.2328,0.2548,0.3417,0.3501,0.0973,0.0682,0.6409,0.7599
SimGCL,11,1255537.1098632812,6.681375741958618,0.2367,0.2788,0.3556,0.2367,0.2583,0.3462,0.3542,0.0984,0.0686,0.6488,0.7635
SimGCL,12,1253590.1069335938,6.679561614990234,0.2394,0.2818,0.3587,0.2394,0.261,0.3493,0.3573,0.0988,0.0689,0.653,0.7671
SimGCL,13,1250811.4155273438,6.6749491691589355,0.2429,0.2854,0.3621,0.2429,0.2645,0.3545,0.3623,0.0995,0.0693,0.6571,0.7691
SimGCL,14,1248563.1137695312,6.674663305282593,0.2451,0.2881,0.3651,0.2451,0.2669,0.3573,0.3652,0.1,0.0696,0.6598,0.7732
SimGCL,15,1246192.6596679688,6.87264084815979,0.2476,0.29,0.3669,0.2476,0.2694,0.3606,0.3686,0.1004,0.0697,0.6618,0.7757
SimGCL,16,1244628.833984375,6.676260471343994,0.2498,0.2923,0.3692,0.2498,0.2717,0.3636,0.3716,0.1008,0.0701,0.6655,0.7794
SimGCL,17,1242961.9155273438,6.6688008308410645,0.2516,0.2938,0.371,0.2516,0.2736,0.3654,0.3733,0.1011,0.0702,0.6672,0.7806
SimGCL,18,1240953.2197265625,6.671200513839722,0.2533,0.2957,0.3718,0.2533,0.2751,0.3674,0.3753,0.1014,0.0703,0.669,0.7813
SimGCL,19,1240427.7646484375,6.668009042739868,0.2547,0.2967,0.3735,0.2547,0.2768,0.3694,0.3773,0.1013,0.0704,0.6702,0.7822
SimGCL,20,1238315.3911132812,6.666461944580078,0.2558,0.2983,0.3745,0.2558,0.2778,0.3708,0.3787,0.1016,0.0704,0.6711,0.7841
SimGCL,21,1237470.8076171875,6.671684503555298,0.2572,0.3002,0.3756,0.2572,0.2789,0.3718,0.3796,0.102,0.0706,0.6746,0.7863
SimGCL,22,1235691.7705078125,6.82196307182312,0.2578,0.3012,0.3764,0.2578,0.2796,0.3724,0.3802,0.1019,0.0705,0.6754,0.7864
SimGCL,23,1234698.4453125,6.685376405715942,0.2589,0.3022,0.3768,0.2589,0.2806,0.3741,0.382,0.1019,0.0704,0.6754,0.7876
SimGCL,24,1234316.4331054688,6.68053126335144,0.26,0.3039,0.3773,0.26,0.2814,0.3749,0.3826,0.1021,0.0703,0.6773,0.7879
SimGCL,25,1234195.5854492188,6.679305553436279,0.261,0.3049,0.3777,0.261,0.2822,0.3762,0.3838,0.1022,0.0701,0.6791,0.787
SimGCL,26,1232798.806640625,6.675821304321289,0.2617,0.3052,0.378,0.2617,0.2829,0.3771,0.3847,0.102,0.07,0.6792,0.7868
SimGCL,27,1231888.4916992188,6.666785478591919,0.2623,0.3058,0.3793,0.2623,0.2837,0.3776,0.3852,0.102,0.07,0.6803,0.7889
SimGCL,28,1230815.1171875,6.825062036514282,0.2628,0.3066,0.3802,0.2628,0.2843,0.3779,0.3856,0.102,0.0699,0.6803,0.7898
SimGCL,29,1230352.2939453125,6.668941020965576,0.2638,0.3076,0.3803,0.2638,0.2851,0.3794,0.3869,0.1018,0.0698,0.6825,0.7901
SimGCL,30,1230346.3940429688,6.669370889663696,0.2637,0.3078,0.3804,0.2637,0.285,0.3787,0.3863,0.1015,0.0695,0.6821,0.7894
SimGCL,31,1228917.3369140625,6.666798114776611,0.2643,0.3082,0.3806,0.2643,0.2856,0.3794,0.3869,0.1012,0.0693,0.682,0.7897
SimGCL,32,1229180.0107421875,6.664851903915405,0.2643,0.3083,0.3801,0.2643,0.2855,0.3786,0.3863,0.101,0.0691,0.6811,0.7899
SimGCL,33,1228553.4775390625,6.6693339347839355,0.2644,0.3087,0.3807,0.2644,0.2857,0.3782,0.3859,0.1009,0.0691,0.6814,0.7899
