Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,9.011523067951202,0.2931523323059082,0.0048,0.0064,0.0129,0.0048,0.0071,0.0076,0.0089,0.0019,0.002,0.0189,0.0395
BPR,2,8.996609926223755,0.14940547943115234,0.0043,0.0059,0.0131,0.0043,0.007,0.0069,0.0086,0.0018,0.0021,0.0178,0.0417
BPR,3,8.982328116893768,0.14002394676208496,0.0049,0.0069,0.0138,0.0049,0.0075,0.0078,0.0093,0.0022,0.0022,0.0217,0.0434
BPR,4,8.965136051177979,0.13842010498046875,0.0076,0.0102,0.0209,0.0076,0.0114,0.0123,0.0145,0.0034,0.0034,0.0339,0.0679
BPR,5,8.941073954105377,0.14068222045898438,0.0173,0.0233,0.0442,0.0173,0.0249,0.0279,0.0319,0.008,0.0075,0.0757,0.1358
BPR,6,8.90280133485794,0.13977789878845215,0.042,0.0552,0.0839,0.042,0.0528,0.0644,0.0688,0.0195,0.015,0.1597,0.2226
BPR,7,8.843108892440796,0.14241719245910645,0.0686,0.0862,0.135,0.0686,0.0866,0.1066,0.1127,0.0307,0.0237,0.2393,0.3272
BPR,8,8.749432146549225,0.136124849319458,0.0885,0.1126,0.1675,0.0885,0.1089,0.134,0.1408,0.0393,0.0291,0.2938,0.3923
BPR,9,8.604841947555542,0.13996076583862305,0.1021,0.13,0.1885,0.1021,0.1235,0.1531,0.1599,0.0451,0.0324,0.3361,0.4374
BPR,10,8.403736472129822,0.13533806800842285,0.112,0.1417,0.2067,0.112,0.1356,0.1676,0.1751,0.0487,0.0352,0.3617,0.4725
BPR,11,8.133115887641907,0.1353449821472168,0.1202,0.1502,0.2188,0.1202,0.1454,0.182,0.1901,0.0513,0.0371,0.3779,0.493
BPR,12,7.803602755069733,0.13507556915283203,0.1292,0.1613,0.2304,0.1292,0.1542,0.195,0.2026,0.0545,0.0385,0.3973,0.507
BPR,13,7.4302672147750854,0.13553905487060547,0.1354,0.1685,0.2388,0.1354,0.1607,0.2049,0.2119,0.0563,0.0395,0.414,0.5175
BPR,14,7.039325714111328,0.1349480152130127,0.1377,0.1715,0.2425,0.1377,0.1636,0.2068,0.214,0.0569,0.0401,0.419,0.5237
BPR,15,6.6309040784835815,0.13434934616088867,0.1414,0.175,0.2472,0.1414,0.1675,0.213,0.2202,0.058,0.0407,0.4263,0.5314
BPR,16,6.277887433767319,0.1386711597442627,0.1436,0.1777,0.2525,0.1436,0.1704,0.2156,0.2236,0.0587,0.0413,0.4257,0.5426
BPR,17,5.914967060089111,0.135514497756958,0.1468,0.182,0.256,0.1468,0.1733,0.2192,0.227,0.0602,0.0418,0.4335,0.5459
BPR,18,5.581191569566727,0.13550758361816406,0.1496,0.1861,0.2615,0.1496,0.1767,0.2217,0.2297,0.0612,0.0426,0.4407,0.5565
BPR,19,5.3092707097530365,0.13536763191223145,0.1513,0.1895,0.2639,0.1513,0.1782,0.2238,0.2317,0.062,0.043,0.4474,0.562
BPR,20,5.021127700805664,0.13577890396118164,0.1528,0.1919,0.267,0.1528,0.1799,0.2244,0.2326,0.0628,0.0435,0.4496,0.5676
BPR,21,4.796660602092743,0.13550209999084473,0.1548,0.1952,0.2714,0.1548,0.1823,0.2268,0.2348,0.0636,0.0441,0.4585,0.5737
BPR,22,4.5697181224823,0.13628363609313965,0.157,0.1992,0.2761,0.157,0.1845,0.2286,0.2367,0.0647,0.0445,0.4636,0.5804
BPR,23,4.39461162686348,0.14145278930664062,0.1592,0.2015,0.2781,0.1592,0.1867,0.2321,0.2401,0.0654,0.0448,0.4674,0.5799
BPR,24,4.2063630521297455,0.13513588905334473,0.1602,0.2024,0.281,0.1602,0.1884,0.2346,0.2425,0.0656,0.0453,0.4719,0.5843
BPR,25,4.057329326868057,0.1353294849395752,0.1612,0.2029,0.2816,0.1612,0.1896,0.236,0.2442,0.0657,0.0454,0.4719,0.5882
BPR,26,3.9121465384960175,0.24103021621704102,0.1614,0.2022,0.2837,0.1614,0.1906,0.2368,0.2451,0.0658,0.0457,0.4763,0.5943
BPR,27,3.762851655483246,0.13523292541503906,0.1629,0.2037,0.2845,0.1629,0.192,0.24,0.2483,0.0662,0.0458,0.4786,0.5965
BPR,28,3.6665670573711395,0.13533878326416016,0.1644,0.2061,0.2866,0.1644,0.1933,0.2422,0.2504,0.0667,0.046,0.4814,0.5988
BPR,29,3.538401633501053,0.13443922996520996,0.1662,0.2082,0.2885,0.1662,0.1951,0.2455,0.2537,0.0671,0.0463,0.4853,0.6055
