Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,78.34164869785309,1.9690980911254883,0.0398,0.0451,0.0704,0.0398,0.0469,0.0788,0.0847,0.0238,0.0188,0.1978,0.2836
DiffNet,2,60.002942234277725,1.6073024272918701,0.0401,0.0443,0.071,0.0401,0.0474,0.0802,0.0862,0.0239,0.019,0.1974,0.2855
DiffNet,3,58.950009405612946,1.6139006614685059,0.0411,0.0455,0.0698,0.0411,0.0479,0.0818,0.0876,0.0239,0.019,0.1987,0.2834
DiffNet,4,58.44936150312424,1.6066842079162598,0.0407,0.0457,0.0684,0.0407,0.0467,0.0809,0.086,0.0241,0.0185,0.2018,0.2772
DiffNet,5,57.770708441734314,1.5994267463684082,0.0408,0.045,0.0696,0.0408,0.0478,0.0822,0.088,0.0236,0.0189,0.1983,0.2842
DiffNet,6,56.57237857580185,1.6014151573181152,0.0403,0.0441,0.0705,0.0403,0.0479,0.0812,0.0873,0.0238,0.0193,0.1997,0.2891
DiffNet,7,54.573190450668335,1.7736103534698486,0.0427,0.0467,0.0726,0.0427,0.0501,0.0858,0.0919,0.0252,0.0203,0.2086,0.2976
DiffNet,8,51.98220694065094,1.5995147228240967,0.0442,0.0485,0.076,0.0442,0.0522,0.0884,0.0948,0.0262,0.0214,0.2154,0.308
DiffNet,9,49.359052896499634,1.6097412109375,0.0455,0.0508,0.0769,0.0455,0.0529,0.0894,0.0955,0.0277,0.022,0.2239,0.3128
DiffNet,10,46.99239295721054,1.6006944179534912,0.0463,0.0508,0.0797,0.0463,0.0545,0.0921,0.0985,0.0281,0.0228,0.2266,0.3206
DiffNet,11,44.9534792304039,1.5987465381622314,0.0467,0.0526,0.0809,0.0467,0.0549,0.0922,0.0988,0.0285,0.0231,0.2299,0.3253
DiffNet,12,43.103319585323334,1.635751485824585,0.0484,0.053,0.082,0.0484,0.0565,0.0954,0.1019,0.0295,0.0236,0.2323,0.3269
DiffNet,13,41.283869206905365,1.8376357555389404,0.0498,0.0549,0.0856,0.0498,0.0584,0.098,0.1046,0.0305,0.0245,0.243,0.3402
DiffNet,14,39.737477481365204,1.6344151496887207,0.0517,0.0564,0.0876,0.0517,0.0605,0.1019,0.1088,0.0314,0.0252,0.2456,0.3451
DiffNet,15,37.99219587445259,1.602379322052002,0.0522,0.0563,0.0897,0.0522,0.0616,0.1034,0.1104,0.0319,0.026,0.2499,0.351
DiffNet,16,36.43014778196812,1.6021020412445068,0.0531,0.0572,0.0911,0.0531,0.0624,0.1047,0.1116,0.0327,0.0263,0.2537,0.3542
DiffNet,17,34.943027809262276,1.6037213802337646,0.0544,0.0581,0.0917,0.0544,0.0636,0.1076,0.1144,0.0334,0.0267,0.2588,0.3582
DiffNet,18,33.49582462012768,1.5981993675231934,0.0561,0.0609,0.0942,0.0561,0.0653,0.1103,0.117,0.0343,0.0274,0.2654,0.3639
DiffNet,19,32.251983135938644,1.7695257663726807,0.0569,0.0615,0.095,0.0569,0.0662,0.1115,0.1182,0.0348,0.0279,0.2686,0.3658
DiffNet,20,30.881033450365067,1.6015162467956543,0.058,0.0626,0.0969,0.058,0.0674,0.1131,0.1198,0.0356,0.0283,0.2739,0.3707
DiffNet,21,29.82384502887726,1.6042449474334717,0.0583,0.0631,0.0988,0.0583,0.0684,0.1134,0.1206,0.0358,0.029,0.273,0.3763
DiffNet,22,28.620137259364128,1.6425459384918213,0.059,0.0643,0.099,0.059,0.0688,0.1147,0.1218,0.0361,0.0291,0.2757,0.3787
DiffNet,23,27.559567391872406,1.6685214042663574,0.0601,0.0656,0.1008,0.0601,0.0699,0.1169,0.1237,0.037,0.0295,0.2821,0.3815
DiffNet,24,26.48070552945137,1.631019115447998,0.0609,0.0667,0.1018,0.0609,0.0708,0.1184,0.1253,0.0375,0.0299,0.2858,0.3849
DiffNet,25,25.444354206323624,1.6094324588775635,0.0615,0.0659,0.1031,0.0615,0.072,0.1213,0.1286,0.0375,0.0303,0.2838,0.3887
DiffNet,26,24.646488204598427,1.7592828273773193,0.0627,0.067,0.1048,0.0627,0.0732,0.1218,0.1289,0.0385,0.0307,0.2874,0.3917
DiffNet,27,23.652518093585968,1.609156608581543,0.0637,0.068,0.1062,0.0637,0.0743,0.1236,0.1307,0.0391,0.0311,0.2934,0.3975
