Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.24693101644516,0.4842827320098877,0.0088,0.0134,0.0231,0.0088,0.0126,0.0142,0.0172,0.0048,0.0047,0.048,0.092
HAGN,2,15.243245720863342,0.2874774932861328,0.0105,0.0157,0.0272,0.0105,0.0149,0.0175,0.0206,0.006,0.0055,0.0605,0.107
HAGN,3,15.237950921058655,0.2857997417449951,0.0115,0.0171,0.0299,0.0115,0.0164,0.0193,0.0226,0.0063,0.006,0.0625,0.113
HAGN,4,15.229463517665863,0.287341833114624,0.0119,0.0163,0.0312,0.0119,0.0175,0.0218,0.0255,0.0064,0.0063,0.0635,0.12
HAGN,5,15.2159823179245,0.28530168533325195,0.011,0.0154,0.0273,0.011,0.0156,0.0192,0.0223,0.0062,0.0057,0.0605,0.108
HAGN,6,15.195191442966461,0.2845149040222168,0.0105,0.0148,0.0238,0.0105,0.0139,0.0188,0.021,0.006,0.0049,0.06,0.094
HAGN,7,15.164563357830048,0.2827324867248535,0.0091,0.0121,0.0221,0.0091,0.0128,0.0169,0.0194,0.005,0.0044,0.0495,0.086
HAGN,8,15.121742129325867,0.28376245498657227,0.0076,0.0113,0.0195,0.0076,0.0107,0.013,0.0151,0.0043,0.0038,0.042,0.073
HAGN,9,15.06651896238327,0.28244543075561523,0.0061,0.0097,0.017,0.0061,0.0089,0.0098,0.0119,0.0037,0.0034,0.0365,0.0655
HAGN,10,14.998226583003998,0.28608083724975586,0.0056,0.0084,0.015,0.0056,0.0082,0.0094,0.0112,0.0033,0.0031,0.033,0.061
HAGN,11,14.914659082889557,0.28273987770080566,0.0048,0.0073,0.0136,0.0048,0.0073,0.0081,0.0099,0.003,0.0028,0.0295,0.056
HAGN,12,14.823202311992645,0.28392529487609863,0.0041,0.0066,0.0128,0.0041,0.0066,0.0063,0.0083,0.0026,0.0028,0.026,0.0555
HAGN,13,14.72501027584076,0.28299927711486816,0.0041,0.006,0.0127,0.0041,0.0066,0.0067,0.0085,0.0026,0.0027,0.0265,0.0525
HAGN,14,14.622997045516968,0.2837061882019043,0.004,0.0054,0.0118,0.004,0.0064,0.0073,0.0088,0.0025,0.0025,0.0255,0.049
HAGN,15,14.513159930706024,0.283581018447876,0.0041,0.0052,0.0118,0.0041,0.0064,0.0075,0.009,0.0025,0.0025,0.0255,0.049
