Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.243109107017517,0.42600488662719727,0.0023,0.0027,0.0051,0.0023,0.0032,0.0042,0.005,0.0011,0.0012,0.011,0.023
DiffNet,2,15.202128291130066,0.24216222763061523,0.0023,0.003,0.0065,0.0023,0.0037,0.0042,0.0054,0.0013,0.0015,0.013,0.03
DiffNet,3,15.156441271305084,0.23678898811340332,0.0023,0.0033,0.0055,0.0023,0.0033,0.0038,0.0047,0.0014,0.0013,0.013,0.0255
DiffNet,4,15.095329105854034,0.2435588836669922,0.0021,0.0027,0.0051,0.0021,0.0031,0.0038,0.0046,0.0012,0.0012,0.012,0.0235
DiffNet,5,15.005497574806213,0.23737239837646484,0.0022,0.0029,0.0054,0.0022,0.0033,0.004,0.0049,0.0013,0.0012,0.0125,0.025
DiffNet,6,14.88237315416336,0.23463821411132812,0.0023,0.0026,0.0055,0.0023,0.0035,0.0044,0.0053,0.0012,0.0013,0.0115,0.0255
DiffNet,7,14.712254166603088,0.23695874214172363,0.0024,0.0029,0.0057,0.0024,0.0035,0.0047,0.0055,0.0012,0.0012,0.012,0.0245
DiffNet,8,14.499783873558044,0.23565983772277832,0.0024,0.0028,0.0053,0.0024,0.0034,0.0046,0.0054,0.0013,0.0013,0.013,0.0255
DiffNet,9,14.228209674358368,0.23807668685913086,0.0023,0.0028,0.0049,0.0023,0.0032,0.0043,0.0051,0.0013,0.0012,0.013,0.024
DiffNet,10,13.909668684005737,0.23604035377502441,0.0018,0.0023,0.005,0.0018,0.003,0.0034,0.0044,0.0011,0.0013,0.0105,0.025
DiffNet,11,13.544894218444824,0.24909138679504395,0.0017,0.002,0.005,0.0017,0.003,0.0034,0.0044,0.0009,0.0012,0.0085,0.0245
DiffNet,12,13.137301206588745,0.23765134811401367,0.0017,0.0023,0.0048,0.0017,0.0028,0.0034,0.0043,0.001,0.0012,0.01,0.023
DiffNet,13,12.705368995666504,0.24611616134643555,0.0019,0.0025,0.0053,0.0019,0.0031,0.0038,0.0047,0.0011,0.0012,0.011,0.024
DiffNet,14,12.264610946178436,0.23874211311340332,0.0018,0.0026,0.0053,0.0018,0.0029,0.0033,0.0041,0.0012,0.0012,0.0115,0.0245
DiffNet,15,11.804008841514587,0.23787832260131836,0.0018,0.0026,0.0051,0.0018,0.0028,0.0031,0.0039,0.0012,0.0012,0.011,0.023
DiffNet,16,11.345781743526459,0.23827052116394043,0.0018,0.0026,0.0049,0.0018,0.0027,0.003,0.0037,0.0012,0.0011,0.011,0.0215
DiffNet,17,10.894180297851562,0.23785829544067383,0.0017,0.0027,0.0051,0.0017,0.0027,0.0028,0.0035,0.0012,0.0011,0.011,0.022
DiffNet,18,10.466399520635605,0.2381591796875,0.0016,0.0025,0.0045,0.0016,0.0025,0.0028,0.0034,0.0011,0.0011,0.0105,0.0205
DiffNet,19,10.028208374977112,0.23857736587524414,0.0014,0.0024,0.0044,0.0014,0.0023,0.0022,0.0029,0.001,0.001,0.0095,0.0195
