Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,216578.08203125,0.7458522319793701,0.0694,0.0875,0.1306,0.0694,0.0859,0.1161,0.1251,0.0296,0.0235,0.2675,0.3955
SimGCL,2,188505.98559570312,0.36153101921081543,0.1057,0.1283,0.1787,0.1057,0.1248,0.1729,0.1828,0.0437,0.0321,0.3775,0.5185
SimGCL,3,182016.6015625,0.3606443405151367,0.1323,0.1589,0.2126,0.1323,0.1529,0.2128,0.2221,0.0537,0.0382,0.4505,0.585
SimGCL,4,177880.2236328125,0.3687326908111572,0.1513,0.1782,0.2412,0.1513,0.1752,0.241,0.2509,0.0604,0.0431,0.493,0.6345
SimGCL,5,174411.08728027344,0.3594691753387451,0.1672,0.198,0.2592,0.1672,0.1908,0.2629,0.2717,0.067,0.0464,0.533,0.6575
SimGCL,6,172020.8214111328,0.35794878005981445,0.1808,0.2124,0.2738,0.1808,0.2045,0.2827,0.2909,0.0722,0.0491,0.562,0.6805
SimGCL,7,170062.87072753906,0.3586540222167969,0.1903,0.2222,0.2888,0.1903,0.2161,0.2966,0.305,0.0757,0.0519,0.582,0.7
SimGCL,8,167688.38330078125,0.35790371894836426,0.2005,0.2365,0.3045,0.2005,0.2267,0.3082,0.3158,0.0809,0.0549,0.6115,0.724
SimGCL,9,166434.294921875,0.35769104957580566,0.209,0.2445,0.3172,0.209,0.2372,0.3218,0.3298,0.0838,0.0576,0.623,0.7385
SimGCL,10,165610.97534179688,0.3648817539215088,0.2158,0.252,0.3308,0.2158,0.2463,0.3312,0.339,0.0868,0.0602,0.642,0.756
SimGCL,11,164299.61181640625,0.35767388343811035,0.2251,0.2626,0.3403,0.2251,0.2552,0.3435,0.3515,0.0907,0.0619,0.658,0.7745
SimGCL,12,163968.62731933594,0.3576040267944336,0.2312,0.2706,0.352,0.2312,0.2629,0.3508,0.3594,0.0932,0.0641,0.664,0.788
SimGCL,13,162265.0255126953,0.3777177333831787,0.2391,0.279,0.3609,0.2391,0.271,0.3616,0.3699,0.0966,0.0659,0.6795,0.799
SimGCL,14,161474.37756347656,0.3618438243865967,0.2472,0.2888,0.3685,0.2472,0.2785,0.3721,0.3803,0.1001,0.0676,0.691,0.8075
SimGCL,15,160863.51513671875,0.35120677947998047,0.2538,0.2969,0.3772,0.2538,0.2853,0.3812,0.3891,0.1034,0.0692,0.7045,0.817
SimGCL,16,160314.83654785156,0.34992027282714844,0.2592,0.3029,0.3836,0.2592,0.291,0.3883,0.3965,0.1055,0.0706,0.709,0.8255
SimGCL,17,160304.61096191406,0.35117673873901367,0.2656,0.3096,0.3896,0.2656,0.2972,0.3971,0.4048,0.108,0.0718,0.721,0.833
SimGCL,18,158990.11486816406,0.35048794746398926,0.2699,0.3142,0.3974,0.2699,0.3031,0.4028,0.4108,0.1095,0.0736,0.726,0.842
SimGCL,19,158893.22326660156,0.3503847122192383,0.2742,0.3192,0.4047,0.2742,0.3081,0.4084,0.416,0.1116,0.0749,0.736,0.846
SimGCL,20,158208.11364746094,0.4721353054046631,0.2794,0.3243,0.4122,0.2794,0.3138,0.4159,0.4235,0.1139,0.0762,0.743,0.8525
SimGCL,21,158234.5263671875,0.3517415523529053,0.2832,0.3276,0.4185,0.2832,0.3191,0.4221,0.4301,0.1151,0.0775,0.747,0.8625
SimGCL,22,157654.7890625,0.349945068359375,0.2876,0.3343,0.4239,0.2876,0.3229,0.4248,0.4324,0.1177,0.0786,0.757,0.867
SimGCL,23,157535.77563476562,0.35004472732543945,0.292,0.339,0.429,0.292,0.3276,0.431,0.4386,0.1197,0.0798,0.7625,0.8735
SimGCL,24,157318.67321777344,0.35070323944091797,0.2957,0.3439,0.4332,0.2957,0.3312,0.4346,0.4417,0.1213,0.0806,0.77,0.875
SimGCL,25,156608.62963867188,0.35051941871643066,0.2997,0.3491,0.4369,0.2997,0.3346,0.4384,0.4454,0.1235,0.0814,0.778,0.881
SimGCL,26,156491.19299316406,0.3503279685974121,0.3027,0.3518,0.4413,0.3027,0.3383,0.4425,0.4494,0.1247,0.0824,0.783,0.8845
SimGCL,27,156385.21728515625,0.3495213985443115,0.3058,0.3563,0.4435,0.3058,0.3406,0.4449,0.4516,0.1264,0.0828,0.788,0.886
SimGCL,28,155934.19360351562,0.34954214096069336,0.3086,0.3595,0.4474,0.3086,0.3438,0.4488,0.4556,0.1276,0.0837,0.7905,0.888
SimGCL,29,155789.4549560547,0.3511626720428467,0.312,0.3642,0.4505,0.312,0.3465,0.4508,0.4575,0.1295,0.0844,0.7955,0.891
SimGCL,30,155500.3643798828,0.3509206771850586,0.3139,0.3651,0.4539,0.3139,0.3495,0.4552,0.4619,0.1299,0.0851,0.7985,0.894
SimGCL,31,155543.08947753906,0.35017991065979004,0.3178,0.37,0.4555,0.3178,0.3522,0.4601,0.4666,0.1317,0.0855,0.8015,0.893
SimGCL,32,154668.2978515625,0.34983181953430176,0.3203,0.3728,0.4613,0.3203,0.3556,0.4633,0.4698,0.1329,0.0866,0.807,0.9
SimGCL,33,155116.94494628906,0.3500542640686035,0.3227,0.3768,0.465,0.3227,0.358,0.4647,0.4711,0.1344,0.0875,0.811,0.9035
SimGCL,34,154822.39221191406,0.3496429920196533,0.324,0.3777,0.4667,0.324,0.3598,0.4669,0.4734,0.1347,0.0879,0.8135,0.906
SimGCL,35,155001.83715820312,0.3499715328216553,0.3269,0.3826,0.469,0.3269,0.3619,0.4682,0.4745,0.1363,0.0885,0.8155,0.9055
SimGCL,36,154284.853515625,0.3506138324737549,0.3289,0.3855,0.4714,0.3289,0.3635,0.4703,0.4762,0.1378,0.089,0.823,0.9055
SimGCL,37,154014.0518798828,0.3515889644622803,0.3305,0.3871,0.473,0.3305,0.3653,0.4723,0.4782,0.1382,0.0893,0.824,0.906
SimGCL,38,154397.82360839844,0.35010600090026855,0.333,0.3904,0.4746,0.333,0.3671,0.475,0.4807,0.1397,0.0897,0.828,0.9075
SimGCL,39,153933.87438964844,0.3509199619293213,0.3342,0.3913,0.4772,0.3342,0.3691,0.4775,0.4829,0.14,0.0903,0.83,0.906
SimGCL,40,153978.2266845703,0.3504798412322998,0.3357,0.3927,0.4786,0.3357,0.3706,0.479,0.4846,0.1405,0.0906,0.8315,0.9105
SimGCL,41,153729.16845703125,0.3491363525390625,0.3375,0.3947,0.481,0.3375,0.3725,0.4811,0.4863,0.1415,0.0911,0.835,0.908
SimGCL,42,153495.7763671875,0.3500986099243164,0.3388,0.3965,0.4838,0.3388,0.3743,0.4824,0.4877,0.1421,0.0918,0.837,0.913
SimGCL,43,153029.27478027344,0.35023069381713867,0.3399,0.3981,0.4865,0.3399,0.3757,0.4835,0.4889,0.1428,0.0923,0.837,0.9125
SimGCL,44,153233.59118652344,0.3499019145965576,0.3407,0.3989,0.4873,0.3407,0.3767,0.4845,0.4899,0.143,0.0926,0.838,0.916
SimGCL,45,153497.66528320312,0.3504447937011719,0.3422,0.4002,0.4908,0.3422,0.3789,0.4863,0.4918,0.1437,0.0933,0.839,0.917
SimGCL,46,152798.6531982422,0.4393491744995117,0.3438,0.4023,0.4937,0.3438,0.3808,0.488,0.4934,0.1446,0.0939,0.8405,0.9165
SimGCL,47,152432.02575683594,0.3522629737854004,0.3453,0.4039,0.4943,0.3453,0.382,0.4909,0.4962,0.1452,0.094,0.8425,0.918
SimGCL,48,152339.3944091797,0.3502497673034668,0.3461,0.4047,0.4954,0.3461,0.3828,0.4913,0.4967,0.1456,0.0943,0.841,0.9175
SimGCL,49,152447.40747070312,0.34924960136413574,0.3471,0.4059,0.4966,0.3471,0.3837,0.4924,0.4974,0.1463,0.0944,0.8465,0.9175
SimGCL,50,152470.26879882812,0.34978485107421875,0.3481,0.407,0.4994,0.3481,0.3855,0.4936,0.4988,0.1465,0.095,0.8445,0.92
SimGCL,51,152737.13452148438,0.34930968284606934,0.3484,0.4074,0.5004,0.3484,0.3862,0.4939,0.4991,0.1466,0.0953,0.8455,0.919
SimGCL,52,152493.83251953125,0.350506067276001,0.3507,0.4096,0.5004,0.3507,0.3876,0.4982,0.5032,0.1475,0.0952,0.8475,0.917
SimGCL,53,152432.765625,0.3497302532196045,0.3506,0.4089,0.5021,0.3506,0.3885,0.4978,0.5032,0.1471,0.0956,0.844,0.9195
SimGCL,54,152079.81384277344,0.3486955165863037,0.353,0.411,0.5039,0.353,0.3907,0.5014,0.5062,0.1481,0.096,0.8495,0.918
SimGCL,55,151942.76049804688,0.3501882553100586,0.3532,0.4116,0.5049,0.3532,0.3913,0.5019,0.5068,0.1483,0.0963,0.849,0.9175
SimGCL,56,151694.0050048828,0.3492245674133301,0.3547,0.4132,0.5053,0.3547,0.3922,0.5028,0.5076,0.149,0.0964,0.85,0.918
SimGCL,57,151827.73571777344,0.3493533134460449,0.3559,0.4156,0.5055,0.3559,0.3926,0.5027,0.5076,0.1499,0.0964,0.8505,0.9175
SimGCL,58,151424.30908203125,0.350696325302124,0.3564,0.4153,0.507,0.3564,0.394,0.5039,0.5088,0.1498,0.0968,0.8505,0.918
SimGCL,59,151805.3497314453,0.349276065826416,0.3577,0.4172,0.5083,0.3577,0.3948,0.5045,0.5093,0.1508,0.0971,0.8525,0.9185
SimGCL,60,151422.5018310547,0.350048303604126,0.3586,0.4179,0.508,0.3586,0.3953,0.5058,0.5106,0.1511,0.0969,0.852,0.918
SimGCL,61,151373.35034179688,0.35017824172973633,0.3588,0.418,0.5095,0.3588,0.3962,0.5062,0.511,0.1509,0.0973,0.853,0.9195
SimGCL,62,151260.57836914062,0.34966111183166504,0.3597,0.4189,0.5094,0.3597,0.3965,0.5068,0.5114,0.1517,0.0973,0.8535,0.9185
SimGCL,63,151416.66357421875,0.35048747062683105,0.361,0.4202,0.5099,0.361,0.3976,0.5088,0.5133,0.1522,0.0974,0.8555,0.9195
SimGCL,64,151239.189453125,0.3496575355529785,0.3615,0.4201,0.5102,0.3615,0.3983,0.5104,0.5151,0.1521,0.0974,0.854,0.9195
