Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,4.1785736083984375,0.27251505851745605,0.1615,0.1747,0.2247,0.1615,0.1808,0.2915,0.3005,0.066,0.0444,0.522,0.65
ASLGCN,2,4.176285803318024,0.07453203201293945,0.1817,0.1947,0.254,0.1817,0.2044,0.326,0.336,0.0758,0.0515,0.572,0.716
ASLGCN,3,4.173836648464203,0.07349967956542969,0.2007,0.2138,0.2838,0.2007,0.2271,0.3601,0.3689,0.0848,0.0579,0.628,0.75
ASLGCN,4,4.17094224691391,0.07389187812805176,0.2192,0.2327,0.3043,0.2192,0.2471,0.3901,0.3985,0.094,0.0638,0.672,0.788
ASLGCN,5,4.167571127414703,0.07359862327575684,0.2373,0.25,0.3119,0.2373,0.2611,0.4178,0.4246,0.103,0.0658,0.71,0.804
ASLGCN,6,4.163602709770203,0.0731194019317627,0.2435,0.2632,0.3324,0.2435,0.2697,0.422,0.4279,0.1092,0.071,0.742,0.834
ASLGCN,7,4.15901243686676,0.07589960098266602,0.2512,0.2713,0.3462,0.2512,0.2794,0.4297,0.436,0.1134,0.0741,0.75,0.846
ASLGCN,8,4.1536752581596375,0.07317972183227539,0.2598,0.279,0.3553,0.2598,0.2889,0.439,0.4448,0.1178,0.0771,0.762,0.842
ASLGCN,9,4.147428512573242,0.07267045974731445,0.2674,0.286,0.3614,0.2674,0.2962,0.451,0.4564,0.1224,0.0791,0.776,0.85
ASLGCN,10,4.140395283699036,0.07271528244018555,0.2752,0.2917,0.3693,0.2752,0.3054,0.4653,0.4706,0.125,0.0819,0.782,0.856
ASLGCN,11,4.132374167442322,0.07261300086975098,0.2766,0.2954,0.3771,0.2766,0.308,0.4659,0.4713,0.1276,0.0834,0.786,0.864
ASLGCN,12,4.123314559459686,0.07335758209228516,0.2779,0.3001,0.3778,0.2779,0.308,0.4649,0.4699,0.1296,0.0839,0.788,0.86
ASLGCN,13,4.113176763057709,0.08145904541015625,0.279,0.2998,0.3809,0.279,0.3107,0.4647,0.4693,0.1298,0.0849,0.792,0.86
ASLGCN,14,4.102150917053223,0.07825112342834473,0.2795,0.302,0.383,0.2795,0.311,0.4621,0.467,0.1312,0.0855,0.788,0.858
ASLGCN,15,4.089760959148407,0.07519674301147461,0.2759,0.2993,0.3788,0.2759,0.3071,0.4568,0.4618,0.13,0.085,0.784,0.854
ASLGCN,16,4.0758126974105835,0.07426953315734863,0.2763,0.2997,0.3788,0.2763,0.3069,0.4558,0.4606,0.1318,0.0854,0.784,0.852
ASLGCN,17,4.0604459047317505,0.07296276092529297,0.2726,0.2959,0.3762,0.2726,0.3037,0.4506,0.456,0.1302,0.0846,0.778,0.852
ASLGCN,18,4.044953107833862,0.07240939140319824,0.2711,0.2945,0.3762,0.2711,0.3029,0.4473,0.453,0.129,0.0847,0.77,0.848
ASLGCN,19,4.027469038963318,0.07191276550292969,0.2707,0.2958,0.3771,0.2707,0.3022,0.4449,0.4505,0.1296,0.0848,0.774,0.854
ASLGCN,20,4.008231997489929,0.07179117202758789,0.2688,0.2963,0.3781,0.2688,0.3006,0.4405,0.446,0.129,0.0849,0.774,0.852
ASLGCN,21,3.988148808479309,0.0716254711151123,0.2668,0.2929,0.3779,0.2668,0.2998,0.44,0.4452,0.1276,0.0849,0.774,0.852
ASLGCN,22,3.967021882534027,0.0716407299041748,0.266,0.2919,0.3762,0.266,0.2986,0.4383,0.4435,0.1274,0.0843,0.77,0.846
ASLGCN,23,3.944608747959137,0.07158613204956055,0.2623,0.289,0.3746,0.2623,0.295,0.4322,0.437,0.127,0.0841,0.772,0.846
ASLGCN,24,3.9205206632614136,0.16626691818237305,0.2589,0.2865,0.3719,0.2589,0.2915,0.4257,0.4308,0.126,0.0837,0.762,0.836
ASLGCN,25,3.8939585089683533,0.07641267776489258,0.2567,0.2841,0.3688,0.2567,0.2892,0.4215,0.4265,0.1244,0.0829,0.758,0.83
