Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,6.929212510585785,0.3477315902709961,0.0298,0.0519,0.0838,0.0298,0.0387,0.0279,0.0312,0.0075,0.0063,0.075,0.124
HAGN,2,6.927668392658234,0.15652942657470703,0.033,0.0569,0.0929,0.033,0.0429,0.0315,0.0349,0.0084,0.0068,0.0835,0.1345
HAGN,3,6.926233291625977,0.14955782890319824,0.0371,0.0627,0.1034,0.0371,0.0484,0.0349,0.039,0.0092,0.0076,0.0915,0.1505
HAGN,4,6.924253165721893,0.1499488353729248,0.0424,0.0752,0.1115,0.0424,0.0524,0.0387,0.0421,0.011,0.0082,0.108,0.1605
HAGN,5,6.922138452529907,0.1495988368988037,0.0464,0.0794,0.1208,0.0464,0.0579,0.0431,0.0472,0.0113,0.0089,0.1115,0.172
HAGN,6,6.9196460247039795,0.14886021614074707,0.0479,0.0813,0.1231,0.0479,0.0595,0.0448,0.0489,0.0117,0.009,0.116,0.175
HAGN,7,6.916565239429474,0.1497509479522705,0.0514,0.0895,0.133,0.0514,0.0635,0.0479,0.052,0.0128,0.0097,0.1265,0.188
HAGN,8,6.912935316562653,0.1499030590057373,0.0551,0.0963,0.1447,0.0551,0.0686,0.0503,0.0551,0.0137,0.0105,0.134,0.2035
HAGN,9,6.908508658409119,0.15042614936828613,0.0595,0.1026,0.156,0.0595,0.0743,0.0552,0.0604,0.0143,0.0111,0.1395,0.2145
HAGN,10,6.903122365474701,0.1495964527130127,0.0613,0.1071,0.1569,0.0613,0.0752,0.0561,0.0609,0.0149,0.0111,0.145,0.2145
HAGN,11,6.897165417671204,0.14823484420776367,0.0625,0.1102,0.1605,0.0625,0.0765,0.0559,0.0609,0.015,0.0113,0.146,0.2175
HAGN,12,6.890341520309448,0.14891815185546875,0.063,0.1087,0.1638,0.063,0.0782,0.0578,0.063,0.0148,0.0115,0.144,0.2205
HAGN,13,6.883422493934631,0.14914298057556152,0.0637,0.1088,0.1609,0.0637,0.0783,0.0585,0.0638,0.0146,0.0113,0.142,0.219
HAGN,14,6.874390363693237,0.15556788444519043,0.0635,0.1102,0.1616,0.0635,0.0778,0.0574,0.0625,0.0146,0.0113,0.1425,0.2185
HAGN,15,6.864034056663513,0.14873886108398438,0.0633,0.1089,0.1601,0.0633,0.0776,0.0574,0.0624,0.0146,0.0112,0.143,0.2175
HAGN,16,6.854890584945679,0.1536271572113037,0.0629,0.1066,0.161,0.0629,0.0782,0.0575,0.063,0.014,0.0113,0.138,0.2195
HAGN,17,6.84334123134613,0.14962434768676758,0.0616,0.1059,0.1584,0.0616,0.0764,0.0553,0.0608,0.0138,0.0111,0.1355,0.216
HAGN,18,6.830028414726257,0.14815855026245117,0.0617,0.1056,0.1586,0.0617,0.0765,0.0555,0.0607,0.0138,0.0111,0.136,0.214
HAGN,19,6.815974712371826,0.26217079162597656,0.0612,0.1014,0.1559,0.0612,0.0763,0.0562,0.0613,0.0134,0.0108,0.132,0.2085
HAGN,20,6.802946031093597,0.15083694458007812,0.06,0.1009,0.1509,0.06,0.074,0.0543,0.0592,0.0131,0.0104,0.1295,0.2025
HAGN,21,6.784557282924652,0.14778804779052734,0.0601,0.1004,0.1504,0.0601,0.074,0.0543,0.0593,0.0131,0.0104,0.1295,0.202
HAGN,22,6.770017921924591,0.15118718147277832,0.0596,0.1019,0.1459,0.0596,0.072,0.053,0.0575,0.0132,0.0101,0.1305,0.1975
HAGN,23,6.750961065292358,0.1588594913482666,0.0584,0.1007,0.1482,0.0584,0.0717,0.052,0.0567,0.0131,0.0103,0.129,0.1995
HAGN,24,6.732204914093018,0.15896391868591309,0.0581,0.1011,0.1468,0.0581,0.0708,0.0511,0.0557,0.013,0.0101,0.1285,0.196
