Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.940089464187622,0.5020043849945068,0.0101,0.0127,0.0204,0.0101,0.0131,0.0191,0.0214,0.0051,0.0043,0.049,0.0845
HAGN,2,15.936327457427979,0.2957596778869629,0.0136,0.0171,0.0274,0.0136,0.0175,0.0249,0.0276,0.0068,0.0056,0.0665,0.1055
HAGN,3,15.930923998355865,0.2970099449157715,0.014,0.0172,0.0316,0.014,0.019,0.0261,0.0292,0.0071,0.0063,0.0695,0.1175
HAGN,4,15.922225892543793,0.2926928997039795,0.0144,0.0183,0.0285,0.0144,0.0181,0.0253,0.0281,0.0071,0.0057,0.0695,0.11
HAGN,5,15.908128321170807,0.29236483573913574,0.0114,0.0141,0.0237,0.0114,0.015,0.02,0.0225,0.0052,0.0045,0.051,0.0875
HAGN,6,15.886266529560089,0.29067158699035645,0.0078,0.0112,0.0195,0.0078,0.0108,0.0121,0.0144,0.004,0.0037,0.0395,0.0725
HAGN,7,15.852448165416718,0.29180288314819336,0.0056,0.0086,0.014,0.0056,0.0075,0.0087,0.01,0.0032,0.0026,0.032,0.052
HAGN,8,15.803946733474731,0.2913076877593994,0.0042,0.0061,0.0117,0.0042,0.0063,0.007,0.0084,0.0024,0.0023,0.024,0.0455
HAGN,9,15.740106523036957,0.290179967880249,0.0035,0.0047,0.0097,0.0035,0.0053,0.0064,0.0078,0.002,0.0021,0.02,0.04
HAGN,10,15.65851217508316,0.289994478225708,0.0035,0.0046,0.0078,0.0035,0.0048,0.0063,0.0074,0.0021,0.0018,0.021,0.036
HAGN,11,15.57029503583908,0.29768991470336914,0.0037,0.005,0.0074,0.0037,0.0047,0.0068,0.0077,0.0022,0.0018,0.0215,0.0345
HAGN,12,15.471218526363373,0.29082822799682617,0.0035,0.0046,0.0073,0.0035,0.0046,0.0065,0.0073,0.0021,0.0017,0.0205,0.034
HAGN,13,15.373240768909454,0.29259562492370605,0.0032,0.0043,0.0073,0.0032,0.0043,0.0058,0.0066,0.0019,0.0016,0.0185,0.0315
HAGN,14,15.272569417953491,0.29267287254333496,0.003,0.0038,0.0082,0.003,0.0047,0.0055,0.0068,0.0016,0.0017,0.016,0.035
HAGN,15,15.193366706371307,0.2925448417663574,0.003,0.0044,0.0079,0.003,0.0044,0.0049,0.006,0.0017,0.0017,0.017,0.034
