Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,225211.0830078125,0.5630099773406982,0.0666,0.0828,0.1201,0.0666,0.0807,0.1103,0.1183,0.0278,0.0216,0.247,0.3625
SimGCL,2,194556.671875,0.3618655204772949,0.1031,0.1237,0.1727,0.1031,0.1217,0.1666,0.1757,0.041,0.0307,0.349,0.481
SimGCL,3,187479.24658203125,0.3570566177368164,0.1289,0.1536,0.2117,0.1289,0.1509,0.2044,0.2144,0.0513,0.0376,0.4195,0.567
SimGCL,4,183314.84619140625,0.361400842666626,0.1505,0.1793,0.2444,0.1505,0.1752,0.2354,0.246,0.0596,0.0432,0.4745,0.6275
SimGCL,5,179709.95556640625,0.35836172103881836,0.1696,0.2043,0.2683,0.1696,0.1944,0.2611,0.2709,0.0679,0.0477,0.53,0.6715
SimGCL,6,177664.89013671875,0.3561224937438965,0.1862,0.2232,0.2894,0.1862,0.2115,0.2834,0.293,0.0749,0.0513,0.565,0.704
SimGCL,7,175012.4365234375,0.3600349426269531,0.1993,0.2383,0.3056,0.1993,0.2252,0.3027,0.3115,0.0805,0.0546,0.6025,0.7315
SimGCL,8,173029.52490234375,0.3560464382171631,0.2117,0.2472,0.3215,0.2117,0.2406,0.3253,0.3353,0.084,0.058,0.6165,0.7595
SimGCL,9,172291.83203125,0.35656237602233887,0.224,0.2616,0.336,0.224,0.2528,0.3424,0.3517,0.0892,0.0607,0.6475,0.783
SimGCL,10,170329.42919921875,0.35880446434020996,0.2347,0.2733,0.3467,0.2347,0.2634,0.3577,0.3664,0.0938,0.0631,0.6705,0.795
SimGCL,11,169307.0048828125,0.36215782165527344,0.2441,0.2834,0.359,0.2441,0.2737,0.372,0.3803,0.0975,0.0655,0.69,0.809
SimGCL,12,168439.63818359375,0.35734128952026367,0.2515,0.2923,0.3681,0.2515,0.2813,0.3809,0.3889,0.1009,0.0674,0.707,0.823
SimGCL,13,167240.7119140625,0.35778307914733887,0.2592,0.3003,0.3772,0.2592,0.2895,0.3932,0.401,0.104,0.0693,0.7205,0.8335
SimGCL,14,166358.50341796875,0.35422444343566895,0.266,0.3071,0.3861,0.266,0.297,0.4035,0.4112,0.1067,0.0709,0.731,0.843
