Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942099928855896,0.3560671806335449,0.0014,0.0017,0.0032,0.0014,0.002,0.0028,0.0034,0.0011,0.001,0.0105,0.019
BPR,2,15.912171721458435,0.21216368675231934,0.0013,0.002,0.0034,0.0013,0.0019,0.0019,0.0025,0.0012,0.0011,0.0115,0.0205
BPR,3,15.884190678596497,0.20336580276489258,0.0012,0.0017,0.0028,0.0012,0.0017,0.0021,0.0026,0.001,0.0009,0.01,0.0175
BPR,4,15.850524067878723,0.20352411270141602,0.0012,0.0012,0.0027,0.0012,0.0018,0.0026,0.0032,0.0008,0.0009,0.0075,0.017
BPR,5,15.809100687503815,0.20144867897033691,0.0012,0.0013,0.0027,0.0012,0.0018,0.0025,0.0031,0.0008,0.0008,0.0075,0.016
BPR,6,15.754815101623535,0.20029354095458984,0.0013,0.0015,0.0029,0.0013,0.0019,0.0026,0.0032,0.0008,0.0008,0.008,0.0165
BPR,7,15.687451481819153,0.19981884956359863,0.0016,0.002,0.0038,0.0016,0.0023,0.0029,0.0035,0.001,0.001,0.01,0.0195
BPR,8,15.602299094200134,0.20345711708068848,0.0017,0.002,0.0036,0.0017,0.0024,0.0037,0.0043,0.0011,0.001,0.0105,0.0195
BPR,9,15.50024288892746,0.20529651641845703,0.0016,0.0018,0.0042,0.0016,0.0026,0.0034,0.0043,0.001,0.0012,0.0095,0.023
BPR,10,15.374420404434204,0.2028515338897705,0.0018,0.0023,0.0045,0.0018,0.0027,0.0034,0.0042,0.0012,0.0012,0.012,0.0245
BPR,11,15.231201350688934,0.20848488807678223,0.0016,0.002,0.0044,0.0016,0.0026,0.0028,0.0037,0.0011,0.0012,0.0105,0.0235
BPR,12,15.06338506937027,0.20441532135009766,0.0017,0.0022,0.0043,0.0017,0.0026,0.0029,0.0037,0.0011,0.0012,0.011,0.023
BPR,13,14.872416734695435,0.2036757469177246,0.0017,0.0023,0.0043,0.0017,0.0026,0.003,0.0038,0.0011,0.0011,0.011,0.022
BPR,14,14.66546779870987,0.2037672996520996,0.0021,0.0025,0.0042,0.0021,0.0027,0.0038,0.0044,0.0014,0.0011,0.0135,0.022
BPR,15,14.434833228588104,0.20719385147094727,0.0018,0.0023,0.0038,0.0018,0.0025,0.0032,0.0038,0.0012,0.0011,0.0115,0.021
BPR,16,14.18919974565506,0.20372271537780762,0.0014,0.0017,0.0037,0.0014,0.0023,0.0025,0.0035,0.0008,0.0011,0.008,0.021
BPR,17,13.919175744056702,0.20364999771118164,0.0016,0.0019,0.0042,0.0016,0.0025,0.0028,0.0037,0.001,0.0011,0.0095,0.022
BPR,18,13.641306638717651,0.3005530834197998,0.0014,0.0016,0.0039,0.0014,0.0023,0.0027,0.0035,0.0008,0.0011,0.008,0.021
BPR,19,13.34838205575943,0.21140456199645996,0.0014,0.0018,0.0037,0.0014,0.0022,0.0024,0.0032,0.0008,0.001,0.008,0.0195
BPR,20,13.036778926849365,0.207597017288208,0.0014,0.0017,0.0037,0.0014,0.0022,0.0026,0.0034,0.0008,0.001,0.0075,0.0195
BPR,21,12.732014238834381,0.2044374942779541,0.0012,0.0014,0.0037,0.0012,0.0022,0.0028,0.0036,0.0006,0.0009,0.006,0.018
BPR,22,12.413368463516235,0.20436406135559082,0.0013,0.0015,0.0037,0.0013,0.0022,0.0028,0.0037,0.0006,0.0009,0.0065,0.0185
BPR,23,12.090967357158661,0.20404577255249023,0.0015,0.0019,0.0038,0.0015,0.0023,0.0031,0.0038,0.0009,0.001,0.009,0.019
BPR,24,11.753912031650543,0.20429563522338867,0.0015,0.0019,0.0039,0.0015,0.0023,0.003,0.0038,0.0009,0.001,0.0085,0.02
BPR,25,11.4444859623909,0.20853829383850098,0.0015,0.0019,0.0042,0.0015,0.0024,0.0032,0.0039,0.0009,0.0011,0.009,0.0205
