Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.940058827400208,0.5112893581390381,0.0094,0.0135,0.0218,0.0094,0.0125,0.0158,0.018,0.0055,0.0046,0.054,0.088
HAGN,2,15.936203956604004,0.29798388481140137,0.0118,0.0176,0.0277,0.0118,0.0156,0.0194,0.0219,0.0072,0.0057,0.0705,0.1075
HAGN,3,15.93073308467865,0.29767799377441406,0.0126,0.0176,0.0303,0.0126,0.0173,0.0225,0.0257,0.0071,0.0061,0.069,0.115
HAGN,4,15.921742677688599,0.2981717586517334,0.0113,0.0158,0.0283,0.0113,0.0158,0.0204,0.0234,0.0068,0.0057,0.066,0.109
HAGN,5,15.907618701457977,0.2990598678588867,0.0096,0.0139,0.023,0.0096,0.0131,0.0166,0.0194,0.0058,0.0051,0.058,0.1
HAGN,6,15.88584017753601,0.29792141914367676,0.0072,0.0099,0.0187,0.0072,0.0107,0.0133,0.0161,0.004,0.0041,0.0405,0.0805
HAGN,7,15.852867305278778,0.29691147804260254,0.0049,0.0071,0.0166,0.0049,0.0085,0.0085,0.0113,0.003,0.0037,0.0305,0.073
HAGN,8,15.808855175971985,0.2982597351074219,0.0039,0.0058,0.0141,0.0039,0.0071,0.0067,0.0091,0.0027,0.0033,0.027,0.0635
HAGN,9,15.748568058013916,0.3002305030822754,0.0035,0.0053,0.0115,0.0035,0.006,0.0056,0.0076,0.0025,0.0028,0.025,0.0545
HAGN,10,15.673322260379791,0.2965860366821289,0.0032,0.0044,0.0114,0.0032,0.006,0.0055,0.0077,0.0021,0.0027,0.021,0.0535
HAGN,11,15.589887261390686,0.29704809188842773,0.0032,0.0045,0.0106,0.0032,0.0055,0.0054,0.0072,0.0023,0.0025,0.023,0.0495
HAGN,12,15.49035531282425,0.29548096656799316,0.0034,0.0045,0.0106,0.0034,0.0056,0.0059,0.0076,0.0024,0.0024,0.024,0.0485
HAGN,13,15.394770205020905,0.2967817783355713,0.0031,0.0041,0.0097,0.0031,0.0052,0.0056,0.0072,0.0022,0.0023,0.022,0.0455
HAGN,14,15.287144184112549,0.30010986328125,0.0035,0.0046,0.01,0.0035,0.0055,0.0063,0.0078,0.0024,0.0024,0.024,0.0475
