Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,741749.8604736328,1.7349674701690674,0.0406,0.0518,0.0797,0.0406,0.0511,0.068,0.0744,0.0182,0.0147,0.1734,0.267
SimGCL,2,601675.9805908203,1.5282366275787354,0.0542,0.0692,0.1013,0.0542,0.0663,0.089,0.0961,0.0236,0.0183,0.222,0.3276
SimGCL,3,579293.3845214844,1.5116801261901855,0.0638,0.0805,0.1198,0.0638,0.0784,0.1042,0.1124,0.0273,0.0213,0.2526,0.3738
SimGCL,4,564847.7752685547,1.6870591640472412,0.0741,0.094,0.1362,0.0741,0.0898,0.12,0.1283,0.0316,0.0239,0.287,0.4094
SimGCL,5,552909.8354492188,1.521571159362793,0.0835,0.1052,0.1514,0.0835,0.1006,0.1345,0.1433,0.0351,0.0264,0.3148,0.4422
SimGCL,6,545954.4539794922,1.516744613647461,0.0929,0.1176,0.1644,0.0929,0.1104,0.1476,0.1564,0.039,0.0287,0.3442,0.4716
SimGCL,7,538791.9334716797,1.5346782207489014,0.1008,0.1257,0.1772,0.1008,0.12,0.1609,0.1702,0.0414,0.0307,0.3624,0.4972
SimGCL,8,533841.8721923828,1.5239651203155518,0.1093,0.1347,0.1888,0.1093,0.1295,0.1737,0.1835,0.0443,0.0328,0.3824,0.5252
SimGCL,9,529638.2629394531,1.5295305252075195,0.116,0.1429,0.1993,0.116,0.1372,0.1837,0.1936,0.0471,0.0347,0.4026,0.545
SimGCL,10,526955.0489501953,1.5159525871276855,0.1225,0.1509,0.2082,0.1225,0.1442,0.1931,0.2029,0.0497,0.0364,0.4226,0.5642
SimGCL,11,523791.2342529297,1.6602039337158203,0.1294,0.158,0.2155,0.1294,0.1512,0.204,0.2139,0.0521,0.0377,0.4392,0.5806
SimGCL,12,520451.55407714844,1.5225021839141846,0.1353,0.1648,0.2242,0.1353,0.1577,0.213,0.2225,0.0546,0.0392,0.457,0.5974
SimGCL,13,519166.51110839844,1.5165891647338867,0.1404,0.1704,0.2331,0.1404,0.1641,0.2208,0.2309,0.0563,0.0408,0.4666,0.6152
SimGCL,14,515913.6876220703,1.5334126949310303,0.1451,0.1756,0.24,0.1451,0.1693,0.2288,0.2388,0.0581,0.0419,0.4806,0.625
SimGCL,15,514584.06774902344,1.527287244796753,0.1498,0.1798,0.2455,0.1498,0.1748,0.2371,0.2472,0.0594,0.043,0.4892,0.636
SimGCL,16,512328.4952392578,1.5180449485778809,0.1534,0.1847,0.2513,0.1534,0.1788,0.2408,0.2512,0.061,0.044,0.4986,0.6482
SimGCL,17,511537.2498779297,1.6369309425354004,0.1579,0.189,0.2556,0.1579,0.1833,0.248,0.2581,0.0626,0.0448,0.5088,0.6536
SimGCL,18,510580.6940917969,1.5149800777435303,0.1613,0.1928,0.2601,0.1613,0.187,0.253,0.2631,0.0638,0.0457,0.517,0.661
SimGCL,19,508838.1477050781,1.5335395336151123,0.1646,0.1964,0.2643,0.1646,0.1905,0.2583,0.2684,0.0651,0.0464,0.5246,0.6682
SimGCL,20,506326.0793457031,1.5061564445495605,0.1683,0.2008,0.2689,0.1683,0.1942,0.2635,0.2734,0.0665,0.0472,0.5332,0.6754
