Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,12.188071489334106,0.8812892436981201,0.1082,0.1466,0.2009,0.1082,0.1278,0.1491,0.1582,0.0395,0.029,0.3495,0.4795
MHCN,2,10.322903126478195,0.5890705585479736,0.1082,0.1439,0.2042,0.1082,0.1292,0.155,0.1638,0.0401,0.0296,0.3555,0.486
MHCN,3,10.234004616737366,0.6002130508422852,0.152,0.192,0.271,0.152,0.1806,0.2217,0.2332,0.0559,0.0416,0.458,0.6265
MHCN,4,8.59714451432228,0.5934915542602539,0.1455,0.1806,0.2551,0.1455,0.1722,0.2158,0.2261,0.0522,0.0389,0.447,0.5965
MHCN,5,7.846304833889008,0.5912442207336426,0.1777,0.2258,0.2967,0.1777,0.2038,0.261,0.2702,0.0665,0.0461,0.5445,0.676
MHCN,6,7.281027674674988,0.5912797451019287,0.1708,0.2165,0.2879,0.1708,0.1969,0.246,0.2556,0.0633,0.0446,0.5125,0.6505
MHCN,7,7.177822828292847,0.5880734920501709,0.1852,0.233,0.3084,0.1852,0.2128,0.2715,0.2807,0.0686,0.0478,0.557,0.6895
MHCN,8,6.895278453826904,0.587148904800415,0.1734,0.2174,0.2988,0.1734,0.2024,0.2522,0.2628,0.064,0.0458,0.521,0.6745
MHCN,9,6.766626060009003,0.5934040546417236,0.1865,0.2327,0.3116,0.1865,0.2152,0.2727,0.2826,0.069,0.0485,0.5595,0.701
MHCN,10,6.565097898244858,0.5902302265167236,0.175,0.2218,0.2985,0.175,0.2026,0.2519,0.2618,0.0653,0.0459,0.523,0.6645
MHCN,11,6.3859652280807495,0.5904245376586914,0.1714,0.2148,0.2958,0.1714,0.2001,0.2501,0.2609,0.0633,0.0451,0.512,0.669
MHCN,12,6.33910271525383,0.5932443141937256,0.1828,0.229,0.3071,0.1828,0.2111,0.2649,0.2745,0.068,0.0477,0.5455,0.684
MHCN,13,6.314033359289169,0.5886096954345703,0.1749,0.2229,0.3033,0.1749,0.2042,0.2542,0.2644,0.0656,0.0471,0.535,0.6815
MHCN,14,6.090899080038071,0.5902643203735352,0.1747,0.2196,0.3052,0.1747,0.2052,0.2539,0.2648,0.066,0.0474,0.531,0.689
MHCN,15,6.106997907161713,0.5961236953735352,0.1844,0.2305,0.3112,0.1844,0.2138,0.2686,0.2794,0.0686,0.0489,0.548,0.7025
MHCN,16,5.958757817745209,0.5922195911407471,0.1831,0.2263,0.306,0.1831,0.2121,0.2739,0.2847,0.0673,0.0477,0.5395,0.6925
MHCN,17,5.887134373188019,0.5907001495361328,0.1828,0.2278,0.3107,0.1828,0.2133,0.2684,0.2794,0.0676,0.0487,0.543,0.6985
MHCN,18,5.762363404035568,0.5888462066650391,0.1775,0.2244,0.3056,0.1775,0.207,0.2587,0.2686,0.0673,0.0479,0.541,0.6815
MHCN,19,5.814494222402573,0.5885939598083496,0.1774,0.2224,0.2926,0.1774,0.2029,0.2604,0.2694,0.0662,0.0457,0.535,0.6645
MHCN,20,5.711543381214142,0.5902650356292725,0.1808,0.2228,0.2993,0.1808,0.2082,0.271,0.2803,0.0664,0.0463,0.5415,0.6755
