Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.246943414211273,0.4826362133026123,0.0089,0.0121,0.0238,0.0089,0.0133,0.0163,0.0194,0.0056,0.0053,0.0535,0.099
CSGCN,2,15.243591725826263,0.27749013900756836,0.0124,0.0162,0.0297,0.0124,0.0173,0.0228,0.0262,0.0067,0.0062,0.0645,0.115
CSGCN,3,15.239026486873627,0.28009796142578125,0.0161,0.0221,0.0369,0.0161,0.0218,0.0277,0.032,0.0085,0.0075,0.0805,0.141
CSGCN,4,15.23222815990448,0.27985334396362305,0.0204,0.0271,0.0439,0.0204,0.0267,0.0363,0.0405,0.0104,0.0087,0.0995,0.1605
CSGCN,5,15.22224909067154,0.2798342704772949,0.0234,0.0288,0.048,0.0234,0.0305,0.0446,0.049,0.0117,0.0096,0.1105,0.1745
CSGCN,6,15.208176910877228,0.28026723861694336,0.0249,0.0313,0.0532,0.0249,0.0329,0.046,0.0507,0.0127,0.0106,0.1205,0.189
CSGCN,7,15.18906831741333,0.27604031562805176,0.0267,0.0343,0.056,0.0267,0.0348,0.0489,0.054,0.0133,0.011,0.1275,0.2
CSGCN,8,15.164431095123291,0.2754378318786621,0.0272,0.0341,0.0569,0.0272,0.0357,0.0507,0.0564,0.0133,0.0112,0.1275,0.209
CSGCN,9,15.133352756500244,0.27835631370544434,0.0282,0.0361,0.0563,0.0282,0.0357,0.0515,0.0563,0.0142,0.0112,0.1365,0.2075
CSGCN,10,15.095402657985687,0.27756285667419434,0.0285,0.0356,0.056,0.0285,0.036,0.0532,0.058,0.0144,0.0111,0.1375,0.208
CSGCN,11,15.050607979297638,0.27649950981140137,0.0294,0.0363,0.0562,0.0294,0.0368,0.055,0.0599,0.0144,0.0112,0.136,0.2085
CSGCN,12,14.998506486415863,0.279498815536499,0.0296,0.0368,0.0557,0.0296,0.0365,0.0558,0.0602,0.0144,0.011,0.137,0.2025
CSGCN,13,14.938510179519653,0.2783935070037842,0.0295,0.0365,0.0562,0.0295,0.0368,0.0559,0.0605,0.0142,0.0111,0.136,0.205
CSGCN,14,14.87232357263565,0.2788701057434082,0.0289,0.0359,0.0556,0.0289,0.0363,0.0543,0.059,0.0139,0.011,0.133,0.202
CSGCN,15,14.797258913516998,0.2742729187011719,0.0282,0.0347,0.0572,0.0282,0.0362,0.0528,0.0577,0.0138,0.0111,0.1305,0.203
CSGCN,16,14.716956198215485,0.2811927795410156,0.0272,0.0331,0.0575,0.0272,0.036,0.0515,0.0568,0.0131,0.0111,0.124,0.2025
CSGCN,17,14.62888103723526,0.2809429168701172,0.0265,0.0334,0.0564,0.0265,0.0349,0.0494,0.0548,0.013,0.011,0.1225,0.2005
CSGCN,18,14.53177672624588,0.2778019905090332,0.0261,0.0323,0.0544,0.0261,0.0341,0.049,0.0541,0.0129,0.0107,0.121,0.195
CSGCN,19,14.432941734790802,0.2862975597381592,0.0256,0.0324,0.055,0.0256,0.0338,0.0473,0.0525,0.0129,0.0108,0.1205,0.198
CSGCN,20,14.32502394914627,0.27812671661376953,0.0251,0.0323,0.0545,0.0251,0.0331,0.0457,0.0505,0.0129,0.0107,0.122,0.1945
CSGCN,21,14.21500152349472,0.28037190437316895,0.0245,0.031,0.0536,0.0245,0.0327,0.0453,0.0504,0.0123,0.0105,0.116,0.191
CSGCN,22,14.093909561634064,0.39948153495788574,0.0242,0.0305,0.0535,0.0242,0.0325,0.0449,0.05,0.012,0.0104,0.1125,0.1905
CSGCN,23,13.970796406269073,0.28138113021850586,0.024,0.0305,0.0522,0.024,0.0319,0.0444,0.0493,0.0118,0.0101,0.111,0.183
