Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.247019529342651,0.5438735485076904,0.0091,0.013,0.0248,0.0091,0.0134,0.0148,0.0179,0.0053,0.005,0.053,0.0975
LightGCN,2,15.243651807308197,0.25272393226623535,0.0131,0.0191,0.0309,0.0131,0.0174,0.0215,0.0243,0.0073,0.006,0.0725,0.114
LightGCN,3,15.239112377166748,0.2564857006072998,0.0162,0.0241,0.0373,0.0162,0.021,0.027,0.0301,0.009,0.0072,0.089,0.137
LightGCN,4,15.232290208339691,0.2581155300140381,0.0186,0.0261,0.0419,0.0186,0.0247,0.0311,0.0356,0.0091,0.0081,0.09,0.1545
LightGCN,5,15.222407639026642,0.24700284004211426,0.0212,0.0286,0.0454,0.0212,0.0275,0.0358,0.0401,0.0107,0.0089,0.105,0.1675
LightGCN,6,15.208383023738861,0.25798583030700684,0.0224,0.0302,0.0471,0.0224,0.0289,0.0382,0.0426,0.0113,0.0093,0.1115,0.1755
LightGCN,7,15.189232349395752,0.25315260887145996,0.0233,0.0304,0.0502,0.0233,0.0304,0.0414,0.0461,0.0116,0.0097,0.114,0.1825
LightGCN,8,15.164625704288483,0.24634456634521484,0.0238,0.0295,0.0512,0.0238,0.0316,0.0432,0.0481,0.0117,0.0099,0.114,0.185
LightGCN,9,15.133410573005676,0.25466322898864746,0.0245,0.0317,0.0501,0.0245,0.0313,0.0434,0.0479,0.0121,0.0098,0.117,0.182
LightGCN,10,15.095352828502655,0.25477170944213867,0.0239,0.0314,0.0518,0.0239,0.0312,0.0416,0.0463,0.0119,0.01,0.1145,0.1845
LightGCN,11,15.050406038761139,0.25577807426452637,0.0237,0.0305,0.051,0.0237,0.0312,0.0415,0.0465,0.0113,0.0099,0.108,0.182
LightGCN,12,14.997573554515839,0.25180697441101074,0.0234,0.03,0.0497,0.0234,0.0307,0.0411,0.046,0.0112,0.0098,0.1075,0.183
LightGCN,13,14.939256131649017,0.24345183372497559,0.0235,0.0294,0.0493,0.0235,0.0308,0.0417,0.0467,0.0109,0.0095,0.105,0.1795
LightGCN,14,14.871353685855865,0.2597365379333496,0.0229,0.0285,0.0494,0.0229,0.0305,0.0404,0.0455,0.0106,0.0095,0.102,0.178
LightGCN,15,14.796785533428192,0.24450230598449707,0.0234,0.0295,0.0503,0.0234,0.031,0.0412,0.0461,0.0108,0.0096,0.1045,0.1795
LightGCN,16,14.713829159736633,0.24879837036132812,0.0229,0.0292,0.0474,0.0229,0.0297,0.04,0.0447,0.0106,0.0092,0.1025,0.174
LightGCN,17,14.62710291147232,0.2553272247314453,0.0228,0.0288,0.0469,0.0228,0.0297,0.0403,0.0452,0.0106,0.0092,0.101,0.174
LightGCN,18,14.533568143844604,0.25423336029052734,0.0232,0.0298,0.0464,0.0232,0.0294,0.0398,0.0442,0.0109,0.009,0.1045,0.1715
LightGCN,19,14.432117223739624,0.2563309669494629,0.0231,0.0292,0.0472,0.0231,0.0297,0.0399,0.0444,0.0107,0.0091,0.103,0.173
LightGCN,20,14.32319724559784,0.2458500862121582,0.0227,0.0294,0.0447,0.0227,0.0284,0.0386,0.0427,0.0106,0.0086,0.102,0.1645
