Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.246942102909088,0.5279378890991211,0.0106,0.0151,0.027,0.0106,0.0149,0.0178,0.0207,0.0059,0.0052,0.059,0.102
HAGN,2,15.243285059928894,0.29219698905944824,0.0148,0.0196,0.0318,0.0148,0.0193,0.0254,0.0286,0.0074,0.0062,0.0725,0.1195
HAGN,3,15.238081276416779,0.2903590202331543,0.0148,0.0205,0.0329,0.0148,0.0196,0.0245,0.0278,0.0078,0.0065,0.0765,0.125
HAGN,4,15.229783773422241,0.2917664051055908,0.0149,0.019,0.0347,0.0149,0.0205,0.0261,0.0296,0.0077,0.0067,0.0755,0.1295
HAGN,5,15.216599583625793,0.2883479595184326,0.0148,0.0183,0.0327,0.0148,0.0199,0.0267,0.0301,0.0074,0.0065,0.074,0.125
HAGN,6,15.196760058403015,0.2879645824432373,0.0131,0.0162,0.0301,0.0131,0.0182,0.0243,0.0276,0.0067,0.0061,0.0655,0.1145
HAGN,7,15.168238401412964,0.2888762950897217,0.0116,0.015,0.0254,0.0116,0.0155,0.0207,0.0235,0.006,0.0052,0.0585,0.0985
HAGN,8,15.129377245903015,0.2904171943664551,0.0103,0.0141,0.0236,0.0103,0.0139,0.0184,0.0208,0.0055,0.0048,0.054,0.091
HAGN,9,15.077880561351776,0.28848695755004883,0.0081,0.0108,0.0214,0.0081,0.012,0.0152,0.0178,0.0044,0.0042,0.043,0.0805
HAGN,10,15.015114068984985,0.28859925270080566,0.007,0.0089,0.0192,0.007,0.0107,0.0134,0.0159,0.0038,0.0039,0.0375,0.0735
HAGN,11,14.938459634780884,0.2886812686920166,0.0065,0.0088,0.0173,0.0065,0.0096,0.012,0.014,0.0037,0.0035,0.036,0.0675
HAGN,12,14.852249264717102,0.2892022132873535,0.0059,0.0084,0.0157,0.0059,0.0087,0.0105,0.0124,0.0033,0.0032,0.0325,0.0625
HAGN,13,14.756510257720947,0.2879660129547119,0.0058,0.0079,0.0161,0.0058,0.0089,0.0106,0.0127,0.0032,0.0033,0.0315,0.0645
HAGN,14,14.646285653114319,0.2905113697052002,0.0057,0.0081,0.0157,0.0057,0.0085,0.0098,0.0117,0.0033,0.0032,0.032,0.0625
HAGN,15,14.533794403076172,0.28798747062683105,0.0056,0.0078,0.0139,0.0056,0.008,0.0101,0.0117,0.0032,0.0029,0.0315,0.0565
