Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.246972143650055,0.5266273021697998,0.0108,0.015,0.0235,0.0108,0.0143,0.0176,0.0201,0.0056,0.0049,0.0555,0.0935
LightGCN,2,15.243588328361511,0.2406909465789795,0.0122,0.0171,0.0304,0.0122,0.0173,0.0198,0.0232,0.0067,0.0061,0.065,0.1155
LightGCN,3,15.239028930664062,0.23993754386901855,0.0136,0.0178,0.0351,0.0136,0.0202,0.0243,0.0285,0.0071,0.0071,0.07,0.132
LightGCN,4,15.232132077217102,0.24007821083068848,0.0164,0.0216,0.0409,0.0164,0.0235,0.0298,0.0343,0.0085,0.0081,0.0815,0.1495
LightGCN,5,15.222085893154144,0.24097108840942383,0.0197,0.0266,0.0436,0.0197,0.0263,0.0346,0.039,0.0101,0.0088,0.097,0.1625
LightGCN,6,15.207884430885315,0.23808765411376953,0.0211,0.0284,0.0485,0.0211,0.0288,0.0373,0.0423,0.0108,0.0097,0.1035,0.179
LightGCN,7,15.18879747390747,0.23899412155151367,0.0232,0.0302,0.0488,0.0232,0.0302,0.0407,0.0452,0.0119,0.0099,0.112,0.18
LightGCN,8,15.163738429546356,0.23993468284606934,0.0235,0.0309,0.0509,0.0235,0.0311,0.0417,0.0466,0.0121,0.0102,0.115,0.188
LightGCN,9,15.132019639015198,0.2375319004058838,0.0233,0.0301,0.053,0.0233,0.0318,0.0418,0.0472,0.0119,0.0105,0.115,0.195
LightGCN,10,15.09403645992279,0.23807334899902344,0.024,0.0312,0.0547,0.024,0.0326,0.0427,0.048,0.0122,0.0106,0.119,0.199
LightGCN,11,15.048039615154266,0.2397909164428711,0.0235,0.0314,0.0537,0.0235,0.0317,0.0412,0.0466,0.0121,0.0104,0.118,0.197
LightGCN,12,14.996277391910553,0.2391495704650879,0.0239,0.0321,0.054,0.0239,0.032,0.0419,0.0474,0.0122,0.0104,0.1185,0.198
LightGCN,13,14.936014413833618,0.23536276817321777,0.0238,0.0317,0.0544,0.0238,0.0322,0.0414,0.047,0.0123,0.0106,0.1195,0.202
LightGCN,14,14.868402898311615,0.24238300323486328,0.0243,0.0335,0.0535,0.0243,0.0316,0.0414,0.0462,0.0128,0.0104,0.124,0.1955
LightGCN,15,14.794156670570374,0.24022483825683594,0.0239,0.0328,0.0544,0.0239,0.0318,0.0405,0.0458,0.0126,0.0105,0.1215,0.199
LightGCN,16,14.712218046188354,0.23918557167053223,0.0232,0.0311,0.054,0.0232,0.0315,0.0398,0.0454,0.012,0.0104,0.1155,0.197
LightGCN,17,14.623288989067078,0.234877347946167,0.0231,0.0303,0.0545,0.0231,0.0319,0.0401,0.0458,0.0119,0.0104,0.1145,0.198
LightGCN,18,14.528681635856628,0.23777318000793457,0.0235,0.0313,0.0539,0.0235,0.0317,0.0403,0.0458,0.012,0.0103,0.1145,0.195
LightGCN,19,14.425247371196747,0.2373955249786377,0.0231,0.0307,0.0533,0.0231,0.0313,0.0397,0.0451,0.0119,0.0103,0.114,0.193
LightGCN,20,14.318635880947113,0.24042868614196777,0.0227,0.0306,0.0528,0.0227,0.0309,0.0391,0.0445,0.0116,0.0102,0.113,0.1925
LightGCN,21,14.208772540092468,0.23734021186828613,0.0227,0.0304,0.0524,0.0227,0.0306,0.0391,0.0442,0.0117,0.01,0.1135,0.189
LightGCN,22,14.087821662425995,0.23615050315856934,0.0228,0.031,0.0521,0.0228,0.0303,0.0389,0.0437,0.0119,0.0099,0.116,0.1865
LightGCN,23,13.967338025569916,0.23848581314086914,0.0227,0.0304,0.0518,0.0227,0.0303,0.0391,0.044,0.0116,0.0097,0.1135,0.1835
LightGCN,24,13.837619721889496,0.23904728889465332,0.0229,0.0304,0.0512,0.0229,0.0303,0.0394,0.0442,0.0117,0.0097,0.1135,0.184
LightGCN,25,13.70595234632492,0.238081693649292,0.0233,0.0312,0.0497,0.0233,0.03,0.0395,0.0439,0.0118,0.0095,0.115,0.18
