Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,31.36532974243164,0.790043830871582,0.0077,0.0069,0.0121,0.0077,0.0097,0.0201,0.0234,0.0061,0.0056,0.059,0.1065
ASLGCN,2,31.35115373134613,0.5785822868347168,0.0081,0.0074,0.0122,0.0081,0.0098,0.0214,0.024,0.0069,0.0056,0.068,0.1065
ASLGCN,3,31.33358633518219,0.5792887210845947,0.0081,0.0072,0.0127,0.0081,0.0102,0.0217,0.0248,0.0069,0.0061,0.0665,0.1145
ASLGCN,4,31.309543311595917,0.5910732746124268,0.0089,0.0073,0.0131,0.0089,0.0112,0.0252,0.029,0.0069,0.0067,0.0665,0.125
ASLGCN,5,31.275712490081787,0.5763390064239502,0.009,0.0078,0.0138,0.009,0.0113,0.0239,0.0277,0.0075,0.007,0.0715,0.1285
ASLGCN,6,31.228814244270325,0.5733518600463867,0.0085,0.0071,0.014,0.0085,0.0113,0.0232,0.0273,0.007,0.007,0.068,0.1295
ASLGCN,7,31.16661673784256,0.581646203994751,0.0082,0.0071,0.0131,0.0082,0.0105,0.0216,0.0252,0.007,0.0066,0.0675,0.121
ASLGCN,8,31.087404131889343,0.5694553852081299,0.0074,0.0064,0.0121,0.0074,0.0095,0.019,0.0225,0.0066,0.0062,0.0645,0.1155
ASLGCN,9,30.989775002002716,0.561103343963623,0.0074,0.0065,0.0112,0.0074,0.0089,0.0188,0.0217,0.0066,0.0057,0.0645,0.108
ASLGCN,10,30.871239721775055,0.558222770690918,0.0067,0.0055,0.0107,0.0067,0.0085,0.0175,0.0207,0.0059,0.0056,0.058,0.105
ASLGCN,11,30.734513461589813,0.5580644607543945,0.0065,0.0055,0.0102,0.0065,0.0082,0.0167,0.0199,0.0059,0.0055,0.0575,0.103
ASLGCN,12,30.580269277095795,0.5631363391876221,0.0063,0.0054,0.0105,0.0063,0.0083,0.016,0.0195,0.0056,0.0055,0.055,0.105
ASLGCN,13,30.407666742801666,0.5578048229217529,0.0067,0.0057,0.0104,0.0067,0.0083,0.017,0.0201,0.0061,0.0054,0.059,0.105
ASLGCN,14,30.229147493839264,0.560283899307251,0.0064,0.0057,0.0106,0.0064,0.0083,0.0161,0.0193,0.0058,0.0055,0.0575,0.105
ASLGCN,15,30.02895152568817,0.5564985275268555,0.0065,0.0058,0.0104,0.0065,0.0082,0.0163,0.0192,0.0059,0.0054,0.0585,0.103
ASLGCN,16,29.806651890277863,0.5596911907196045,0.0064,0.006,0.0102,0.0064,0.0079,0.0154,0.0183,0.006,0.0053,0.059,0.102
