Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,11.022101789712906,0.809417724609375,0.1839,0.2125,0.2772,0.1839,0.2088,0.3016,0.31,0.0755,0.0516,0.58,0.7025
MHCN,2,7.84700733423233,0.6202619075775146,0.2022,0.2342,0.3049,0.2022,0.2299,0.3264,0.3349,0.0874,0.0593,0.634,0.7555
MHCN,3,7.004634618759155,0.6085214614868164,0.202,0.2353,0.3106,0.202,0.2315,0.3251,0.3345,0.0872,0.0603,0.6375,0.771
MHCN,4,6.494942158460617,0.6068389415740967,0.2083,0.2379,0.312,0.2083,0.2373,0.342,0.3509,0.0899,0.0616,0.6485,0.7745
MHCN,5,6.192254662513733,0.6073942184448242,0.2089,0.2378,0.3134,0.2089,0.2383,0.341,0.3503,0.0913,0.0625,0.647,0.7805
MHCN,6,5.8760629296302795,0.6157221794128418,0.2072,0.2351,0.3102,0.2072,0.2367,0.3443,0.3533,0.0905,0.0624,0.642,0.773
MHCN,7,5.684709995985031,0.5973150730133057,0.2086,0.2368,0.3165,0.2086,0.2398,0.3463,0.3557,0.0914,0.0636,0.6485,0.782
MHCN,8,5.504084914922714,0.5976319313049316,0.203,0.2301,0.3073,0.203,0.2331,0.3422,0.3515,0.0889,0.062,0.6405,0.774
MHCN,9,5.369426101446152,0.6124441623687744,0.2037,0.233,0.3071,0.2037,0.2327,0.3384,0.3466,0.0902,0.0619,0.6435,0.7615
MHCN,10,5.255153134465218,0.6085464954376221,0.2012,0.2262,0.3031,0.2012,0.2315,0.3405,0.3493,0.0876,0.0616,0.6305,0.757
MHCN,11,5.133752927184105,0.6050753593444824,0.2015,0.2294,0.3025,0.2015,0.2303,0.335,0.3437,0.09,0.0618,0.6375,0.7625
MHCN,12,5.044988334178925,0.6144580841064453,0.1999,0.2242,0.2999,0.1999,0.2296,0.3402,0.3494,0.0884,0.0616,0.6345,0.764
MHCN,13,4.950390875339508,0.5964725017547607,0.1974,0.2222,0.2998,0.1974,0.2271,0.3385,0.3472,0.0876,0.0608,0.6365,0.7605
MHCN,14,4.869443714618683,0.5953295230865479,0.1985,0.2204,0.2972,0.1985,0.2283,0.3391,0.3484,0.0868,0.0607,0.628,0.761
MHCN,15,4.7864964455366135,0.5957889556884766,0.1987,0.224,0.2958,0.1987,0.2269,0.3358,0.3448,0.0882,0.0606,0.63,0.7585
MHCN,16,4.7198406755924225,0.5996527671813965,0.1939,0.2177,0.2891,0.1939,0.2218,0.3312,0.3408,0.086,0.0596,0.6165,0.755
