Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,16.030929446220398,0.515094518661499,0.0117,0.0152,0.0242,0.0117,0.0151,0.0212,0.0237,0.0062,0.0052,0.06,0.0985
ASLGCN,2,16.025032222270966,0.30388927459716797,0.0146,0.0183,0.0279,0.0146,0.0184,0.027,0.0299,0.0073,0.006,0.071,0.114
ASLGCN,3,16.01791560649872,0.3053724765777588,0.0164,0.0232,0.0366,0.0164,0.0217,0.0271,0.031,0.0089,0.0077,0.0855,0.142
ASLGCN,4,16.008342683315277,0.3019721508026123,0.0178,0.0246,0.0406,0.0178,0.0239,0.0297,0.0338,0.0098,0.0082,0.0925,0.1505
ASLGCN,5,15.995258271694183,0.3048570156097412,0.0203,0.0272,0.0427,0.0203,0.0262,0.0337,0.0378,0.0107,0.0087,0.1005,0.1605
ASLGCN,6,15.977395415306091,0.3021712303161621,0.022,0.029,0.0464,0.022,0.0286,0.0371,0.0415,0.0111,0.0093,0.1045,0.17
ASLGCN,7,15.954234778881073,0.30533671379089355,0.022,0.0293,0.0474,0.022,0.0289,0.0373,0.0419,0.0111,0.0095,0.1045,0.1725
ASLGCN,8,15.924248397350311,0.301910400390625,0.0227,0.0297,0.0465,0.0227,0.0289,0.0395,0.0433,0.0112,0.0091,0.108,0.1675
ASLGCN,9,15.886649191379547,0.3023409843444824,0.0213,0.0279,0.0439,0.0213,0.0272,0.0368,0.0406,0.0105,0.0084,0.1005,0.156
ASLGCN,10,15.841735482215881,0.3033015727996826,0.0187,0.0251,0.0413,0.0187,0.0247,0.0317,0.0357,0.0094,0.0079,0.09,0.147
ASLGCN,11,15.788394510746002,0.3057980537414551,0.0176,0.0238,0.0406,0.0176,0.0236,0.0295,0.0335,0.0086,0.0075,0.0825,0.141
ASLGCN,12,15.724534392356873,0.3072936534881592,0.0157,0.0212,0.0397,0.0157,0.0223,0.0265,0.0308,0.0078,0.0074,0.075,0.14
ASLGCN,13,15.653642416000366,0.3055241107940674,0.0152,0.0207,0.0349,0.0152,0.0205,0.0254,0.0289,0.0077,0.0067,0.0745,0.127
ASLGCN,14,15.571755647659302,0.30393481254577637,0.0143,0.0189,0.0335,0.0143,0.0197,0.0245,0.0281,0.007,0.0063,0.0675,0.1195
ASLGCN,15,15.48271507024765,0.4378700256347656,0.0126,0.0169,0.0304,0.0126,0.0178,0.0213,0.025,0.0061,0.0059,0.059,0.113
ASLGCN,16,15.386881411075592,0.30078840255737305,0.0124,0.0162,0.0282,0.0124,0.0169,0.0214,0.0246,0.0059,0.0055,0.0575,0.105
ASLGCN,17,15.28244560956955,0.30159592628479004,0.0116,0.0149,0.0279,0.0116,0.0165,0.0202,0.0236,0.0055,0.0054,0.0535,0.1045
ASLGCN,18,15.165655314922333,0.3003730773925781,0.0116,0.0151,0.0263,0.0116,0.0159,0.0203,0.0235,0.0052,0.0052,0.0505,0.099
ASLGCN,19,15.046227931976318,0.3016958236694336,0.0112,0.0147,0.0262,0.0112,0.0157,0.0195,0.0228,0.0052,0.0052,0.0505,0.099
