Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,2.1370683014392853,0.48845386505126953,0.6123,0.7544,0.8052,0.6123,0.6288,0.6367,0.6385,0.1285,0.0704,0.9085,0.935
MHCN,2,1.5208891779184341,0.2687199115753174,0.6164,0.7585,0.8125,0.6164,0.6337,0.6395,0.6414,0.1316,0.0721,0.9075,0.9345
MHCN,3,1.4011122584342957,0.26884937286376953,0.617,0.7594,0.8155,0.617,0.6347,0.6392,0.6415,0.1327,0.0727,0.906,0.9385
MHCN,4,1.3318092823028564,0.2682921886444092,0.617,0.7649,0.8178,0.617,0.6339,0.6364,0.6385,0.1341,0.0733,0.9085,0.9385
MHCN,5,1.295923188328743,0.26871681213378906,0.6168,0.7678,0.821,0.6168,0.6339,0.6347,0.6368,0.1347,0.0735,0.9115,0.9415
MHCN,6,1.2519878968596458,0.2678806781768799,0.6197,0.7687,0.8258,0.6197,0.6378,0.6394,0.6416,0.1351,0.074,0.912,0.9425
MHCN,7,1.2325517013669014,0.26744532585144043,0.6196,0.768,0.8203,0.6196,0.6364,0.6397,0.6416,0.1349,0.0735,0.9115,0.9385
MHCN,8,1.1942134648561478,0.2647686004638672,0.6195,0.7653,0.823,0.6195,0.6376,0.6418,0.6443,0.1348,0.0738,0.9065,0.942
MHCN,9,1.1668777242302895,0.26586008071899414,0.6172,0.762,0.8247,0.6172,0.6368,0.6395,0.6422,0.1343,0.074,0.903,0.941
MHCN,10,1.158575750887394,0.2652108669281006,0.615,0.7584,0.8223,0.615,0.6351,0.6379,0.6406,0.1336,0.074,0.8995,0.9375
MHCN,11,1.131153516471386,0.2851238250732422,0.6177,0.7646,0.8212,0.6177,0.6358,0.6406,0.6428,0.1342,0.0739,0.905,0.937
MHCN,12,1.1087857484817505,0.28075289726257324,0.617,0.7594,0.8214,0.617,0.6366,0.6402,0.6428,0.1335,0.0738,0.9025,0.9395
MHCN,13,1.0856192484498024,0.2730441093444824,0.6158,0.7537,0.8214,0.6158,0.6372,0.6406,0.6438,0.1327,0.0738,0.897,0.941
MHCN,14,1.080226019024849,0.2688333988189697,0.6168,0.7585,0.8199,0.6168,0.6363,0.6409,0.6437,0.1338,0.0739,0.9,0.9385
MHCN,15,1.0626557543873787,0.27526116371154785,0.6139,0.7588,0.8172,0.6139,0.6325,0.6376,0.6403,0.134,0.0737,0.899,0.935
MHCN,16,1.0539368018507957,0.26921892166137695,0.6096,0.7538,0.8157,0.6096,0.6292,0.6332,0.636,0.1335,0.0736,0.8955,0.9335
MHCN,17,1.0407847464084625,0.26904797554016113,0.6093,0.754,0.815,0.6093,0.6285,0.6326,0.6351,0.1337,0.0736,0.8965,0.931
