Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,6.23882919549942,0.26695704460144043,0.0031,0.007,0.01,0.0031,0.004,0.0022,0.0026,0.001,0.0008,0.01,0.0155
BPR,2,6.226450264453888,0.11205339431762695,0.0024,0.005,0.0088,0.0024,0.0036,0.0018,0.0023,0.0007,0.0007,0.007,0.014
BPR,3,6.218372106552124,0.11020708084106445,0.0024,0.0046,0.0093,0.0024,0.0038,0.002,0.0025,0.0007,0.0007,0.007,0.0145
BPR,4,6.209967374801636,0.10978841781616211,0.0027,0.0046,0.0092,0.0027,0.004,0.0023,0.0028,0.0007,0.0008,0.007,0.015
BPR,5,6.199754476547241,0.1147453784942627,0.0029,0.0047,0.0094,0.0029,0.0042,0.0026,0.0032,0.0007,0.0008,0.007,0.016
BPR,6,6.190483450889587,0.11303186416625977,0.003,0.0048,0.0086,0.003,0.0041,0.0029,0.0034,0.0008,0.0007,0.0075,0.014
BPR,7,6.180293023586273,0.10925650596618652,0.003,0.0056,0.0088,0.003,0.0039,0.0026,0.003,0.0009,0.0007,0.0085,0.0145
BPR,8,6.169707238674164,0.1956939697265625,0.0027,0.0046,0.0079,0.0027,0.0036,0.0025,0.0028,0.0008,0.0007,0.0075,0.013
BPR,9,6.159985899925232,0.10852932929992676,0.0027,0.0047,0.0077,0.0027,0.0036,0.0025,0.0029,0.0008,0.0007,0.0075,0.013
BPR,10,6.1477091908454895,0.10863256454467773,0.0027,0.0049,0.0071,0.0027,0.0033,0.0023,0.0026,0.0008,0.0007,0.008,0.013
BPR,11,6.131840288639069,0.10813093185424805,0.0026,0.0046,0.0072,0.0026,0.0034,0.0024,0.0027,0.0008,0.0007,0.008,0.0135
BPR,12,6.117286860942841,0.1077890396118164,0.0024,0.0046,0.0078,0.0024,0.0033,0.002,0.0024,0.0008,0.0007,0.008,0.014
