Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,6.232308626174927,0.3064401149749756,0.0023,0.004,0.006,0.0023,0.0029,0.0023,0.0026,0.0006,0.0005,0.006,0.01
DiffNet,2,6.207824349403381,0.12368965148925781,0.0028,0.0045,0.0071,0.0028,0.0035,0.0029,0.0032,0.0007,0.0005,0.0065,0.0105
DiffNet,3,6.184559762477875,0.12764930725097656,0.0025,0.004,0.0064,0.0025,0.0032,0.0028,0.003,0.0006,0.0005,0.006,0.0095
DiffNet,4,6.161173641681671,0.12099242210388184,0.0022,0.003,0.0065,0.0022,0.0032,0.0027,0.003,0.0005,0.0005,0.0045,0.0095
DiffNet,5,6.13279265165329,0.12160348892211914,0.003,0.0049,0.0068,0.003,0.0035,0.003,0.0032,0.0008,0.0006,0.008,0.011
DiffNet,6,6.101759493350983,0.126068115234375,0.0026,0.0042,0.0059,0.0026,0.003,0.0026,0.0027,0.0007,0.0005,0.007,0.0095
DiffNet,7,6.062123239040375,0.12548375129699707,0.0026,0.0039,0.0059,0.0026,0.0032,0.0028,0.003,0.0006,0.0005,0.006,0.0095
DiffNet,8,6.018001019954681,0.12396073341369629,0.0029,0.004,0.0055,0.0029,0.0033,0.0032,0.0034,0.0006,0.0004,0.006,0.0085
DiffNet,9,5.964810431003571,0.12230324745178223,0.0028,0.004,0.0063,0.0028,0.0034,0.0032,0.0034,0.0006,0.0005,0.006,0.009
DiffNet,10,5.9038777351379395,0.12392735481262207,0.0025,0.003,0.0061,0.0025,0.0033,0.003,0.0033,0.0005,0.0005,0.005,0.009
DiffNet,11,5.838340103626251,0.12836861610412598,0.0025,0.0035,0.0064,0.0025,0.0033,0.003,0.0033,0.0006,0.0005,0.0055,0.0095
DiffNet,12,5.760922372341156,0.12240815162658691,0.0026,0.0035,0.0076,0.0026,0.0037,0.0032,0.0035,0.0006,0.0006,0.0055,0.0115
DiffNet,13,5.671890556812286,0.12315535545349121,0.0026,0.0035,0.0075,0.0026,0.0037,0.0032,0.0036,0.0006,0.0006,0.0055,0.012
DiffNet,14,5.584653675556183,0.12295222282409668,0.0025,0.0038,0.007,0.0025,0.0034,0.0028,0.0032,0.0007,0.0006,0.0065,0.0115
DiffNet,15,5.478479444980621,0.12300896644592285,0.003,0.0043,0.0073,0.003,0.0039,0.0037,0.004,0.0007,0.0006,0.007,0.0115
DiffNet,16,5.371155679225922,0.12381625175476074,0.0028,0.0045,0.0073,0.0028,0.0036,0.0032,0.0034,0.0008,0.0006,0.0075,0.0115
DiffNet,17,5.253482758998871,0.1217496395111084,0.0028,0.0048,0.0069,0.0028,0.0034,0.003,0.0032,0.0008,0.0005,0.008,0.0105
DiffNet,18,5.1261725425720215,0.12327361106872559,0.0027,0.0045,0.0064,0.0027,0.0032,0.0028,0.0029,0.0008,0.0005,0.0075,0.01
DiffNet,19,4.993861258029938,0.12334036827087402,0.0029,0.005,0.0064,0.0029,0.0033,0.0029,0.003,0.0008,0.0005,0.008,0.01
DiffNet,20,4.858318507671356,0.12322688102722168,0.0029,0.005,0.0076,0.0029,0.0036,0.0029,0.0032,0.0008,0.0006,0.008,0.012
DiffNet,21,4.716908276081085,0.12248706817626953,0.003,0.005,0.0078,0.003,0.0037,0.0031,0.0033,0.0008,0.0006,0.008,0.012
DiffNet,22,4.578661859035492,0.12375473976135254,0.0032,0.0057,0.0083,0.0032,0.004,0.0032,0.0035,0.0009,0.0007,0.009,0.013
DiffNet,23,4.434956252574921,0.12354230880737305,0.0029,0.0048,0.0091,0.0029,0.0041,0.0031,0.0035,0.0008,0.0007,0.0075,0.014
DiffNet,24,4.3043462336063385,0.23428130149841309,0.0033,0.0058,0.0081,0.0033,0.004,0.0034,0.0037,0.0009,0.0006,0.0085,0.0125
DiffNet,25,4.149697780609131,0.12397551536560059,0.0033,0.0058,0.0087,0.0033,0.0042,0.0034,0.0037,0.0009,0.0007,0.0085,0.0135
DiffNet,26,3.996112048625946,0.1237642765045166,0.003,0.0051,0.0089,0.003,0.0041,0.0032,0.0036,0.0008,0.0007,0.0075,0.014
DiffNet,27,3.847893863916397,0.12453460693359375,0.003,0.0051,0.0096,0.003,0.0043,0.0032,0.0037,0.0008,0.0008,0.0075,0.015
DiffNet,28,3.7336365878582,0.12257146835327148,0.0031,0.0051,0.0091,0.0031,0.0043,0.0034,0.0038,0.0008,0.0007,0.0075,0.0145
DiffNet,29,3.5929925739765167,0.12226986885070801,0.0032,0.0046,0.0092,0.0032,0.0045,0.0036,0.0041,0.0007,0.0008,0.007,0.015
DiffNet,30,3.4650345146656036,0.12284469604492188,0.003,0.0046,0.0085,0.003,0.0041,0.0034,0.0038,0.0007,0.0007,0.007,0.014
DiffNet,31,3.3337309658527374,0.12280941009521484,0.0031,0.0045,0.0085,0.0031,0.0042,0.0034,0.0039,0.0007,0.0007,0.007,0.014
DiffNet,32,3.195229560136795,0.12233138084411621,0.003,0.0045,0.0069,0.003,0.0037,0.0033,0.0036,0.0007,0.0006,0.007,0.012
DiffNet,33,3.086392879486084,0.12338638305664062,0.003,0.0045,0.0069,0.003,0.0037,0.0034,0.0037,0.0007,0.0006,0.007,0.012
DiffNet,34,2.9731759428977966,0.12676191329956055,0.003,0.0045,0.0079,0.003,0.004,0.0034,0.0038,0.0007,0.0007,0.007,0.013
DiffNet,35,2.8506623804569244,0.12719035148620605,0.003,0.0045,0.0081,0.003,0.0041,0.0034,0.0038,0.0007,0.0007,0.007,0.0135
DiffNet,36,2.7665866911411285,0.12482261657714844,0.003,0.0045,0.0079,0.003,0.004,0.0034,0.0038,0.0007,0.0007,0.007,0.013
