Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,6.235414087772369,0.3087766170501709,0.1104,0.165,0.2189,0.1104,0.125,0.1033,0.1082,0.0207,0.0141,0.204,0.2755
LightGCN,2,6.233246803283691,0.12470769882202148,0.1352,0.1982,0.2553,0.1352,0.1506,0.1278,0.1328,0.0252,0.0165,0.247,0.3205
LightGCN,3,6.230748236179352,0.1216878890991211,0.1563,0.2313,0.2929,0.1563,0.1735,0.1474,0.1532,0.0293,0.0192,0.2865,0.37
LightGCN,4,6.227468967437744,0.12205767631530762,0.1772,0.2615,0.324,0.1772,0.1948,0.1681,0.1739,0.0334,0.0214,0.324,0.4085
LightGCN,5,6.223197102546692,0.12223386764526367,0.1917,0.2814,0.3503,0.1917,0.2113,0.182,0.1886,0.0363,0.0236,0.35,0.4445
LightGCN,6,6.217892527580261,0.12230348587036133,0.2083,0.3048,0.3761,0.2083,0.2285,0.1986,0.2054,0.0399,0.0255,0.3815,0.4785
LightGCN,7,6.211279511451721,0.12251710891723633,0.2212,0.323,0.3997,0.2212,0.2432,0.2121,0.2194,0.0426,0.0275,0.4055,0.5095
LightGCN,8,6.202961981296539,0.12349367141723633,0.2339,0.3354,0.4173,0.2339,0.2576,0.2265,0.2343,0.0446,0.029,0.423,0.5315
LightGCN,9,6.193420171737671,0.12668609619140625,0.2462,0.354,0.4354,0.2462,0.2697,0.238,0.2454,0.0472,0.0304,0.4475,0.5545
LightGCN,10,6.181620955467224,0.1242682933807373,0.2522,0.359,0.4486,0.2522,0.278,0.2453,0.2533,0.0482,0.0314,0.4545,0.57
LightGCN,11,6.167975842952728,0.12723135948181152,0.2573,0.3652,0.4579,0.2573,0.284,0.2521,0.2605,0.0493,0.0322,0.462,0.582
LightGCN,12,6.151958525180817,0.1246023178100586,0.2626,0.3751,0.4629,0.2626,0.2879,0.2575,0.2652,0.0506,0.0327,0.4725,0.5855
LightGCN,13,6.134002089500427,0.12058091163635254,0.2689,0.3819,0.4707,0.2689,0.2943,0.2647,0.2726,0.0519,0.0333,0.482,0.598
LightGCN,14,6.113854348659515,0.12205243110656738,0.273,0.3886,0.4748,0.273,0.298,0.2695,0.2772,0.0526,0.0337,0.492,0.6045
LightGCN,15,6.090659916400909,0.12137174606323242,0.2753,0.3905,0.4793,0.2753,0.3007,0.272,0.2798,0.0532,0.0339,0.4965,0.6095
LightGCN,16,6.066559970378876,0.12154412269592285,0.2765,0.3958,0.4845,0.2765,0.302,0.2723,0.2801,0.0538,0.0343,0.502,0.614
LightGCN,17,6.03837662935257,0.12131762504577637,0.2771,0.3948,0.4843,0.2771,0.3029,0.2732,0.281,0.054,0.0344,0.504,0.6145
LightGCN,18,6.008317053318024,0.12116718292236328,0.2807,0.4014,0.4864,0.2807,0.305,0.2758,0.2829,0.0549,0.0345,0.512,0.616
LightGCN,19,5.97601592540741,0.12117981910705566,0.2812,0.4022,0.4876,0.2812,0.3056,0.2764,0.2834,0.0552,0.0346,0.515,0.617
LightGCN,20,5.940328478813171,0.12210941314697266,0.2807,0.3993,0.4876,0.2807,0.3064,0.2764,0.2841,0.0545,0.0347,0.5085,0.617
LightGCN,21,5.90359765291214,0.12124156951904297,0.2811,0.3998,0.4894,0.2811,0.307,0.2763,0.2842,0.0547,0.0348,0.508,0.62
LightGCN,22,5.862930476665497,0.11951184272766113,0.2817,0.4023,0.4898,0.2817,0.307,0.2767,0.2843,0.0552,0.0349,0.5115,0.622
LightGCN,23,5.820006608963013,0.12097001075744629,0.2816,0.4021,0.4933,0.2816,0.3078,0.2766,0.2843,0.0552,0.0351,0.511,0.6235
LightGCN,24,5.77715277671814,0.12008166313171387,0.2822,0.4027,0.4927,0.2822,0.3081,0.2781,0.2859,0.0552,0.035,0.5105,0.6235
LightGCN,25,5.732033789157867,0.22234392166137695,0.2833,0.4042,0.4913,0.2833,0.3084,0.2792,0.2866,0.0555,0.035,0.5135,0.6205
LightGCN,26,5.6824787855148315,0.12233686447143555,0.2833,0.4056,0.4903,0.2833,0.3077,0.2788,0.286,0.0558,0.035,0.5155,0.6205
LightGCN,27,5.628967106342316,0.1257169246673584,0.2826,0.4046,0.4913,0.2826,0.3076,0.2782,0.2858,0.0557,0.0351,0.514,0.6225
LightGCN,28,5.579710841178894,0.12230348587036133,0.282,0.405,0.4918,0.282,0.307,0.2771,0.2846,0.0557,0.0351,0.514,0.6225
LightGCN,29,5.523814380168915,0.12082886695861816,0.2818,0.4046,0.4924,0.2818,0.307,0.2771,0.2845,0.0557,0.0351,0.514,0.623
