Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.94002079963684,0.49631667137145996,0.0109,0.0146,0.0266,0.0109,0.0154,0.0193,0.0224,0.0057,0.0052,0.054,0.0985
CSGCN,2,15.936446964740753,0.2894325256347656,0.0153,0.0194,0.0319,0.0153,0.0202,0.0278,0.031,0.0076,0.0066,0.0745,0.124
CSGCN,3,15.931686341762543,0.2869396209716797,0.0184,0.0239,0.0381,0.0184,0.0238,0.0326,0.0362,0.0098,0.008,0.0945,0.149
CSGCN,4,15.924631237983704,0.28595590591430664,0.0198,0.025,0.0425,0.0198,0.0263,0.0358,0.0398,0.0105,0.0087,0.1015,0.1595
CSGCN,5,15.914483487606049,0.28940749168395996,0.0222,0.0273,0.0461,0.0222,0.0292,0.0415,0.046,0.0115,0.0096,0.109,0.1775
CSGCN,6,15.900054275989532,0.28632116317749023,0.0229,0.029,0.0519,0.0229,0.0313,0.0413,0.0466,0.0121,0.0105,0.1115,0.191
CSGCN,7,15.88081830739975,0.2857084274291992,0.0238,0.0315,0.0521,0.0238,0.0316,0.0412,0.0465,0.0126,0.0106,0.116,0.193
CSGCN,8,15.856347858905792,0.2868154048919678,0.0236,0.0313,0.0531,0.0236,0.0319,0.0405,0.0457,0.0123,0.0106,0.116,0.1905
CSGCN,9,15.82508099079132,0.28232526779174805,0.0236,0.0318,0.0521,0.0236,0.0313,0.0398,0.0447,0.0124,0.0105,0.1175,0.1915
CSGCN,10,15.78742265701294,0.28257274627685547,0.024,0.0315,0.0509,0.024,0.0313,0.0409,0.0459,0.0122,0.0102,0.114,0.186
CSGCN,11,15.742541491985321,0.2854466438293457,0.0239,0.0319,0.0519,0.0239,0.0316,0.0398,0.0448,0.0121,0.0104,0.114,0.187
CSGCN,12,15.690949499607086,0.28217482566833496,0.0237,0.0315,0.0512,0.0237,0.0314,0.0402,0.0455,0.0118,0.0103,0.111,0.1865
CSGCN,13,15.631730258464813,0.2840852737426758,0.0238,0.0321,0.0503,0.0238,0.0308,0.0404,0.0449,0.0122,0.0101,0.1155,0.1825
CSGCN,14,15.566276609897614,0.2929370403289795,0.0226,0.0303,0.0502,0.0226,0.0302,0.0383,0.0433,0.0114,0.01,0.108,0.181
CSGCN,15,15.493325591087341,0.30208301544189453,0.0229,0.0309,0.0486,0.0229,0.0297,0.0381,0.0426,0.0117,0.0097,0.11,0.1765
CSGCN,16,15.411433458328247,0.2897822856903076,0.0226,0.0301,0.0475,0.0226,0.0292,0.0375,0.0418,0.0115,0.0095,0.11,0.172
CSGCN,17,15.326048612594604,0.40459418296813965,0.0225,0.03,0.0469,0.0225,0.029,0.0377,0.0421,0.0116,0.0095,0.1085,0.173
CSGCN,18,15.23324328660965,0.2829139232635498,0.0222,0.0297,0.0459,0.0222,0.0284,0.0372,0.0414,0.0115,0.0094,0.108,0.17
CSGCN,19,15.133262276649475,0.280470609664917,0.0215,0.0287,0.0461,0.0215,0.0282,0.0364,0.0406,0.0111,0.0094,0.106,0.169
CSGCN,20,15.031972587108612,0.27460217475891113,0.0212,0.0282,0.0454,0.0212,0.0278,0.0362,0.0405,0.0107,0.0091,0.103,0.1655
CSGCN,21,14.915587902069092,0.275327205657959,0.0213,0.0285,0.0442,0.0213,0.0274,0.0365,0.0405,0.011,0.009,0.1055,0.165
