Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,16.03093034029007,0.5445048809051514,0.0116,0.0154,0.0286,0.0116,0.0166,0.0216,0.025,0.0063,0.0059,0.061,0.112
ASLGCN,2,16.02505886554718,0.32822132110595703,0.0139,0.0187,0.0339,0.0139,0.0195,0.0246,0.0282,0.0076,0.0068,0.074,0.1275
ASLGCN,3,16.017911791801453,0.3086707592010498,0.0175,0.0236,0.0384,0.0175,0.0228,0.0306,0.034,0.0096,0.0076,0.0925,0.143
ASLGCN,4,16.00820255279541,0.33710169792175293,0.0183,0.0256,0.0448,0.0183,0.0255,0.0313,0.0361,0.01,0.0088,0.0955,0.1645
ASLGCN,5,15.994783461093903,0.300478458404541,0.0201,0.0277,0.0495,0.0201,0.0281,0.0348,0.0401,0.0106,0.0096,0.1025,0.1815
ASLGCN,6,15.976581335067749,0.32857823371887207,0.0227,0.0322,0.0515,0.0227,0.0301,0.0384,0.0436,0.0117,0.0101,0.1135,0.189
ASLGCN,7,15.952832043170929,0.33623385429382324,0.0231,0.0306,0.0536,0.0231,0.0316,0.0399,0.0455,0.0116,0.0104,0.1105,0.192
ASLGCN,8,15.922744512557983,0.3000776767730713,0.0248,0.0329,0.0547,0.0248,0.0332,0.0428,0.0484,0.0121,0.0108,0.1155,0.198
ASLGCN,9,15.885051369667053,0.33559179306030273,0.0244,0.0333,0.0548,0.0244,0.0326,0.0406,0.0462,0.0123,0.0108,0.1165,0.199
ASLGCN,10,15.839611768722534,0.33100080490112305,0.0243,0.0326,0.0535,0.0243,0.0323,0.041,0.0462,0.0121,0.0105,0.116,0.1915
ASLGCN,11,15.785364091396332,0.2971043586730957,0.0239,0.0321,0.0537,0.0239,0.0321,0.0407,0.046,0.0119,0.0104,0.1135,0.1895
ASLGCN,12,15.723766803741455,0.3386874198913574,0.0237,0.0315,0.0529,0.0237,0.0318,0.0408,0.046,0.0116,0.0101,0.11,0.1855
ASLGCN,13,15.652273952960968,0.3299262523651123,0.023,0.0306,0.051,0.023,0.0307,0.0394,0.0443,0.0113,0.0098,0.1085,0.1785
ASLGCN,14,15.572149395942688,0.2975466251373291,0.0226,0.0305,0.0509,0.0226,0.0303,0.0382,0.043,0.0113,0.0098,0.1095,0.1795
ASLGCN,15,15.483357608318329,0.33856725692749023,0.0216,0.0303,0.0512,0.0216,0.0294,0.0353,0.0401,0.0113,0.0098,0.109,0.1795
ASLGCN,16,15.384807407855988,0.327131986618042,0.0212,0.0302,0.0495,0.0212,0.0284,0.0345,0.0391,0.0111,0.0094,0.1075,0.174
ASLGCN,17,15.278896391391754,0.3021407127380371,0.0204,0.0287,0.0505,0.0204,0.0285,0.0337,0.0388,0.0106,0.0096,0.1025,0.177
ASLGCN,18,15.165639400482178,0.34056544303894043,0.0203,0.0281,0.0492,0.0203,0.0281,0.0338,0.0386,0.0105,0.0093,0.101,0.1725
ASLGCN,19,15.046669363975525,0.33065223693847656,0.0199,0.0275,0.0471,0.0199,0.0274,0.0333,0.0382,0.0099,0.009,0.097,0.1685
