Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,221583.1875,0.7751827239990234,0.0622,0.0793,0.1215,0.0622,0.0777,0.1021,0.1104,0.0275,0.0216,0.2485,0.3705
SimGCL,2,192061.7021484375,0.4791562557220459,0.0957,0.1207,0.1704,0.0957,0.1146,0.1533,0.1622,0.0396,0.03,0.349,0.4795
SimGCL,3,185411.0966796875,0.4835503101348877,0.1227,0.1499,0.2062,0.1227,0.1441,0.1941,0.2035,0.0493,0.0362,0.415,0.5515
SimGCL,4,180603.67626953125,0.4778461456298828,0.1437,0.1721,0.2322,0.1437,0.1667,0.2245,0.2335,0.0571,0.0409,0.4675,0.5995
SimGCL,5,177815.1689453125,0.4779214859008789,0.1603,0.1912,0.2561,0.1603,0.1852,0.2493,0.2595,0.0631,0.0452,0.497,0.6435
SimGCL,6,175156.52709960938,0.48923206329345703,0.1745,0.2076,0.2747,0.1745,0.2007,0.2686,0.2787,0.0688,0.0489,0.5345,0.679
SimGCL,7,173022.88793945312,0.47708773612976074,0.1856,0.2194,0.2929,0.1856,0.2138,0.2858,0.2956,0.0737,0.0519,0.5635,0.7015
SimGCL,8,171357.337890625,0.48023033142089844,0.1981,0.2332,0.3069,0.1981,0.2267,0.3041,0.3136,0.0784,0.0548,0.59,0.7275
SimGCL,9,169508.04321289062,0.4812278747558594,0.2088,0.2464,0.3191,0.2088,0.2373,0.3188,0.3281,0.083,0.0571,0.6145,0.748
SimGCL,10,168516.986328125,0.4789092540740967,0.2176,0.257,0.3308,0.2176,0.2465,0.33,0.3392,0.0868,0.0593,0.631,0.761
SimGCL,11,167676.34692382812,0.4843134880065918,0.2255,0.2662,0.3415,0.2255,0.255,0.3402,0.3495,0.0905,0.0615,0.646,0.7775
SimGCL,12,166414.84130859375,0.4770839214324951,0.2339,0.2754,0.3522,0.2339,0.2638,0.3519,0.3605,0.0939,0.0633,0.663,0.784
SimGCL,13,165394.5283203125,0.48153257369995117,0.2417,0.2848,0.363,0.2417,0.2722,0.3611,0.3695,0.0976,0.0654,0.677,0.795
SimGCL,14,164193.15698242188,0.47978854179382324,0.248,0.2929,0.3717,0.248,0.2788,0.3679,0.3762,0.1006,0.0671,0.6895,0.807
SimGCL,15,164228.349609375,0.48294997215270996,0.2537,0.2982,0.3792,0.2537,0.2853,0.3765,0.3851,0.1027,0.0687,0.697,0.819
SimGCL,16,163774.1181640625,0.48073816299438477,0.2598,0.3055,0.3877,0.2598,0.2919,0.3843,0.3926,0.1054,0.0703,0.7085,0.827
SimGCL,17,162545.94580078125,0.4797685146331787,0.2647,0.3107,0.3924,0.2647,0.2968,0.3901,0.3983,0.1073,0.0714,0.716,0.832
SimGCL,18,161840.38745117188,0.47785520553588867,0.2707,0.3167,0.3983,0.2707,0.3029,0.3994,0.4076,0.1096,0.0727,0.724,0.8385
SimGCL,19,161978.56372070312,0.4810774326324463,0.2746,0.3213,0.4029,0.2746,0.307,0.404,0.4121,0.1114,0.0737,0.731,0.8435
SimGCL,20,161473.63842773438,0.6837050914764404,0.2782,0.3259,0.4088,0.2782,0.3112,0.4086,0.4165,0.113,0.075,0.7395,0.8485
SimGCL,21,161181.26953125,0.48331260681152344,0.2826,0.3322,0.4133,0.2826,0.315,0.4133,0.4209,0.1153,0.076,0.7465,0.851
SimGCL,22,160705.45483398438,0.479877233505249,0.2866,0.3376,0.4185,0.2866,0.3189,0.4176,0.4249,0.1175,0.0771,0.754,0.856
SimGCL,23,160003.5869140625,0.4777660369873047,0.2898,0.3412,0.4244,0.2898,0.3228,0.4205,0.4275,0.1189,0.0782,0.7615,0.861
SimGCL,24,159828.146484375,0.48198509216308594,0.2925,0.3445,0.4271,0.2925,0.3254,0.4231,0.4297,0.1204,0.0789,0.7695,0.864
SimGCL,25,159505.42456054688,0.4775087833404541,0.2963,0.3488,0.4301,0.2963,0.3289,0.4274,0.4343,0.1217,0.0796,0.77,0.866
SimGCL,26,159000.78125,0.48238706588745117,0.2987,0.3512,0.4334,0.2987,0.3319,0.4315,0.4385,0.1223,0.0804,0.772,0.8705
SimGCL,27,159507.90576171875,0.4779815673828125,0.3025,0.3554,0.4368,0.3025,0.3352,0.4361,0.4427,0.1242,0.0809,0.777,0.868
SimGCL,28,158964.59399414062,0.48116517066955566,0.3048,0.3589,0.4408,0.3048,0.3378,0.4383,0.4449,0.1254,0.0818,0.7815,0.8745
SimGCL,29,158570.96948242188,0.478193998336792,0.3068,0.3608,0.445,0.3068,0.3407,0.4409,0.4476,0.1261,0.0826,0.783,0.8765
SimGCL,30,157840.50561523438,0.47629237174987793,0.3093,0.3641,0.4479,0.3093,0.343,0.443,0.4497,0.1276,0.0832,0.7865,0.88
SimGCL,31,157641.8662109375,0.4800703525543213,0.3105,0.3657,0.4516,0.3105,0.345,0.4436,0.4503,0.1283,0.084,0.7905,0.885
SimGCL,32,157458.0986328125,0.4794907569885254,0.313,0.3672,0.4547,0.313,0.3482,0.4474,0.4543,0.1286,0.0847,0.79,0.8865
SimGCL,33,157227.701171875,0.4798011779785156,0.3146,0.3692,0.4562,0.3146,0.3498,0.4485,0.4557,0.1295,0.0852,0.791,0.8895
SimGCL,34,157272.11889648438,0.47683167457580566,0.3166,0.3716,0.4575,0.3166,0.3514,0.4501,0.457,0.1308,0.0856,0.796,0.8925
SimGCL,35,156732.76831054688,0.48059821128845215,0.3184,0.3735,0.4601,0.3184,0.3535,0.4531,0.4599,0.1315,0.0861,0.7985,0.8925
SimGCL,36,156615.19213867188,0.4792807102203369,0.3203,0.3754,0.4621,0.3203,0.3554,0.4557,0.4623,0.1323,0.0866,0.803,0.8945
SimGCL,37,156611.10327148438,0.4757804870605469,0.3224,0.3769,0.4644,0.3224,0.3578,0.4591,0.4658,0.1331,0.0871,0.804,0.896
SimGCL,38,156687.66650390625,0.4745938777923584,0.3237,0.3795,0.4658,0.3237,0.3587,0.4596,0.4661,0.1341,0.0874,0.8085,0.8995
SimGCL,39,156991.99365234375,0.4773221015930176,0.3253,0.3802,0.4675,0.3253,0.3606,0.4625,0.469,0.1345,0.0878,0.8085,0.9
SimGCL,40,156494.73168945312,0.48005199432373047,0.3268,0.3824,0.4704,0.3268,0.3624,0.4635,0.4702,0.1355,0.0885,0.8095,0.903
SimGCL,41,156118.88110351562,0.48178839683532715,0.3281,0.3841,0.4724,0.3281,0.3638,0.4645,0.4711,0.1362,0.0889,0.8115,0.9025
