Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.249395847320557,0.37273192405700684,0.001,0.0015,0.0032,0.001,0.0017,0.0017,0.0021,0.0008,0.0007,0.0075,0.0145
BPR,2,15.220244824886322,0.2152693271636963,0.001,0.0015,0.0034,0.001,0.0018,0.0019,0.0024,0.0007,0.0008,0.007,0.015
BPR,3,15.193656742572784,0.220839262008667,0.0012,0.0016,0.0035,0.0012,0.002,0.0022,0.0028,0.0008,0.0008,0.007,0.0155
BPR,4,15.161410093307495,0.2183513641357422,0.0013,0.0019,0.0037,0.0013,0.002,0.0024,0.0029,0.0009,0.0008,0.0085,0.016
BPR,5,15.119952976703644,0.21878790855407715,0.0011,0.0017,0.0036,0.0011,0.002,0.0021,0.0027,0.0006,0.0009,0.0065,0.017
BPR,6,15.0680673122406,0.21235370635986328,0.0016,0.0023,0.0039,0.0016,0.0023,0.0028,0.0034,0.001,0.001,0.0095,0.019
BPR,7,15.00031042098999,0.21314644813537598,0.0018,0.0023,0.0043,0.0018,0.0026,0.0032,0.0039,0.0011,0.001,0.0105,0.02
BPR,8,14.91638720035553,0.20967411994934082,0.0015,0.0021,0.0037,0.0015,0.0021,0.0028,0.0032,0.0011,0.0009,0.0105,0.017
BPR,9,14.814163565635681,0.21139001846313477,0.0017,0.0022,0.0043,0.0017,0.0025,0.0034,0.0039,0.0011,0.001,0.011,0.0195
BPR,10,14.688369810581207,0.21048665046691895,0.0018,0.0025,0.0046,0.0018,0.0026,0.0034,0.004,0.0011,0.001,0.0105,0.0205
BPR,11,14.543432116508484,0.2136855125427246,0.0015,0.002,0.0045,0.0015,0.0025,0.003,0.0037,0.001,0.0011,0.01,0.022
BPR,12,14.373860955238342,0.21098589897155762,0.0014,0.002,0.0042,0.0014,0.0023,0.0026,0.0033,0.001,0.0011,0.01,0.021
BPR,13,14.182712018489838,0.21413111686706543,0.0016,0.0023,0.0046,0.0016,0.0025,0.0032,0.0038,0.0012,0.0011,0.012,0.0215
BPR,14,13.967938363552094,0.22513961791992188,0.0015,0.002,0.0044,0.0015,0.0024,0.0029,0.0037,0.001,0.0011,0.01,0.0215
BPR,15,13.729367434978485,0.2182304859161377,0.0015,0.002,0.0048,0.0015,0.0026,0.003,0.0039,0.0011,0.0012,0.011,0.0235
BPR,16,13.480550944805145,0.21754860877990723,0.0014,0.0017,0.005,0.0014,0.0026,0.0028,0.0038,0.001,0.0012,0.01,0.024
BPR,17,13.20741331577301,0.21721673011779785,0.0015,0.0018,0.005,0.0015,0.0027,0.0032,0.0041,0.0011,0.0012,0.011,0.024
BPR,18,12.923887610435486,0.21477484703063965,0.0015,0.0019,0.0047,0.0015,0.0026,0.003,0.0038,0.0011,0.0012,0.011,0.024
BPR,19,12.627110123634338,0.21384859085083008,0.0014,0.0019,0.0044,0.0014,0.0025,0.0029,0.0037,0.0011,0.0012,0.0105,0.0225
BPR,20,12.315040528774261,0.3275425434112549,0.0013,0.0017,0.0049,0.0013,0.0025,0.0025,0.0034,0.001,0.0012,0.01,0.0245
BPR,21,12.005195021629333,0.21432018280029297,0.0015,0.0021,0.0048,0.0015,0.0026,0.0028,0.0036,0.0012,0.0012,0.012,0.024
