Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.333920955657959,0.5095357894897461,0.0121,0.0155,0.0244,0.0121,0.0156,0.0222,0.0246,0.0061,0.0051,0.06,0.095
ASLGCN,2,15.328481614589691,0.3104867935180664,0.0149,0.0175,0.0278,0.0149,0.0188,0.0282,0.0311,0.007,0.0058,0.067,0.1095
ASLGCN,3,15.321773648262024,0.3101181983947754,0.0171,0.0204,0.0345,0.0171,0.0224,0.0322,0.0359,0.008,0.007,0.077,0.132
ASLGCN,4,15.312611162662506,0.3015477657318115,0.0186,0.0235,0.0379,0.0186,0.0243,0.0333,0.0374,0.0089,0.0077,0.086,0.143
ASLGCN,5,15.300144672393799,0.29999232292175293,0.0202,0.0262,0.0434,0.0202,0.0267,0.0354,0.0398,0.0101,0.0087,0.0965,0.162
ASLGCN,6,15.283139050006866,0.3132805824279785,0.0219,0.0289,0.0492,0.0219,0.0295,0.0368,0.0419,0.0111,0.0097,0.1035,0.177
ASLGCN,7,15.26084178686142,0.3015406131744385,0.0233,0.0314,0.0511,0.0233,0.0307,0.0384,0.0433,0.0118,0.01,0.1105,0.184
ASLGCN,8,15.232386708259583,0.30084729194641113,0.0246,0.0323,0.0513,0.0246,0.0319,0.0412,0.0461,0.0118,0.01,0.1135,0.1855
ASLGCN,9,15.197013199329376,0.30861544609069824,0.0249,0.0339,0.0531,0.0249,0.0322,0.0412,0.0462,0.0124,0.0103,0.118,0.191
ASLGCN,10,15.15409255027771,0.30458498001098633,0.0252,0.0336,0.0525,0.0252,0.0324,0.0422,0.047,0.0126,0.0104,0.12,0.1905
ASLGCN,11,15.103070795536041,0.3152296543121338,0.0249,0.0331,0.054,0.0249,0.0327,0.0422,0.0471,0.0123,0.0104,0.118,0.1895
ASLGCN,12,15.044795870780945,0.2960629463195801,0.0245,0.0319,0.0555,0.0245,0.0333,0.0418,0.0474,0.0117,0.0106,0.1125,0.1935
ASLGCN,13,14.97799015045166,0.31038522720336914,0.0243,0.0315,0.056,0.0243,0.0333,0.0418,0.0474,0.0115,0.0105,0.1105,0.1935
ASLGCN,14,14.902035534381866,0.30372095108032227,0.0245,0.032,0.0557,0.0245,0.0333,0.0421,0.0475,0.0117,0.0106,0.112,0.1925
ASLGCN,15,14.818642616271973,0.29225945472717285,0.0243,0.0321,0.0542,0.0243,0.0324,0.0416,0.0466,0.0118,0.0102,0.113,0.187
ASLGCN,16,14.728305280208588,0.313701868057251,0.0242,0.032,0.0545,0.0242,0.0324,0.0415,0.0464,0.0117,0.0103,0.113,0.1875
ASLGCN,17,14.627055048942566,0.4224088191986084,0.0238,0.0317,0.0534,0.0238,0.0317,0.0405,0.0453,0.0118,0.0101,0.113,0.184
ASLGCN,18,14.522547423839569,0.3079204559326172,0.0236,0.0319,0.051,0.0236,0.0306,0.0399,0.0441,0.0119,0.0096,0.114,0.1755
ASLGCN,19,14.408148467540741,0.3003079891204834,0.0225,0.0303,0.0513,0.0225,0.0302,0.0382,0.0431,0.0112,0.0098,0.107,0.178
ASLGCN,20,14.28918170928955,0.3115873336791992,0.0222,0.0299,0.0505,0.0222,0.0298,0.038,0.0427,0.0111,0.0096,0.1065,0.175
ASLGCN,21,14.158766508102417,0.31115055084228516,0.0219,0.0298,0.0499,0.0219,0.0292,0.0373,0.042,0.0112,0.0094,0.106,0.1735
