Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.24696171283722,0.5712542533874512,0.0108,0.0143,0.0241,0.0108,0.0145,0.0205,0.023,0.0056,0.0049,0.055,0.092
LightGCN,2,15.243632316589355,0.2610177993774414,0.0133,0.0182,0.0295,0.0133,0.0176,0.0233,0.0262,0.0072,0.0061,0.07,0.1145
LightGCN,3,15.239046037197113,0.26352548599243164,0.016,0.0215,0.0352,0.016,0.0211,0.0284,0.0318,0.0083,0.007,0.08,0.132
LightGCN,4,15.23210233449936,0.2693338394165039,0.0176,0.0244,0.0395,0.0176,0.0233,0.0296,0.0334,0.0095,0.0078,0.09,0.1455
LightGCN,5,15.22193467617035,0.2641897201538086,0.0195,0.0274,0.0455,0.0195,0.0263,0.0311,0.0359,0.0102,0.0088,0.096,0.166
LightGCN,6,15.207412779331207,0.26397204399108887,0.0212,0.031,0.0475,0.0212,0.0278,0.0336,0.0382,0.0111,0.0094,0.1065,0.1735
LightGCN,7,15.18769234418869,0.27039313316345215,0.0212,0.0313,0.049,0.0212,0.0281,0.0333,0.038,0.0112,0.0095,0.106,0.177
LightGCN,8,15.161479115486145,0.269451379776001,0.0209,0.0307,0.0497,0.0209,0.0281,0.0321,0.0371,0.0109,0.0095,0.102,0.1755
LightGCN,9,15.128321170806885,0.26460933685302734,0.0198,0.0285,0.0465,0.0198,0.0267,0.0317,0.0363,0.0102,0.0089,0.097,0.1655
LightGCN,10,15.086970567703247,0.2632627487182617,0.0187,0.0259,0.0424,0.0187,0.0249,0.0307,0.0349,0.0094,0.008,0.09,0.1505
LightGCN,11,15.038029670715332,0.27472877502441406,0.0166,0.0229,0.039,0.0166,0.0227,0.0274,0.0315,0.0084,0.0074,0.0805,0.139
LightGCN,12,14.980737090110779,0.2655305862426758,0.0153,0.0206,0.0355,0.0153,0.0207,0.0257,0.0292,0.0078,0.0067,0.075,0.1265
LightGCN,13,14.915122270584106,0.26761507987976074,0.014,0.0189,0.0334,0.014,0.0195,0.0234,0.027,0.007,0.0064,0.0665,0.1205
LightGCN,14,14.83750206232071,0.2662646770477295,0.0127,0.0171,0.0316,0.0127,0.018,0.0215,0.0249,0.0065,0.0061,0.063,0.113
LightGCN,15,14.755911111831665,0.2642548084259033,0.0122,0.0166,0.0295,0.0122,0.0169,0.0203,0.0234,0.0062,0.0057,0.0605,0.106
LightGCN,16,14.66266417503357,0.26111769676208496,0.0119,0.0161,0.0294,0.0119,0.0167,0.0201,0.0231,0.006,0.0055,0.059,0.1035
LightGCN,17,14.567773997783661,0.26205897331237793,0.011,0.0151,0.0288,0.011,0.0158,0.0183,0.0212,0.0059,0.0054,0.0575,0.1005
LightGCN,18,14.471476316452026,0.2670145034790039,0.0106,0.0142,0.0278,0.0106,0.0154,0.018,0.021,0.0057,0.0053,0.0555,0.098
