Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,212621.57373046875,0.6468408107757568,0.0701,0.0901,0.1285,0.0701,0.0845,0.1137,0.1213,0.0295,0.0224,0.268,0.379
SimGCL,2,186526.44189453125,0.3482797145843506,0.1043,0.1292,0.1789,0.1043,0.1229,0.166,0.175,0.0419,0.0308,0.365,0.4965
SimGCL,3,179413.08203125,0.35052490234375,0.1291,0.1561,0.2105,0.1291,0.1497,0.2034,0.2127,0.0511,0.0364,0.4285,0.5645
SimGCL,4,175662.6748046875,0.34930944442749023,0.1476,0.1771,0.2357,0.1476,0.17,0.2304,0.2395,0.058,0.0408,0.477,0.607
SimGCL,5,172283.94775390625,0.34514427185058594,0.1643,0.1949,0.26,0.1643,0.1891,0.2544,0.264,0.0644,0.0453,0.512,0.6505
SimGCL,6,170828.8759765625,0.3444945812225342,0.1772,0.2108,0.2802,0.1772,0.2037,0.2717,0.2819,0.0696,0.049,0.5375,0.6865
SimGCL,7,167851.85498046875,0.34403276443481445,0.19,0.2257,0.2972,0.19,0.2174,0.2881,0.2986,0.0748,0.0521,0.561,0.7115
SimGCL,8,166292.8115234375,0.34900355339050293,0.2006,0.2378,0.3116,0.2006,0.2293,0.3041,0.3139,0.0788,0.055,0.589,0.7315
SimGCL,9,164780.81396484375,0.3445301055908203,0.211,0.2499,0.3246,0.211,0.2402,0.3179,0.3277,0.0831,0.0576,0.6095,0.751
SimGCL,10,163441.89208984375,0.3442544937133789,0.2205,0.2607,0.337,0.2205,0.2504,0.3305,0.34,0.0868,0.0599,0.6295,0.7675
SimGCL,11,162508.77099609375,0.3531618118286133,0.2278,0.2704,0.346,0.2278,0.2577,0.3385,0.3482,0.0903,0.0617,0.6415,0.7795
SimGCL,12,161534.4892578125,0.34558820724487305,0.235,0.2787,0.3563,0.235,0.2655,0.3474,0.3569,0.0935,0.0636,0.657,0.7915
SimGCL,13,160613.91845703125,0.35461974143981934,0.244,0.2884,0.367,0.244,0.2748,0.3605,0.3693,0.0973,0.0657,0.6785,0.805
SimGCL,14,159555.39306640625,0.34482526779174805,0.2519,0.2963,0.3743,0.2519,0.2824,0.3729,0.3812,0.1005,0.0671,0.6925,0.8105
SimGCL,15,159283.1640625,0.3442959785461426,0.2586,0.3027,0.3811,0.2586,0.2892,0.3831,0.3915,0.103,0.0684,0.7035,0.8215
SimGCL,16,158155.63134765625,0.3446488380432129,0.2647,0.31,0.3894,0.2647,0.2957,0.3911,0.3986,0.1056,0.07,0.7205,0.828
SimGCL,17,158405.0419921875,0.3452460765838623,0.2702,0.3161,0.3952,0.2702,0.3012,0.3977,0.4053,0.1082,0.0713,0.728,0.838
SimGCL,18,157292.16259765625,0.34926319122314453,0.2756,0.322,0.4031,0.2756,0.3075,0.4046,0.4122,0.1102,0.0728,0.737,0.844
SimGCL,19,157133.78515625,0.34410548210144043,0.2805,0.3264,0.4097,0.2805,0.3132,0.4127,0.4201,0.1121,0.0742,0.7455,0.8485
SimGCL,20,157145.720703125,0.3457343578338623,0.2853,0.3318,0.4152,0.2853,0.3181,0.4185,0.4257,0.1141,0.0753,0.754,0.855
SimGCL,21,156156.67529296875,0.34377098083496094,0.2902,0.3371,0.4218,0.2902,0.3235,0.4255,0.4324,0.116,0.0765,0.761,0.8585
SimGCL,22,156265.20751953125,0.3445320129394531,0.294,0.3419,0.4288,0.294,0.3283,0.4298,0.4367,0.1177,0.0781,0.767,0.864
SimGCL,23,155844.76513671875,0.3466217517852783,0.2974,0.3455,0.4338,0.2974,0.3323,0.4335,0.4407,0.1191,0.079,0.7685,0.869
SimGCL,24,155014.81396484375,0.34528422355651855,0.3012,0.3488,0.4399,0.3012,0.3369,0.4392,0.4462,0.1207,0.0803,0.775,0.876
SimGCL,25,154839.1953125,0.3439209461212158,0.304,0.352,0.4444,0.304,0.3404,0.4437,0.4506,0.122,0.0812,0.7815,0.8825
