Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,72.08488196134567,1.60081148147583,0.0091,0.0036,0.0064,0.0091,0.0089,0.0276,0.0317,0.0085,0.0079,0.083,0.147
LightGCN,2,72.0691266655922,1.419555425643921,0.0109,0.0044,0.0079,0.0109,0.0108,0.0302,0.0355,0.0112,0.0101,0.1045,0.184
LightGCN,3,72.01130092144012,1.408949375152588,0.0114,0.0043,0.0081,0.0114,0.0115,0.0346,0.0403,0.0106,0.0104,0.0985,0.1835
LightGCN,4,71.78411316871643,1.4085826873779297,0.0117,0.0042,0.0082,0.0117,0.0117,0.0356,0.0414,0.0108,0.0107,0.101,0.189
LightGCN,5,71.272003531456,1.4305686950683594,0.0111,0.004,0.0079,0.0111,0.0112,0.0335,0.0389,0.0104,0.0103,0.098,0.1805
LightGCN,6,70.62814229726791,1.4225265979766846,0.011,0.0041,0.0079,0.011,0.0112,0.0323,0.038,0.0106,0.0104,0.0985,0.184
LightGCN,7,70.10762572288513,1.4197371006011963,0.0108,0.004,0.0079,0.0108,0.0112,0.033,0.0388,0.0101,0.0103,0.096,0.184
LightGCN,8,69.69214880466461,1.421039342880249,0.0108,0.004,0.0078,0.0108,0.0111,0.0322,0.0381,0.0101,0.0103,0.0955,0.184
LightGCN,9,69.39989334344864,1.428708791732788,0.0107,0.004,0.0081,0.0107,0.0111,0.0316,0.0375,0.0103,0.0104,0.0975,0.183
LightGCN,10,69.19737595319748,1.420090675354004,0.0107,0.0041,0.008,0.0107,0.0111,0.0317,0.0369,0.0103,0.0103,0.0985,0.1775
LightGCN,11,69.08451652526855,1.4108598232269287,0.0112,0.0042,0.008,0.0112,0.0112,0.0329,0.0383,0.0107,0.0102,0.1,0.1795
LightGCN,12,68.93877112865448,1.4129536151885986,0.0107,0.004,0.0083,0.0107,0.0112,0.0313,0.0372,0.0102,0.0105,0.097,0.184
LightGCN,13,68.7436454296112,1.4105114936828613,0.011,0.0042,0.0085,0.011,0.0115,0.0327,0.0384,0.0105,0.0107,0.099,0.1865
LightGCN,14,68.60625410079956,1.4113011360168457,0.011,0.0042,0.0082,0.011,0.0112,0.032,0.0376,0.0105,0.0104,0.099,0.1825
LightGCN,15,68.43216109275818,1.4093787670135498,0.0108,0.0042,0.0081,0.0108,0.011,0.0316,0.0371,0.0105,0.0102,0.0985,0.181
