Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,4.849096596240997,0.32112884521484375,0.163,0.2447,0.3028,0.163,0.1785,0.1458,0.1506,0.0275,0.0174,0.2716,0.3417
HAGN,2,4.847130000591278,0.11961507797241211,0.1913,0.2845,0.3467,0.1913,0.2076,0.1729,0.1777,0.0324,0.02,0.3197,0.3897
HAGN,3,4.844751715660095,0.11872005462646484,0.2155,0.3143,0.3841,0.2155,0.2342,0.197,0.2027,0.0358,0.0224,0.3522,0.4342
HAGN,4,4.841691792011261,0.12431502342224121,0.24,0.3453,0.4215,0.24,0.2607,0.2206,0.2269,0.0397,0.0248,0.3882,0.4762
HAGN,5,4.837644517421722,0.11837506294250488,0.2585,0.3765,0.4541,0.2585,0.2794,0.2369,0.243,0.0433,0.0268,0.4237,0.5133
HAGN,6,4.832638919353485,0.11866998672485352,0.2706,0.3949,0.4821,0.2706,0.2942,0.2476,0.2547,0.0455,0.0286,0.4437,0.5463
HAGN,7,4.826224684715271,0.11841082572937012,0.282,0.4216,0.4983,0.282,0.3029,0.2551,0.2612,0.0486,0.0295,0.4737,0.5628
HAGN,8,4.818124711513519,0.11871457099914551,0.2852,0.4231,0.5136,0.2852,0.3097,0.259,0.2662,0.0492,0.0305,0.4772,0.5788
HAGN,9,4.808621048927307,0.11882495880126953,0.2895,0.4324,0.5194,0.2895,0.3132,0.2617,0.2687,0.0503,0.0309,0.4872,0.5863
HAGN,10,4.796798586845398,0.11887907981872559,0.2937,0.4346,0.5283,0.2937,0.3191,0.2667,0.2741,0.0505,0.0315,0.4892,0.5958
HAGN,11,4.783206224441528,0.12454485893249512,0.2957,0.4367,0.5357,0.2957,0.3224,0.2681,0.2757,0.0508,0.032,0.4922,0.6023
HAGN,12,4.767002820968628,0.11864280700683594,0.297,0.4389,0.5378,0.297,0.3238,0.2688,0.2766,0.0511,0.0322,0.4932,0.6058
HAGN,13,4.748491823673248,0.11871170997619629,0.2994,0.4436,0.5401,0.2994,0.3255,0.271,0.2786,0.0516,0.0324,0.4977,0.6093
HAGN,14,4.72753781080246,0.11827898025512695,0.2986,0.4449,0.5429,0.2986,0.3249,0.269,0.2766,0.0518,0.0326,0.4977,0.6123
HAGN,15,4.704183757305145,0.11827659606933594,0.298,0.4435,0.5452,0.298,0.3254,0.2683,0.2762,0.0517,0.0328,0.4972,0.6153
HAGN,16,4.67770528793335,0.11919856071472168,0.2988,0.4444,0.5457,0.2988,0.3262,0.2696,0.2774,0.0517,0.0329,0.4982,0.6143
HAGN,17,4.649034082889557,0.11880612373352051,0.2989,0.4462,0.5487,0.2989,0.3264,0.2689,0.2767,0.052,0.0331,0.5008,0.6163
HAGN,18,4.61698043346405,0.11851286888122559,0.2971,0.4423,0.5475,0.2971,0.3255,0.2675,0.2756,0.0516,0.033,0.4967,0.6163
HAGN,19,4.581985533237457,0.11883902549743652,0.296,0.4429,0.5444,0.296,0.3236,0.2661,0.2739,0.0515,0.0329,0.4987,0.6138
HAGN,20,4.545379221439362,0.11895537376403809,0.2941,0.4409,0.5462,0.2941,0.3227,0.2641,0.2722,0.0514,0.033,0.4957,0.6143
HAGN,21,4.505853474140167,0.11912059783935547,0.2915,0.4403,0.545,0.2915,0.3199,0.2607,0.2688,0.0513,0.0329,0.4947,0.6133
HAGN,22,4.464325845241547,0.23168730735778809,0.2882,0.4376,0.5434,0.2882,0.317,0.257,0.2652,0.051,0.0328,0.4922,0.6123
HAGN,23,4.418693780899048,0.12106633186340332,0.287,0.4352,0.5435,0.287,0.3164,0.2557,0.2642,0.0508,0.0329,0.4902,0.6128
HAGN,24,4.372096300125122,0.11907196044921875,0.2865,0.4341,0.543,0.2865,0.316,0.2556,0.2641,0.0508,0.0328,0.4887,0.6128
