Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.939986407756805,0.5101137161254883,0.0096,0.013,0.0219,0.0096,0.0131,0.0168,0.0194,0.0051,0.0045,0.05,0.0875
HAGN,2,15.93619966506958,0.311751127243042,0.0111,0.0154,0.0263,0.0111,0.0154,0.0186,0.0215,0.006,0.0054,0.0595,0.103
HAGN,3,15.930699408054352,0.298062801361084,0.011,0.0145,0.0272,0.011,0.0159,0.0193,0.0226,0.0056,0.0056,0.0565,0.1055
HAGN,4,15.921700119972229,0.29473352432250977,0.0084,0.0124,0.0227,0.0084,0.0123,0.0135,0.0162,0.0049,0.0047,0.0495,0.0905
HAGN,5,15.905797064304352,0.2969167232513428,0.0055,0.008,0.0145,0.0055,0.0079,0.0093,0.011,0.0036,0.0032,0.035,0.061
HAGN,6,15.87837928533554,0.29384732246398926,0.0031,0.0037,0.0098,0.0031,0.0055,0.0065,0.0084,0.0021,0.0025,0.02,0.0465
HAGN,7,15.833025872707367,0.29593706130981445,0.0029,0.0037,0.0075,0.0029,0.0045,0.0056,0.007,0.0021,0.0021,0.0205,0.041
HAGN,8,15.764084696769714,0.2957303524017334,0.0026,0.0033,0.0062,0.0026,0.0039,0.0052,0.0062,0.002,0.0018,0.0195,0.034
HAGN,9,15.677641332149506,0.3085942268371582,0.0026,0.0034,0.0059,0.0026,0.0038,0.0053,0.0063,0.0019,0.0017,0.019,0.0335
HAGN,10,15.575024247169495,0.3056609630584717,0.0024,0.0029,0.0057,0.0024,0.0035,0.0047,0.0057,0.0018,0.0016,0.017,0.0315
HAGN,11,15.481875002384186,0.30704593658447266,0.0026,0.0033,0.0061,0.0026,0.0038,0.005,0.006,0.0019,0.0017,0.0185,0.0335
HAGN,12,15.387902021408081,0.2974574565887451,0.0026,0.0033,0.0061,0.0026,0.0038,0.005,0.006,0.0019,0.0017,0.0185,0.0335
HAGN,13,15.303147435188293,0.291919469833374,0.0025,0.003,0.006,0.0025,0.0037,0.0048,0.0058,0.0018,0.0016,0.0175,0.0315
