Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.940059542655945,0.4891176223754883,0.0112,0.0138,0.0221,0.0112,0.0144,0.0207,0.0231,0.0058,0.0048,0.057,0.092
CSGCN,2,15.936526834964752,0.2933349609375,0.0136,0.0164,0.026,0.0136,0.0173,0.0245,0.027,0.0069,0.0056,0.068,0.105
CSGCN,3,15.931751251220703,0.3195219039916992,0.0153,0.0193,0.0314,0.0153,0.02,0.0275,0.0308,0.008,0.0068,0.0765,0.127
CSGCN,4,15.924585700035095,0.2816026210784912,0.0177,0.0209,0.0386,0.0177,0.0243,0.0334,0.0377,0.0089,0.008,0.086,0.1485
CSGCN,5,15.914319455623627,0.3204820156097412,0.0203,0.0256,0.0442,0.0203,0.0271,0.0369,0.0413,0.0102,0.0086,0.098,0.161
CSGCN,6,15.899757623672485,0.28644466400146484,0.0223,0.0285,0.0466,0.0223,0.0292,0.0401,0.0447,0.0109,0.0092,0.104,0.1715
CSGCN,7,15.880410075187683,0.32390785217285156,0.0224,0.029,0.0474,0.0224,0.0293,0.0397,0.0443,0.0111,0.0093,0.107,0.1735
CSGCN,8,15.854955613613129,0.28221917152404785,0.0218,0.0272,0.0488,0.0218,0.0298,0.04,0.0451,0.0106,0.0096,0.1025,0.178
CSGCN,9,15.823091626167297,0.3193848133087158,0.0229,0.0285,0.0479,0.0229,0.0301,0.0416,0.0463,0.0111,0.0096,0.1075,0.176
CSGCN,10,15.784429907798767,0.2859370708465576,0.023,0.0286,0.0479,0.023,0.0303,0.0416,0.0465,0.0111,0.0096,0.107,0.1785
CSGCN,11,15.738869309425354,0.30196452140808105,0.0234,0.0304,0.046,0.0234,0.0292,0.0407,0.0445,0.0116,0.009,0.112,0.168
CSGCN,12,15.686390399932861,0.3012220859527588,0.0233,0.0293,0.0467,0.0233,0.0297,0.0416,0.0457,0.0112,0.0091,0.108,0.1695
CSGCN,13,15.624518632888794,0.30170154571533203,0.0226,0.0284,0.0461,0.0226,0.029,0.0404,0.0445,0.0108,0.0089,0.105,0.1655
CSGCN,14,15.556865811347961,0.2804396152496338,0.0229,0.0283,0.0456,0.0229,0.0293,0.0416,0.0456,0.0108,0.0088,0.1055,0.165
CSGCN,15,15.481141448020935,0.32042646408081055,0.0228,0.029,0.0445,0.0228,0.0285,0.0408,0.0446,0.0108,0.0086,0.1055,0.162
CSGCN,16,15.398305177688599,0.2783229351043701,0.0218,0.0266,0.0445,0.0218,0.0284,0.0397,0.0442,0.0099,0.0086,0.0975,0.163
CSGCN,17,15.310538411140442,0.3123142719268799,0.0212,0.0259,0.0433,0.0212,0.0276,0.0382,0.0425,0.0097,0.0082,0.094,0.1565
CSGCN,18,15.212561428546906,0.2894136905670166,0.0212,0.0256,0.0423,0.0212,0.0274,0.0384,0.0428,0.0096,0.0082,0.093,0.156
CSGCN,19,15.110213100910187,0.4415924549102783,0.0209,0.0259,0.0423,0.0209,0.027,0.0381,0.042,0.0097,0.0081,0.095,0.1525
CSGCN,20,15.002322554588318,0.2860860824584961,0.021,0.0254,0.0424,0.021,0.0272,0.0384,0.0424,0.0097,0.0081,0.0945,0.152
CSGCN,21,14.890111804008484,0.29787731170654297,0.0209,0.0254,0.0423,0.0209,0.027,0.0381,0.0421,0.0096,0.008,0.093,0.1505
CSGCN,22,14.769707083702087,0.30655550956726074,0.0197,0.0242,0.0413,0.0197,0.026,0.0356,0.0397,0.009,0.0079,0.088,0.148
