Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,4.178660273551941,0.27363109588623047,0.1502,0.161,0.2139,0.1502,0.171,0.2588,0.2691,0.0648,0.0441,0.486,0.63
ASLGCN,2,4.176405072212219,0.07462525367736816,0.1707,0.1853,0.2391,0.1707,0.1924,0.2959,0.305,0.0736,0.0501,0.556,0.686
ASLGCN,3,4.173949837684631,0.07462668418884277,0.1862,0.2011,0.2567,0.1862,0.2086,0.3201,0.329,0.0818,0.0543,0.598,0.726
ASLGCN,4,4.171152710914612,0.07401156425476074,0.2016,0.2171,0.2761,0.2016,0.225,0.3461,0.3532,0.0894,0.0593,0.64,0.744
ASLGCN,5,4.167775928974152,0.07408976554870605,0.2139,0.2257,0.289,0.2139,0.2383,0.3726,0.3794,0.095,0.0624,0.664,0.762
ASLGCN,6,4.163811504840851,0.07284688949584961,0.2251,0.2358,0.3054,0.2251,0.252,0.3937,0.4008,0.0994,0.0664,0.678,0.774
ASLGCN,7,4.159245014190674,0.07361531257629395,0.2328,0.2422,0.317,0.2328,0.2619,0.4076,0.4156,0.1036,0.0701,0.688,0.8
ASLGCN,8,4.153980374336243,0.07348012924194336,0.2395,0.251,0.3273,0.2395,0.2692,0.4168,0.4242,0.1086,0.0731,0.712,0.814
ASLGCN,9,4.147760093212128,0.07348275184631348,0.2442,0.2578,0.3409,0.2442,0.2765,0.4192,0.4257,0.1124,0.0769,0.73,0.82
ASLGCN,10,4.140791416168213,0.07364368438720703,0.2508,0.2647,0.3423,0.2508,0.2813,0.4267,0.4326,0.1166,0.0783,0.744,0.828
ASLGCN,11,4.132973551750183,0.07508993148803711,0.2547,0.2693,0.3497,0.2547,0.2854,0.432,0.4383,0.1204,0.08,0.748,0.842
ASLGCN,12,4.123865902423859,0.0738368034362793,0.2572,0.2727,0.3605,0.2572,0.2904,0.4323,0.4397,0.1226,0.0825,0.744,0.852
ASLGCN,13,4.113841474056244,0.07431173324584961,0.2595,0.2766,0.3633,0.2595,0.292,0.4335,0.4403,0.1252,0.0834,0.752,0.85
ASLGCN,14,4.1025789976119995,0.0733804702758789,0.2617,0.2782,0.3632,0.2617,0.2936,0.4378,0.4447,0.1264,0.0833,0.752,0.848
ASLGCN,15,4.090238094329834,0.07364797592163086,0.2674,0.2854,0.3664,0.2674,0.2982,0.4466,0.4519,0.1296,0.085,0.766,0.842
ASLGCN,16,4.0768386125564575,0.07385802268981934,0.2672,0.2848,0.3687,0.2672,0.2994,0.4457,0.4523,0.1292,0.0857,0.754,0.848
ASLGCN,17,4.061895310878754,0.07325553894042969,0.2656,0.2836,0.3709,0.2656,0.2993,0.4409,0.4478,0.1286,0.0863,0.75,0.85
ASLGCN,18,4.04578971862793,0.07282543182373047,0.2667,0.2853,0.369,0.2667,0.299,0.4436,0.4506,0.1296,0.0858,0.754,0.856
ASLGCN,19,4.028778910636902,0.0721747875213623,0.2658,0.2842,0.3676,0.2658,0.2984,0.4434,0.4502,0.1286,0.0857,0.754,0.85
ASLGCN,20,4.010090589523315,0.07329559326171875,0.2666,0.2859,0.3693,0.2666,0.299,0.4428,0.4497,0.1294,0.0861,0.756,0.854
ASLGCN,21,3.990502893924713,0.07515645027160645,0.2663,0.2874,0.3668,0.2663,0.2975,0.442,0.4485,0.1294,0.0856,0.758,0.85
ASLGCN,22,3.9692577123641968,0.07654523849487305,0.2647,0.2808,0.3673,0.2647,0.2983,0.443,0.4504,0.1282,0.0862,0.744,0.846
ASLGCN,23,3.9466381669044495,0.18205642700195312,0.2652,0.2831,0.3678,0.2652,0.298,0.4401,0.4483,0.1288,0.0864,0.734,0.848
ASLGCN,24,3.922508120536804,0.07496118545532227,0.2647,0.2826,0.3664,0.2647,0.2972,0.4416,0.4497,0.1282,0.0861,0.734,0.846
ASLGCN,25,3.897817313671112,0.07304739952087402,0.2616,0.2791,0.3647,0.2616,0.2945,0.4359,0.4442,0.1274,0.0857,0.732,0.848
ASLGCN,26,3.871669590473175,0.07274198532104492,0.2587,0.2761,0.3623,0.2587,0.2922,0.4328,0.4408,0.1256,0.0852,0.732,0.844
