Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,6.235397756099701,0.35233044624328613,0.1002,0.1478,0.1966,0.1002,0.1136,0.0951,0.0996,0.0189,0.013,0.1865,0.2525
HAGN,2,6.233074486255646,0.15171599388122559,0.1223,0.1798,0.2342,0.1223,0.1374,0.1171,0.1223,0.0233,0.0158,0.2285,0.305
HAGN,3,6.2304187417030334,0.14206624031066895,0.1438,0.2099,0.2628,0.1438,0.1587,0.1395,0.1447,0.0277,0.018,0.269,0.3455
HAGN,4,6.226910412311554,0.14152097702026367,0.1647,0.2408,0.3033,0.1647,0.1823,0.1603,0.1663,0.032,0.0208,0.31,0.3965
HAGN,5,6.222423076629639,0.1497328281402588,0.1847,0.2648,0.3338,0.1847,0.2041,0.1827,0.1891,0.0353,0.0229,0.3405,0.4345
HAGN,6,6.216673314571381,0.14654541015625,0.2019,0.287,0.3567,0.2019,0.2214,0.2014,0.2074,0.0383,0.0247,0.3705,0.462
HAGN,7,6.209288656711578,0.14139986038208008,0.2118,0.2991,0.3673,0.2118,0.2313,0.2107,0.2171,0.0399,0.0255,0.3845,0.476
HAGN,8,6.20052844285965,0.15253973007202148,0.218,0.3049,0.382,0.218,0.24,0.2176,0.2246,0.0407,0.0265,0.393,0.494
HAGN,9,6.1893399357795715,0.1480710506439209,0.2245,0.3166,0.3971,0.2245,0.2473,0.2227,0.2298,0.0422,0.0275,0.407,0.51
HAGN,10,6.176465153694153,0.1450819969177246,0.2303,0.3243,0.4055,0.2303,0.2531,0.2287,0.2356,0.0434,0.0281,0.417,0.52
HAGN,11,6.160593092441559,0.15268445014953613,0.2319,0.3254,0.4111,0.2319,0.256,0.2298,0.2373,0.0436,0.0285,0.416,0.5255
HAGN,12,6.142393887042999,0.1487421989440918,0.2344,0.3285,0.4159,0.2344,0.2592,0.2316,0.2394,0.0439,0.0289,0.42,0.532
HAGN,13,6.121881783008575,0.14020800590515137,0.2367,0.3317,0.4184,0.2367,0.2613,0.2339,0.2416,0.0445,0.0291,0.426,0.537
HAGN,14,6.098648011684418,0.14869046211242676,0.2388,0.336,0.4197,0.2388,0.2626,0.2357,0.2431,0.0449,0.0293,0.43,0.5395
HAGN,15,6.07137531042099,0.1506814956665039,0.2402,0.3384,0.4219,0.2402,0.2638,0.2364,0.2436,0.0453,0.0294,0.435,0.5425
HAGN,16,6.043144702911377,0.14154052734375,0.2407,0.3392,0.4185,0.2407,0.2631,0.2367,0.2437,0.0454,0.0292,0.434,0.538
HAGN,17,6.009550929069519,0.15180373191833496,0.2403,0.3354,0.4224,0.2403,0.2649,0.2376,0.2451,0.045,0.0295,0.4315,0.542
HAGN,18,5.973637044429779,0.14699530601501465,0.2408,0.3347,0.4235,0.2408,0.2659,0.2383,0.2459,0.0448,0.0296,0.4315,0.544
HAGN,19,5.937514007091522,0.14002346992492676,0.2387,0.3315,0.4231,0.2387,0.2647,0.2364,0.2443,0.0443,0.0296,0.427,0.543
HAGN,20,5.8960641622543335,0.14533543586730957,0.2386,0.3332,0.4196,0.2386,0.2633,0.2353,0.2429,0.0444,0.0293,0.4275,0.539
HAGN,21,5.850391387939453,0.15142226219177246,0.2384,0.3327,0.419,0.2384,0.2632,0.2346,0.2424,0.0442,0.0293,0.426,0.538
HAGN,22,5.805851995944977,0.14579129219055176,0.2375,0.3322,0.4164,0.2375,0.2619,0.2338,0.2415,0.0441,0.0291,0.4255,0.5345
HAGN,23,5.753667235374451,0.14295482635498047,0.2367,0.3322,0.4164,0.2367,0.2609,0.2326,0.2401,0.044,0.0291,0.4255,0.5345
HAGN,24,5.702380955219269,0.2705514430999756,0.2343,0.3301,0.4174,0.2343,0.2593,0.2296,0.2374,0.0436,0.029,0.4215,0.535
HAGN,25,5.652507722377777,0.1405045986175537,0.2342,0.3276,0.4182,0.2342,0.2602,0.2304,0.2386,0.0432,0.029,0.4175,0.536
HAGN,26,5.593190610408783,0.1355884075164795,0.2331,0.3268,0.4181,0.2331,0.2592,0.2289,0.237,0.043,0.029,0.416,0.5355
HAGN,27,5.537016570568085,0.14098429679870605,0.2318,0.3243,0.4151,0.2318,0.258,0.2275,0.236,0.0425,0.0288,0.411,0.5325
HAGN,28,5.472263336181641,0.15182995796203613,0.2304,0.3223,0.413,0.2304,0.2565,0.2263,0.2348,0.0423,0.0286,0.4095,0.531
HAGN,29,5.413410484790802,0.14614176750183105,0.2312,0.3265,0.4104,0.2312,0.2554,0.2261,0.2341,0.0429,0.0284,0.4135,0.529
