Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,4.876973450183868,0.3481931686401367,0.1621,0.2433,0.3068,0.1621,0.1788,0.1485,0.1537,0.0285,0.018,0.279,0.352
ASLGCN,2,4.874860525131226,0.12892889976501465,0.1874,0.2753,0.3505,0.1874,0.2074,0.1737,0.1797,0.0324,0.0208,0.3175,0.4045
ASLGCN,3,4.872415840625763,0.12362098693847656,0.2169,0.3143,0.3994,0.2169,0.2397,0.2036,0.2105,0.0371,0.024,0.363,0.462
ASLGCN,4,4.869278192520142,0.1240088939666748,0.2448,0.3549,0.4321,0.2448,0.2656,0.2281,0.2345,0.0421,0.0261,0.407,0.4985
ASLGCN,5,4.865269362926483,0.12460017204284668,0.2676,0.3888,0.4684,0.2676,0.289,0.2488,0.2551,0.0465,0.0286,0.4485,0.54
ASLGCN,6,4.860394477844238,0.12697935104370117,0.2869,0.414,0.4958,0.2869,0.3093,0.2682,0.2746,0.0498,0.0305,0.478,0.5685
ASLGCN,7,4.854244291782379,0.12528157234191895,0.3024,0.4324,0.5173,0.3024,0.3254,0.284,0.2905,0.0524,0.0319,0.499,0.593
ASLGCN,8,4.846774101257324,0.12579846382141113,0.3161,0.4487,0.5295,0.3161,0.3381,0.2972,0.3032,0.0546,0.0328,0.52,0.6065
ASLGCN,9,4.83775269985199,0.1282644271850586,0.3277,0.4619,0.5457,0.3277,0.3505,0.3101,0.3163,0.0563,0.0339,0.5335,0.6235
ASLGCN,10,4.827262103557587,0.12626433372497559,0.3346,0.4726,0.5601,0.3346,0.3584,0.3164,0.323,0.0577,0.0349,0.5435,0.639
ASLGCN,11,4.814643025398254,0.12402582168579102,0.3386,0.4816,0.5761,0.3386,0.3643,0.3192,0.3261,0.0588,0.0359,0.5545,0.6555
ASLGCN,12,4.8002320528030396,0.12400197982788086,0.3424,0.4883,0.583,0.3424,0.3684,0.3221,0.3291,0.0598,0.0366,0.563,0.664
ASLGCN,13,4.783737659454346,0.12257623672485352,0.3476,0.492,0.5906,0.3476,0.3748,0.3285,0.3359,0.0603,0.0371,0.5675,0.672
ASLGCN,14,4.765089452266693,0.12291908264160156,0.3509,0.4958,0.5996,0.3509,0.3794,0.3318,0.3395,0.0611,0.0377,0.5725,0.6815
ASLGCN,15,4.744632601737976,0.13466644287109375,0.3536,0.5003,0.6029,0.3536,0.3818,0.3344,0.3421,0.0615,0.0379,0.577,0.685
ASLGCN,16,4.721259951591492,0.1263720989227295,0.3543,0.5023,0.605,0.3543,0.3825,0.3352,0.3429,0.0619,0.0381,0.5805,0.6875
ASLGCN,17,4.695780992507935,0.12543940544128418,0.3561,0.5073,0.6063,0.3561,0.3835,0.3366,0.3441,0.0624,0.0383,0.585,0.691
ASLGCN,18,4.668401479721069,0.1274707317352295,0.3584,0.5109,0.6088,0.3584,0.3852,0.3383,0.3455,0.063,0.0383,0.59,0.693
ASLGCN,19,4.638274192810059,0.12503790855407715,0.3597,0.5133,0.6069,0.3597,0.3856,0.339,0.3462,0.0631,0.0382,0.591,0.692
ASLGCN,20,4.605316340923309,0.12474274635314941,0.3601,0.5136,0.6107,0.3601,0.387,0.3398,0.3472,0.0632,0.0386,0.592,0.6965
ASLGCN,21,4.5712504386901855,0.12274456024169922,0.3589,0.5132,0.6119,0.3589,0.3864,0.3386,0.3461,0.063,0.0387,0.5915,0.697
ASLGCN,22,4.533239483833313,0.2409343719482422,0.3594,0.5126,0.6126,0.3594,0.387,0.3395,0.3471,0.0631,0.0387,0.591,0.698
ASLGCN,23,4.494584918022156,0.1242227554321289,0.3595,0.5142,0.6142,0.3595,0.387,0.3391,0.3467,0.0634,0.0388,0.593,0.6995
ASLGCN,24,4.4513954520225525,0.1244661808013916,0.3578,0.5101,0.6152,0.3578,0.3868,0.3382,0.3461,0.063,0.0389,0.5895,0.701
ASLGCN,25,4.408751368522644,0.12958669662475586,0.3575,0.5102,0.6171,0.3575,0.3869,0.3378,0.3457,0.063,0.039,0.59,0.7035
ASLGCN,26,4.364010393619537,0.12497210502624512,0.3576,0.5117,0.6175,0.3576,0.3867,0.3371,0.345,0.0631,0.0391,0.5905,0.7035
ASLGCN,27,4.314360082149506,0.12738513946533203,0.3581,0.5139,0.6174,0.3581,0.3864,0.3367,0.3443,0.0635,0.039,0.5925,0.703
ASLGCN,28,4.264988660812378,0.12683534622192383,0.3572,0.514,0.6152,0.3572,0.3849,0.3355,0.343,0.0636,0.0389,0.5935,0.7005
ASLGCN,29,4.213660299777985,0.12547945976257324,0.3574,0.5159,0.6154,0.3574,0.3846,0.3352,0.3426,0.0639,0.0389,0.595,0.701
ASLGCN,30,4.160169363021851,0.12459063529968262,0.3572,0.5128,0.6156,0.3572,0.3853,0.3359,0.3435,0.0636,0.039,0.5915,0.701
ASLGCN,31,4.107614457607269,0.12392163276672363,0.3568,0.514,0.6207,0.3568,0.3858,0.335,0.343,0.0637,0.0393,0.5915,0.7065
