Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,31.8850274682045,0.553504467010498,0.0016,0.0014,0.0034,0.0016,0.0025,0.0037,0.0052,0.0016,0.002,0.015,0.0385
BPR,2,31.825778126716614,0.3993961811065674,0.0021,0.0016,0.0036,0.0021,0.0028,0.005,0.0063,0.0022,0.0022,0.0215,0.041
BPR,3,31.759269058704376,0.3935093879699707,0.0024,0.002,0.0035,0.0024,0.0029,0.0064,0.0075,0.0023,0.0021,0.023,0.0405
BPR,4,31.668538331985474,0.38865208625793457,0.0025,0.0019,0.0038,0.0025,0.0033,0.007,0.0085,0.0022,0.0023,0.0215,0.044
BPR,5,31.543160378932953,0.3896806240081787,0.0027,0.0021,0.0035,0.0027,0.0031,0.0075,0.0085,0.0024,0.002,0.024,0.0395
BPR,6,31.372150659561157,0.4010794162750244,0.0024,0.0019,0.0041,0.0024,0.0033,0.0067,0.0083,0.0022,0.0023,0.022,0.0445
BPR,7,31.14301562309265,0.39635300636291504,0.0026,0.0021,0.004,0.0026,0.0032,0.007,0.0081,0.0024,0.0021,0.024,0.0415
BPR,8,30.85650485754013,0.3952329158782959,0.0023,0.0019,0.0042,0.0023,0.0031,0.0063,0.0075,0.0022,0.0021,0.0225,0.041
BPR,9,30.518513321876526,0.3959496021270752,0.002,0.0016,0.004,0.002,0.0031,0.0056,0.0073,0.0018,0.0022,0.018,0.043
BPR,10,30.118570387363434,0.38851165771484375,0.0024,0.0019,0.0036,0.0024,0.0031,0.0067,0.008,0.0022,0.0021,0.021,0.0405
BPR,11,29.66236573457718,0.38992929458618164,0.0026,0.0022,0.0037,0.0026,0.0032,0.0073,0.0085,0.0023,0.0021,0.0225,0.041
BPR,12,29.176052510738373,0.39455556869506836,0.0027,0.0023,0.0039,0.0027,0.0033,0.0077,0.0088,0.0024,0.0021,0.0235,0.0405
BPR,13,28.63410472869873,0.39177632331848145,0.0024,0.002,0.004,0.0024,0.0033,0.0067,0.0083,0.0022,0.0023,0.021,0.044
BPR,14,28.054815113544464,0.38851499557495117,0.0025,0.002,0.0039,0.0025,0.0033,0.0073,0.0088,0.0022,0.0022,0.021,0.042
BPR,15,27.46200454235077,0.38869357109069824,0.0025,0.002,0.0039,0.0025,0.0032,0.0072,0.0085,0.0022,0.0021,0.022,0.0415
BPR,16,26.86679619550705,0.3877906799316406,0.0026,0.002,0.004,0.0026,0.0034,0.0078,0.0093,0.0023,0.0022,0.022,0.043
BPR,17,26.23186594247818,0.39057087898254395,0.0025,0.0021,0.0042,0.0025,0.0034,0.0071,0.0088,0.0022,0.0024,0.0215,0.0465
BPR,18,25.58000659942627,0.3884086608886719,0.0024,0.0018,0.004,0.0024,0.0032,0.007,0.0085,0.0021,0.0022,0.0205,0.0435
BPR,19,24.944062769412994,0.38753604888916016,0.0023,0.0017,0.004,0.0023,0.0033,0.0068,0.0084,0.002,0.0022,0.0185,0.043
BPR,20,24.365550994873047,0.3885371685028076,0.0022,0.0017,0.0038,0.0022,0.0031,0.0064,0.0079,0.002,0.0022,0.019,0.042
BPR,21,23.784639179706573,0.39031481742858887,0.0022,0.0017,0.0037,0.0022,0.003,0.0062,0.0077,0.002,0.0022,0.0195,0.0415
BPR,22,23.161246299743652,0.3908531665802002,0.0022,0.0017,0.0036,0.0022,0.0029,0.0063,0.0076,0.002,0.0021,0.02,0.0405
BPR,23,22.596634209156036,0.38963818550109863,0.0021,0.0016,0.0031,0.0021,0.0026,0.0059,0.0071,0.0019,0.0018,0.0185,0.0345
