Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.24694573879242,0.4785909652709961,0.0093,0.0129,0.0238,0.0093,0.0136,0.0157,0.0189,0.0053,0.005,0.051,0.0965
CSGCN,2,15.243589878082275,0.2782599925994873,0.0123,0.0165,0.0289,0.0123,0.017,0.0209,0.0243,0.0067,0.006,0.0645,0.1145
CSGCN,3,15.239027500152588,0.27915072441101074,0.016,0.0212,0.0328,0.016,0.0205,0.0282,0.0314,0.0085,0.0068,0.081,0.1285
CSGCN,4,15.23214453458786,0.283313512802124,0.0179,0.0231,0.038,0.0179,0.0236,0.032,0.036,0.0094,0.0078,0.0895,0.149
CSGCN,5,15.222089946269989,0.27950358390808105,0.0202,0.0255,0.0426,0.0202,0.0268,0.036,0.0405,0.01,0.0087,0.0965,0.1635
CSGCN,6,15.207685768604279,0.2791612148284912,0.0221,0.0288,0.0446,0.0221,0.0281,0.0381,0.0422,0.0114,0.0091,0.109,0.171
CSGCN,7,15.188762485980988,0.2776041030883789,0.0222,0.0288,0.0468,0.0222,0.0291,0.0388,0.0436,0.011,0.0094,0.1055,0.177
CSGCN,8,15.163608014583588,0.2785630226135254,0.0228,0.0295,0.0472,0.0228,0.0297,0.0397,0.0447,0.0111,0.0094,0.1055,0.179
CSGCN,9,15.13224709033966,0.2805063724517822,0.0231,0.0296,0.0491,0.0231,0.0305,0.04,0.0451,0.0111,0.0096,0.107,0.1815
CSGCN,10,15.09431654214859,0.280346155166626,0.0234,0.0305,0.051,0.0234,0.0311,0.0404,0.0455,0.0116,0.0099,0.112,0.1865
CSGCN,11,15.048605501651764,0.27773070335388184,0.023,0.0305,0.0518,0.023,0.0309,0.0393,0.0446,0.0116,0.01,0.113,0.19
CSGCN,12,14.995954811573029,0.2803189754486084,0.0222,0.0301,0.0525,0.0222,0.0308,0.038,0.0438,0.0112,0.0103,0.11,0.1945
CSGCN,13,14.935753881931305,0.2771286964416504,0.0215,0.0291,0.0516,0.0215,0.0301,0.0369,0.0429,0.0108,0.0102,0.1065,0.1935
CSGCN,14,14.868423640727997,0.27704691886901855,0.0217,0.0289,0.0515,0.0217,0.0303,0.0373,0.0431,0.0112,0.0103,0.109,0.193
CSGCN,15,14.792362987995148,0.2781953811645508,0.0213,0.0276,0.0508,0.0213,0.03,0.0374,0.0431,0.0107,0.0101,0.1055,0.189
CSGCN,16,14.710992932319641,0.27634167671203613,0.0216,0.0279,0.05,0.0216,0.03,0.038,0.0435,0.0108,0.01,0.106,0.1885
CSGCN,17,14.621095955371857,0.27733826637268066,0.0219,0.0288,0.0502,0.0219,0.0299,0.038,0.0432,0.0111,0.01,0.1075,0.1875
CSGCN,18,14.526797890663147,0.2769613265991211,0.0208,0.0272,0.0479,0.0208,0.0287,0.0363,0.0417,0.0103,0.0096,0.101,0.181
CSGCN,19,14.424573183059692,0.27483630180358887,0.0208,0.0265,0.0466,0.0208,0.0283,0.0364,0.0415,0.0104,0.0093,0.102,0.1755
CSGCN,20,14.31674075126648,0.2794201374053955,0.0209,0.0266,0.0453,0.0209,0.028,0.037,0.0417,0.0106,0.0091,0.103,0.172
CSGCN,21,14.204509496688843,0.27367258071899414,0.021,0.0272,0.0455,0.021,0.0278,0.0369,0.0413,0.0109,0.0091,0.107,0.172
