Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,211528.521484375,0.6488792896270752,0.0714,0.0903,0.1301,0.0714,0.0863,0.1137,0.1211,0.0305,0.0232,0.2685,0.378
SimGCL,2,185787.8671875,0.35421085357666016,0.0995,0.123,0.1768,0.0995,0.1198,0.1566,0.1663,0.0407,0.0309,0.344,0.4845
SimGCL,3,179340.43701171875,0.3527069091796875,0.1215,0.1498,0.2074,0.1215,0.1433,0.1887,0.1987,0.0486,0.0357,0.401,0.5435
SimGCL,4,174878.51171875,0.3509399890899658,0.1377,0.1694,0.229,0.1377,0.1604,0.2115,0.2212,0.0548,0.0394,0.445,0.5855
SimGCL,5,172338.5712890625,0.3503744602203369,0.1511,0.1836,0.2508,0.1511,0.1765,0.2323,0.2424,0.0593,0.043,0.4765,0.6245
SimGCL,6,169875.6865234375,0.34932851791381836,0.1628,0.2017,0.267,0.1628,0.1877,0.2444,0.2541,0.0653,0.0459,0.512,0.6515
SimGCL,7,167343.98095703125,0.3483138084411621,0.1746,0.2147,0.2823,0.1746,0.2007,0.2615,0.2714,0.0693,0.0486,0.538,0.678
SimGCL,8,165692.9365234375,0.3501017093658447,0.1846,0.2255,0.2964,0.1846,0.2122,0.2769,0.2867,0.0731,0.0514,0.563,0.7025
SimGCL,9,164967.06640625,0.3488430976867676,0.1951,0.2366,0.3095,0.1951,0.2234,0.2923,0.3021,0.0769,0.0538,0.583,0.722
SimGCL,10,163699.3193359375,0.347898006439209,0.2042,0.2468,0.3215,0.2042,0.2333,0.3042,0.3141,0.0805,0.0562,0.6015,0.7435
SimGCL,11,162721.99658203125,0.3581109046936035,0.2146,0.257,0.3325,0.2146,0.2439,0.3199,0.3297,0.0844,0.0583,0.619,0.76
SimGCL,12,161191.2041015625,0.34813737869262695,0.2221,0.2641,0.3426,0.2221,0.2529,0.3316,0.3411,0.0869,0.0603,0.634,0.7695
SimGCL,13,160354.6259765625,0.3477437496185303,0.2294,0.2725,0.3512,0.2294,0.2604,0.3418,0.3508,0.0901,0.062,0.651,0.778
SimGCL,14,160096.2421875,0.3504047393798828,0.237,0.2814,0.3607,0.237,0.2681,0.3513,0.3601,0.0934,0.0638,0.6635,0.7865
SimGCL,15,159268.05419921875,0.34757184982299805,0.2429,0.2869,0.3687,0.2429,0.2749,0.3596,0.3683,0.0958,0.0653,0.673,0.7925
SimGCL,16,158567.08984375,0.3481004238128662,0.2508,0.2962,0.3754,0.2508,0.2818,0.3699,0.3778,0.0992,0.0665,0.69,0.802
SimGCL,17,158518.9990234375,0.3554418087005615,0.2567,0.302,0.3801,0.2567,0.2875,0.3783,0.3859,0.1018,0.0677,0.7005,0.8075
SimGCL,18,157475.1748046875,0.34950876235961914,0.2635,0.3111,0.3887,0.2635,0.294,0.3867,0.3944,0.1051,0.0693,0.71,0.8195
SimGCL,19,157695.43310546875,0.3482487201690674,0.2685,0.3171,0.3968,0.2685,0.2997,0.3922,0.3997,0.1073,0.0709,0.7205,0.8265
SimGCL,20,156556.71728515625,0.350783109664917,0.275,0.3223,0.4009,0.275,0.306,0.4032,0.4107,0.1091,0.0718,0.725,0.8305
SimGCL,21,156923.50244140625,0.3528447151184082,0.2795,0.3289,0.4069,0.2795,0.3103,0.4072,0.4147,0.1115,0.073,0.733,0.838
SimGCL,22,156039.8740234375,0.3478553295135498,0.2843,0.3341,0.4127,0.2843,0.3152,0.4135,0.4205,0.1138,0.0742,0.7455,0.8455
SimGCL,23,155521.65283203125,0.35521864891052246,0.2881,0.3372,0.4177,0.2881,0.3198,0.4188,0.4262,0.1148,0.0751,0.745,0.848
SimGCL,24,155356.16796875,0.34726810455322266,0.2925,0.3415,0.422,0.2925,0.3242,0.4256,0.4327,0.1168,0.0761,0.7525,0.854
SimGCL,25,154742.5078125,0.3488624095916748,0.2958,0.3441,0.4261,0.2958,0.3282,0.4302,0.4374,0.1178,0.0769,0.755,0.8565
SimGCL,26,154707.64990234375,0.4719829559326172,0.2992,0.348,0.4301,0.2992,0.3318,0.435,0.4424,0.1192,0.0778,0.759,0.862
SimGCL,27,154957.44921875,0.3486940860748291,0.3026,0.3506,0.4334,0.3026,0.3356,0.4406,0.4482,0.1201,0.0785,0.761,0.868
SimGCL,28,154271.26513671875,0.3506927490234375,0.307,0.3565,0.4374,0.307,0.339,0.445,0.4524,0.1225,0.0792,0.768,0.8725
