Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,30.495326101779938,0.7839701175689697,0.0069,0.0068,0.0116,0.0069,0.0088,0.0167,0.0195,0.0057,0.005,0.0555,0.097
CSGCN,2,30.486035227775574,0.5794169902801514,0.0081,0.0075,0.0139,0.0081,0.0108,0.0204,0.0239,0.0064,0.0061,0.062,0.1135
CSGCN,3,30.468482434749603,0.5638561248779297,0.0098,0.0093,0.0158,0.0098,0.0126,0.025,0.0292,0.0078,0.0073,0.076,0.1365
CSGCN,4,30.43658798933029,0.5888524055480957,0.0108,0.0102,0.0173,0.0108,0.0135,0.0263,0.0304,0.0091,0.008,0.0875,0.148
CSGCN,5,30.384966492652893,0.5590763092041016,0.0109,0.0097,0.0173,0.0109,0.0138,0.0283,0.0327,0.0083,0.0078,0.0795,0.146
CSGCN,6,30.308846950531006,0.579470157623291,0.0103,0.0095,0.0163,0.0103,0.0129,0.0264,0.0302,0.0081,0.0072,0.079,0.136
CSGCN,7,30.20564353466034,0.5830807685852051,0.0094,0.0086,0.0158,0.0094,0.0123,0.0247,0.0289,0.007,0.0069,0.0685,0.1305
CSGCN,8,30.07453280687332,0.5804760456085205,0.0091,0.0082,0.0151,0.0091,0.0119,0.0242,0.0281,0.0066,0.0067,0.065,0.1255
CSGCN,9,29.91469317674637,0.5608165264129639,0.0089,0.0077,0.0145,0.0089,0.0116,0.0238,0.0276,0.0065,0.0063,0.064,0.12
CSGCN,10,29.72565734386444,0.5706992149353027,0.009,0.0082,0.0137,0.009,0.0109,0.0236,0.0263,0.0069,0.0058,0.0685,0.11
CSGCN,11,29.511336863040924,0.5714805126190186,0.0084,0.0073,0.0129,0.0084,0.0104,0.023,0.0258,0.0064,0.0055,0.0635,0.1055
CSGCN,12,29.27449083328247,0.5794765949249268,0.0084,0.0073,0.012,0.0084,0.0099,0.023,0.0254,0.0066,0.0053,0.065,0.1015
CSGCN,13,29.016521692276,0.5650079250335693,0.0081,0.0071,0.0118,0.0081,0.0097,0.0217,0.0243,0.0063,0.0053,0.0615,0.101
CSGCN,14,28.733957946300507,0.5639841556549072,0.008,0.007,0.0118,0.008,0.0097,0.0217,0.0243,0.0061,0.0053,0.0605,0.101
CSGCN,15,28.438059866428375,0.580852746963501,0.0078,0.0068,0.0112,0.0078,0.0094,0.021,0.0235,0.0059,0.005,0.0585,0.096
CSGCN,16,28.125970244407654,0.5675802230834961,0.008,0.0069,0.0114,0.008,0.0096,0.0218,0.0244,0.0061,0.005,0.06,0.096
