Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.249443590641022,0.3849520683288574,0.0017,0.0024,0.0044,0.0017,0.0025,0.0028,0.0036,0.001,0.001,0.0095,0.02
BPR,2,15.221141338348389,0.2228107452392578,0.0025,0.0033,0.0043,0.0025,0.003,0.0041,0.0045,0.0013,0.001,0.013,0.0195
BPR,3,15.1940416097641,0.22130966186523438,0.0024,0.0026,0.0052,0.0024,0.0035,0.0044,0.0052,0.0011,0.0011,0.0105,0.022
BPR,4,15.161851942539215,0.22511076927185059,0.0019,0.0024,0.0047,0.0019,0.0028,0.0037,0.0044,0.001,0.001,0.01,0.0205
BPR,5,15.12080830335617,0.2213149070739746,0.0019,0.0024,0.004,0.0019,0.0025,0.0038,0.0043,0.0011,0.0009,0.0105,0.017
BPR,6,15.067206621170044,0.21379637718200684,0.0021,0.0031,0.0041,0.0021,0.0026,0.0036,0.0041,0.0011,0.0009,0.011,0.0175
BPR,7,15.000601887702942,0.20965003967285156,0.0021,0.0033,0.0045,0.0021,0.0027,0.0035,0.0041,0.0012,0.001,0.0115,0.02
BPR,8,14.916877567768097,0.22100615501403809,0.0021,0.003,0.0049,0.0021,0.0029,0.0035,0.0042,0.0011,0.0011,0.0105,0.0205
BPR,9,14.814467072486877,0.21903252601623535,0.0023,0.0032,0.0044,0.0023,0.0028,0.0039,0.0044,0.0013,0.001,0.0125,0.019
BPR,10,14.687818348407745,0.22110629081726074,0.0023,0.0035,0.0043,0.0023,0.0027,0.0038,0.0042,0.0013,0.0009,0.013,0.018
BPR,11,14.544040024280548,0.21947884559631348,0.0022,0.0036,0.0045,0.0022,0.0026,0.0034,0.0037,0.0014,0.001,0.014,0.019
BPR,12,14.371547400951385,0.22116661071777344,0.002,0.0036,0.0048,0.002,0.0025,0.0028,0.0033,0.0014,0.001,0.014,0.0205
BPR,13,14.18574345111847,0.21808981895446777,0.0019,0.0034,0.0051,0.0019,0.0026,0.0026,0.0031,0.0014,0.0011,0.0135,0.0215
