Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,8.362581193447113,0.38295507431030273,0.0471,0.0719,0.1026,0.0471,0.0559,0.0512,0.0545,0.0127,0.009,0.1235,0.172
ASLGCN,2,8.359277367591858,0.17688965797424316,0.058,0.0899,0.1299,0.058,0.0697,0.0619,0.0665,0.0154,0.0114,0.1485,0.215
ASLGCN,3,8.35572624206543,0.17134356498718262,0.0696,0.1058,0.1593,0.0696,0.0853,0.0763,0.0822,0.0181,0.0139,0.175,0.2615
ASLGCN,4,8.350814938545227,0.17142796516418457,0.0828,0.126,0.1818,0.0828,0.0993,0.0905,0.0969,0.0213,0.0159,0.205,0.299
ASLGCN,5,8.345081746578217,0.1716291904449463,0.0946,0.1455,0.2025,0.0946,0.1114,0.1029,0.109,0.0243,0.0175,0.2325,0.325
ASLGCN,6,8.337467312812805,0.17138385772705078,0.1071,0.161,0.2132,0.1071,0.123,0.1173,0.1235,0.0267,0.0186,0.2535,0.341
ASLGCN,7,8.32847011089325,0.17095398902893066,0.1162,0.1722,0.2284,0.1162,0.1331,0.1278,0.1341,0.0287,0.0201,0.273,0.367
ASLGCN,8,8.316950798034668,0.17134571075439453,0.1212,0.1798,0.2322,0.1212,0.1372,0.1333,0.1393,0.03,0.0204,0.2845,0.372
ASLGCN,9,8.303169131278992,0.17137360572814941,0.1252,0.1812,0.244,0.1252,0.1442,0.1395,0.1467,0.0303,0.0215,0.2855,0.391
ASLGCN,10,8.288359940052032,0.17433810234069824,0.1271,0.185,0.254,0.1271,0.1475,0.1409,0.1485,0.0312,0.0222,0.291,0.4025
ASLGCN,11,8.269967317581177,0.17333078384399414,0.1308,0.1912,0.2569,0.1308,0.1506,0.1436,0.151,0.0319,0.0225,0.2975,0.406
ASLGCN,12,8.249069333076477,0.17083001136779785,0.1333,0.1976,0.2569,0.1333,0.1513,0.1449,0.1516,0.0331,0.0225,0.3085,0.405
ASLGCN,13,8.227307200431824,0.17088007926940918,0.1345,0.1989,0.2624,0.1345,0.1536,0.1467,0.1535,0.0333,0.023,0.3105,0.4115
ASLGCN,14,8.200970113277435,0.1712963581085205,0.1349,0.1998,0.2652,0.1349,0.1548,0.1462,0.1537,0.0334,0.0233,0.311,0.419
ASLGCN,15,8.171901047229767,0.17125964164733887,0.1361,0.2,0.2662,0.1361,0.1561,0.1482,0.1558,0.0336,0.0234,0.3125,0.4225
ASLGCN,16,8.141539335250854,0.17116665840148926,0.137,0.1999,0.2641,0.137,0.1563,0.1492,0.1565,0.0337,0.0232,0.312,0.4175
ASLGCN,17,8.10809850692749,0.2865104675292969,0.1361,0.1963,0.2634,0.1361,0.1563,0.1488,0.1564,0.0334,0.0232,0.307,0.416
ASLGCN,18,8.072198987007141,0.17316937446594238,0.1377,0.199,0.2618,0.1377,0.1566,0.1503,0.1574,0.0337,0.023,0.3105,0.4135
ASLGCN,19,8.034791707992554,0.1736431121826172,0.1378,0.1987,0.2627,0.1378,0.157,0.1505,0.1576,0.0337,0.0231,0.3115,0.4145
ASLGCN,20,7.990248203277588,0.17388510704040527,0.1386,0.2,0.2634,0.1386,0.1576,0.1508,0.1578,0.034,0.0232,0.3135,0.4165
ASLGCN,21,7.946924567222595,0.17105507850646973,0.1376,0.1972,0.2625,0.1376,0.157,0.1496,0.1566,0.0337,0.023,0.312,0.4145
ASLGCN,22,7.901333332061768,0.16991281509399414,0.1377,0.2004,0.2624,0.1377,0.1562,0.1486,0.1555,0.034,0.023,0.312,0.4145
ASLGCN,23,7.845409393310547,0.16966938972473145,0.1369,0.1989,0.2612,0.1369,0.1556,0.148,0.1548,0.0337,0.023,0.3105,0.4115
ASLGCN,24,7.801339685916901,0.1696946620941162,0.1361,0.198,0.2585,0.1361,0.1542,0.1469,0.1535,0.0337,0.0227,0.3095,0.4065
ASLGCN,25,7.74847412109375,0.16982293128967285,0.136,0.1971,0.2595,0.136,0.1545,0.1469,0.1536,0.0336,0.0228,0.3075,0.4065
ASLGCN,26,7.691912591457367,0.17015719413757324,0.1347,0.1952,0.2595,0.1347,0.1539,0.1457,0.1526,0.0331,0.0229,0.304,0.4055
ASLGCN,27,7.628716886043549,0.16962599754333496,0.1341,0.1948,0.2591,0.1341,0.1534,0.1452,0.1522,0.033,0.0228,0.3025,0.406
ASLGCN,28,7.580026865005493,0.16918730735778809,0.1334,0.1939,0.2588,0.1334,0.1529,0.144,0.1512,0.0329,0.0229,0.301,0.405
ASLGCN,29,7.509296655654907,0.16997647285461426,0.132,0.1917,0.2603,0.132,0.1524,0.1422,0.1497,0.0327,0.023,0.298,0.407
ASLGCN,30,7.449126243591309,0.17005586624145508,0.131,0.1931,0.2611,0.131,0.1514,0.14,0.1473,0.0328,0.023,0.2995,0.407
ASLGCN,31,7.390113174915314,0.18065476417541504,0.131,0.194,0.2642,0.131,0.1517,0.1394,0.1467,0.033,0.0232,0.3015,0.4115
