Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,8.315039694309235,0.38015127182006836,0.0471,0.0786,0.1134,0.0471,0.0572,0.0477,0.0517,0.0124,0.0093,0.121,0.179
CSGCN,2,8.312564492225647,0.17698192596435547,0.0605,0.0957,0.134,0.0605,0.0715,0.0622,0.0663,0.0154,0.0109,0.1485,0.209
CSGCN,3,8.309576630592346,0.17041993141174316,0.0741,0.1148,0.1631,0.0741,0.0882,0.0764,0.0817,0.0187,0.0136,0.1775,0.254
CSGCN,4,8.305803894996643,0.16997337341308594,0.0863,0.1346,0.1824,0.0863,0.1003,0.0887,0.094,0.0217,0.0152,0.206,0.285
CSGCN,5,8.300721049308777,0.17072844505310059,0.0957,0.1515,0.2072,0.0957,0.1119,0.098,0.1042,0.0244,0.0174,0.229,0.322
CSGCN,6,8.294421017169952,0.17029452323913574,0.1045,0.1655,0.2219,0.1045,0.1211,0.1073,0.1133,0.0266,0.0185,0.25,0.338
CSGCN,7,8.286138415336609,0.17035245895385742,0.1122,0.1764,0.2326,0.1122,0.129,0.1165,0.1225,0.0284,0.0194,0.2675,0.352
CSGCN,8,8.276431322097778,0.1705610752105713,0.1161,0.177,0.2456,0.1161,0.1363,0.1237,0.1307,0.0287,0.0205,0.2715,0.371
CSGCN,9,8.264667689800262,0.17093634605407715,0.1203,0.181,0.2495,0.1203,0.1405,0.1289,0.1361,0.0294,0.0209,0.2745,0.379
CSGCN,10,8.250646352767944,0.17279529571533203,0.1256,0.1879,0.2523,0.1256,0.1448,0.1346,0.1416,0.0305,0.0214,0.283,0.384
CSGCN,11,8.233895480632782,0.17393183708190918,0.1292,0.1939,0.2592,0.1292,0.1486,0.1375,0.1444,0.0317,0.0221,0.294,0.3955
CSGCN,12,8.21578061580658,0.16866755485534668,0.1308,0.1964,0.2597,0.1308,0.1499,0.1388,0.1458,0.0321,0.0223,0.2975,0.3985
CSGCN,13,8.195323646068573,0.16870379447937012,0.1317,0.1984,0.2604,0.1317,0.15,0.1388,0.1455,0.0328,0.0222,0.3015,0.3985
CSGCN,14,8.173472583293915,0.16913485527038574,0.1327,0.197,0.2616,0.1327,0.1519,0.1403,0.1474,0.0326,0.0224,0.3005,0.403
CSGCN,15,8.147282898426056,0.17626452445983887,0.1324,0.1952,0.2641,0.1324,0.1528,0.1407,0.1479,0.0325,0.0226,0.3025,0.4075
CSGCN,16,8.118638217449188,0.1692187786102295,0.1344,0.1969,0.2634,0.1344,0.1543,0.1434,0.1504,0.0325,0.0227,0.304,0.407
CSGCN,17,8.08801132440567,0.29097843170166016,0.1348,0.199,0.2662,0.1348,0.1547,0.1427,0.1497,0.0329,0.0228,0.306,0.409
CSGCN,18,8.057356894016266,0.1706244945526123,0.1346,0.2001,0.2637,0.1346,0.1536,0.1414,0.1481,0.033,0.0227,0.307,0.4065
CSGCN,19,8.017943263053894,0.16969823837280273,0.134,0.1987,0.2635,0.134,0.1533,0.1402,0.1472,0.0328,0.0225,0.3025,0.4035
CSGCN,20,7.983913958072662,0.16937780380249023,0.1334,0.1999,0.2672,0.1334,0.1531,0.1389,0.1459,0.033,0.0227,0.306,0.409
CSGCN,21,7.9433305859565735,0.16920876502990723,0.1322,0.1977,0.2697,0.1322,0.1533,0.1383,0.1456,0.0326,0.0229,0.3035,0.412
CSGCN,22,7.899906754493713,0.17263555526733398,0.1329,0.1975,0.2655,0.1329,0.153,0.1398,0.1468,0.0324,0.0225,0.303,0.4045
CSGCN,23,7.852970123291016,0.1694798469543457,0.1323,0.1978,0.2651,0.1323,0.1524,0.1388,0.1459,0.0321,0.0225,0.3005,0.4045
CSGCN,24,7.80912309885025,0.1694936752319336,0.1325,0.1973,0.2617,0.1325,0.1518,0.1388,0.1457,0.0319,0.0222,0.299,0.3995
CSGCN,25,7.7624868750572205,0.1698009967803955,0.1323,0.1963,0.2588,0.1323,0.1511,0.1386,0.1454,0.0315,0.022,0.2955,0.396
CSGCN,26,7.707540452480316,0.16806650161743164,0.1296,0.1934,0.2563,0.1296,0.1486,0.135,0.1421,0.031,0.0217,0.29,0.392
CSGCN,27,7.655444800853729,0.1674354076385498,0.1285,0.1917,0.2524,0.1285,0.1467,0.1336,0.1405,0.0307,0.0213,0.2865,0.3855
CSGCN,28,7.592618405818939,0.1660444736480713,0.1272,0.1908,0.2486,0.1272,0.1444,0.1324,0.139,0.0307,0.0209,0.285,0.379
