Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.246934533119202,0.48160719871520996,0.0114,0.0148,0.0265,0.0114,0.0159,0.0202,0.0234,0.0063,0.0057,0.0615,0.109
HAGN,2,15.24333792924881,0.2859947681427002,0.0118,0.0152,0.0266,0.0118,0.0163,0.0213,0.0246,0.0066,0.0059,0.064,0.1105
HAGN,3,15.23817664384842,0.2845768928527832,0.0136,0.0176,0.0312,0.0136,0.0189,0.0249,0.029,0.0072,0.0068,0.0705,0.13
HAGN,4,15.230005025863647,0.2847299575805664,0.0136,0.0164,0.0311,0.0136,0.0193,0.0273,0.0312,0.0069,0.0067,0.0685,0.125
HAGN,5,15.217189371585846,0.2840869426727295,0.0138,0.0168,0.03,0.0138,0.0188,0.027,0.0303,0.0072,0.0064,0.0715,0.1205
HAGN,6,15.197315335273743,0.2911200523376465,0.0106,0.0136,0.0254,0.0106,0.0151,0.0206,0.0239,0.0062,0.0057,0.06,0.108
HAGN,7,15.168588697910309,0.2817099094390869,0.0095,0.0117,0.0205,0.0095,0.0127,0.0187,0.0209,0.0059,0.0047,0.057,0.09
HAGN,8,15.128337025642395,0.28226137161254883,0.0072,0.0092,0.0156,0.0072,0.0097,0.0139,0.0156,0.0047,0.0038,0.0465,0.0715
HAGN,9,15.073789834976196,0.2803187370300293,0.0057,0.0078,0.0131,0.0057,0.0078,0.0106,0.0123,0.0038,0.0033,0.037,0.0625
HAGN,10,15.005651652812958,0.2791924476623535,0.0049,0.0063,0.0113,0.0049,0.0067,0.0095,0.0109,0.0033,0.0028,0.0325,0.0535
HAGN,11,14.923767864704132,0.27863550186157227,0.0042,0.0056,0.0093,0.0042,0.0057,0.008,0.0093,0.0029,0.0024,0.029,0.047
HAGN,12,14.835994601249695,0.2876427173614502,0.0042,0.0056,0.0091,0.0042,0.0056,0.0083,0.0095,0.0027,0.0024,0.0275,0.0455
HAGN,13,14.738634884357452,0.28200244903564453,0.0037,0.0045,0.0089,0.0037,0.0055,0.0076,0.009,0.0024,0.0023,0.0245,0.045
HAGN,14,14.647414863109589,0.279188871383667,0.0039,0.0046,0.0088,0.0039,0.0054,0.008,0.0091,0.0025,0.0022,0.025,0.0425
HAGN,15,14.544747591018677,0.2799813747406006,0.0041,0.0054,0.0095,0.0041,0.0057,0.0081,0.0094,0.0025,0.0024,0.0245,0.046
HAGN,16,14.440495014190674,0.27948784828186035,0.0042,0.005,0.0097,0.0042,0.0061,0.0084,0.01,0.0024,0.0024,0.0235,0.047
