Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,4.85200560092926,0.24266743659973145,0.0002,0.0005,0.0025,0.0002,0.0007,0.0002,0.0003,0.0001,0.0002,0.001,0.0035
BPR,2,4.843242108821869,0.09389686584472656,0.0002,0.0005,0.003,0.0002,0.0009,0.0002,0.0004,0.0001,0.0002,0.001,0.004
BPR,3,4.835706830024719,0.09770846366882324,0.0003,0.0005,0.0033,0.0003,0.001,0.0002,0.0005,0.0001,0.0003,0.001,0.005
BPR,4,4.8279765248298645,0.09357309341430664,0.0007,0.0018,0.0028,0.0007,0.001,0.0004,0.0005,0.0002,0.0002,0.002,0.0045
BPR,5,4.819864630699158,0.09362673759460449,0.0008,0.0019,0.0029,0.0008,0.0011,0.0005,0.0007,0.0003,0.0002,0.0025,0.0045
BPR,6,4.810866117477417,0.09266448020935059,0.0009,0.0021,0.0031,0.0009,0.0012,0.0006,0.0007,0.0003,0.0002,0.003,0.0045
BPR,7,4.801103830337524,0.09263324737548828,0.0009,0.002,0.0041,0.0009,0.0014,0.0006,0.0007,0.0003,0.0003,0.0025,0.0055
BPR,8,4.789678156375885,0.09803628921508789,0.001,0.0025,0.0034,0.001,0.0012,0.0006,0.0007,0.0003,0.0002,0.003,0.0045
BPR,9,4.777207136154175,0.1005251407623291,0.0009,0.0025,0.0041,0.0009,0.0013,0.0005,0.0006,0.0003,0.0003,0.003,0.0055
BPR,10,4.763003289699554,0.09346437454223633,0.0008,0.0023,0.0034,0.0008,0.0012,0.0004,0.0006,0.0003,0.0002,0.0025,0.0045
BPR,11,4.747461140155792,0.09456753730773926,0.0008,0.0018,0.0038,0.0008,0.0013,0.0005,0.0007,0.0002,0.0002,0.002,0.0045
BPR,12,4.728981673717499,0.09579730033874512,0.0005,0.0013,0.0043,0.0005,0.0012,0.0003,0.0005,0.0002,0.0003,0.0015,0.005
BPR,13,4.709402322769165,0.09375786781311035,0.0004,0.0013,0.0035,0.0004,0.001,0.0002,0.0004,0.0002,0.0002,0.0015,0.004
BPR,14,4.68645316362381,0.1770496368408203,0.0004,0.0013,0.0033,0.0004,0.0009,0.0002,0.0003,0.0002,0.0002,0.0015,0.0035
BPR,15,4.662168204784393,0.09604287147521973,0.0004,0.0013,0.0033,0.0004,0.0009,0.0002,0.0004,0.0002,0.0002,0.0015,0.0035
BPR,16,4.634483277797699,0.09317898750305176,0.0003,0.0008,0.0028,0.0003,0.0008,0.0002,0.0003,0.0001,0.0002,0.001,0.003
BPR,17,4.60395610332489,0.09253454208374023,0.0004,0.0013,0.0032,0.0004,0.0009,0.0002,0.0004,0.0002,0.0002,0.0015,0.004
BPR,18,4.57193523645401,0.09548497200012207,0.0005,0.0013,0.0032,0.0005,0.001,0.0003,0.0004,0.0002,0.0002,0.0015,0.004
BPR,19,4.536123096942902,0.0921485424041748,0.0005,0.0013,0.0027,0.0005,0.0009,0.0003,0.0004,0.0002,0.0002,0.0015,0.0035
