Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,214291.978515625,0.6678340435028076,0.0731,0.0911,0.1296,0.0731,0.0871,0.1189,0.1261,0.0305,0.0224,0.274,0.381
SimGCL,2,186823.28662109375,0.3561561107635498,0.104,0.1276,0.176,0.104,0.1219,0.1668,0.1751,0.042,0.0304,0.3655,0.487
SimGCL,3,180066.98681640625,0.3570535182952881,0.1272,0.1538,0.2102,0.1272,0.1487,0.2028,0.213,0.0498,0.0364,0.4175,0.566
SimGCL,4,176067.52978515625,0.35892820358276367,0.1466,0.176,0.2386,0.1466,0.1703,0.2297,0.2398,0.0571,0.0409,0.463,0.6055
SimGCL,5,173239.39306640625,0.35525965690612793,0.1635,0.1996,0.2631,0.1635,0.1874,0.2502,0.2596,0.0646,0.045,0.5145,0.65
SimGCL,6,170510.5625,0.35300779342651367,0.1783,0.2154,0.2838,0.1783,0.2041,0.2721,0.2813,0.0697,0.0484,0.5475,0.6815
SimGCL,7,169186.67822265625,0.35799098014831543,0.1921,0.2314,0.3022,0.1921,0.2185,0.2904,0.299,0.0753,0.0514,0.5755,0.7005
SimGCL,8,166916.19189453125,0.35440754890441895,0.2046,0.246,0.3149,0.2046,0.2306,0.308,0.3165,0.0799,0.0536,0.6,0.723
SimGCL,9,165076.50146484375,0.3542764186859131,0.216,0.2584,0.326,0.216,0.2418,0.3242,0.3325,0.0844,0.0558,0.6215,0.743
SimGCL,10,164187.94677734375,0.3606376647949219,0.2266,0.2695,0.3363,0.2266,0.2524,0.339,0.3476,0.088,0.058,0.638,0.764
SimGCL,11,163120.98486328125,0.35509228706359863,0.2346,0.2762,0.3477,0.2346,0.2622,0.3509,0.3598,0.0905,0.0603,0.6485,0.777
SimGCL,12,162357.85107421875,0.35553789138793945,0.2422,0.2839,0.3595,0.2422,0.2715,0.3607,0.3699,0.0934,0.0625,0.662,0.791
SimGCL,13,161107.67333984375,0.35471367835998535,0.2498,0.293,0.3677,0.2498,0.2787,0.3691,0.3775,0.0971,0.0641,0.6815,0.801
SimGCL,14,160755.263671875,0.3549189567565918,0.2565,0.3017,0.3761,0.2565,0.2852,0.3774,0.3858,0.1001,0.0656,0.6925,0.8105
SimGCL,15,160128.56591796875,0.3552229404449463,0.264,0.31,0.3854,0.264,0.2934,0.3871,0.3953,0.1028,0.0676,0.704,0.8205
SimGCL,16,159474.18994140625,0.35604095458984375,0.2701,0.3162,0.3927,0.2701,0.3001,0.3965,0.4045,0.105,0.0691,0.715,0.8295
SimGCL,17,158538.78125,0.35647082328796387,0.2758,0.3233,0.4,0.2758,0.3059,0.4031,0.4111,0.1075,0.0706,0.7255,0.8385
SimGCL,18,158241.86767578125,0.35599613189697266,0.2811,0.3283,0.4051,0.2811,0.3115,0.4111,0.4191,0.1091,0.0717,0.732,0.8445
SimGCL,19,157489.3154296875,0.35532045364379883,0.2849,0.3332,0.4109,0.2849,0.3157,0.4155,0.4229,0.1112,0.0729,0.7435,0.8465
SimGCL,20,157790.73681640625,0.3535749912261963,0.2901,0.339,0.4165,0.2901,0.3209,0.4222,0.4292,0.1134,0.074,0.7535,0.8515
SimGCL,21,156499.39453125,0.3537027835845947,0.2936,0.3436,0.4206,0.2936,0.3243,0.4261,0.4332,0.1148,0.0748,0.7565,0.856
SimGCL,22,156451.8173828125,0.3581390380859375,0.2969,0.3476,0.4268,0.2969,0.3285,0.4299,0.4367,0.1166,0.0761,0.7645,0.86
SimGCL,23,156130.021484375,0.3556482791900635,0.3009,0.3515,0.4315,0.3009,0.3325,0.4355,0.4421,0.1185,0.0769,0.7705,0.864
SimGCL,24,155590.89501953125,0.35443735122680664,0.3037,0.3536,0.4353,0.3037,0.336,0.4375,0.4445,0.1194,0.0777,0.7695,0.866
SimGCL,25,155932.5693359375,0.35421228408813477,0.3064,0.3566,0.4415,0.3064,0.3399,0.4411,0.4484,0.1203,0.079,0.7705,0.873
SimGCL,26,155085.07568359375,0.4860966205596924,0.3088,0.3592,0.4451,0.3088,0.3429,0.4445,0.4518,0.1214,0.0798,0.7765,0.881
SimGCL,27,154924.2646484375,0.35285329818725586,0.3116,0.3613,0.4491,0.3116,0.3463,0.4484,0.4556,0.1223,0.0806,0.779,0.881
SimGCL,28,155158.76416015625,0.36237454414367676,0.3143,0.3646,0.4529,0.3143,0.3492,0.4519,0.4589,0.1236,0.0815,0.7865,0.8865
SimGCL,29,154536.42626953125,0.35440659523010254,0.3162,0.366,0.4553,0.3162,0.3517,0.4538,0.461,0.1241,0.0822,0.7855,0.8875
SimGCL,30,153900.1748046875,0.3573493957519531,0.3188,0.3699,0.4588,0.3188,0.3542,0.4566,0.4637,0.1255,0.0828,0.789,0.889
SimGCL,31,153913.4951171875,0.3565800189971924,0.3213,0.3725,0.4628,0.3213,0.3572,0.4603,0.4674,0.1265,0.0837,0.7925,0.8925
SimGCL,32,153653.09423828125,0.3571181297302246,0.3221,0.3741,0.4645,0.3221,0.3582,0.4607,0.4678,0.1271,0.0841,0.7945,0.8955
SimGCL,33,153626.6318359375,0.35347676277160645,0.3251,0.3778,0.4681,0.3251,0.361,0.464,0.4711,0.1287,0.0849,0.797,0.898
SimGCL,34,153443.015625,0.3544907569885254,0.3257,0.3783,0.4705,0.3257,0.3625,0.4642,0.4715,0.1287,0.0853,0.7965,0.8995
SimGCL,35,153237.23046875,0.35358738899230957,0.3267,0.3797,0.473,0.3267,0.3639,0.4642,0.4716,0.1295,0.0858,0.796,0.9
SimGCL,36,153489.22119140625,0.35336780548095703,0.3283,0.3812,0.4744,0.3283,0.3656,0.4665,0.4738,0.1299,0.0862,0.799,0.903
SimGCL,37,153339.53125,0.3554999828338623,0.33,0.3829,0.4761,0.33,0.3674,0.4689,0.4762,0.1306,0.0865,0.8,0.902
SimGCL,38,152788.49462890625,0.35646581649780273,0.3314,0.3852,0.4781,0.3314,0.3688,0.4702,0.4774,0.1313,0.087,0.8045,0.9065
SimGCL,39,152343.4248046875,0.35678911209106445,0.3331,0.3877,0.4803,0.3331,0.3703,0.471,0.4782,0.1323,0.0874,0.805,0.9065
SimGCL,40,152585.59375,0.35772275924682617,0.333,0.3874,0.4822,0.333,0.3713,0.4706,0.4779,0.1321,0.0879,0.8055,0.907
SimGCL,41,151999.11767578125,0.3557441234588623,0.3359,0.3911,0.4848,0.3359,0.3737,0.4733,0.4805,0.1337,0.0885,0.8095,0.9115
