Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,6.235332667827606,0.3502824306488037,0.1075,0.1625,0.2175,0.1075,0.1227,0.0995,0.1048,0.0201,0.0142,0.198,0.2765
CSGCN,2,6.233112931251526,0.13733363151550293,0.1334,0.2009,0.2579,0.1334,0.1491,0.1258,0.131,0.0258,0.017,0.251,0.327
CSGCN,3,6.2305868268013,0.13611793518066406,0.1553,0.2302,0.297,0.1553,0.174,0.1468,0.1531,0.0299,0.0202,0.289,0.383
CSGCN,4,6.227358400821686,0.13528156280517578,0.1779,0.2577,0.3297,0.1779,0.1981,0.1711,0.1781,0.0339,0.0225,0.3235,0.4255
CSGCN,5,6.223277509212494,0.13527393341064453,0.1961,0.2835,0.3647,0.1961,0.2188,0.1897,0.1973,0.0374,0.025,0.358,0.4705
CSGCN,6,6.218254804611206,0.13509464263916016,0.2106,0.303,0.3888,0.2106,0.2349,0.2053,0.2134,0.0401,0.0267,0.382,0.4985
CSGCN,7,6.212059020996094,0.1350255012512207,0.2255,0.3238,0.411,0.2255,0.2503,0.2201,0.2281,0.0429,0.0284,0.4085,0.5225
CSGCN,8,6.204724609851837,0.13564467430114746,0.2371,0.3395,0.429,0.2371,0.2628,0.2317,0.2399,0.0448,0.0297,0.4265,0.542
CSGCN,9,6.195884704589844,0.13637280464172363,0.2459,0.3521,0.4424,0.2459,0.2719,0.2402,0.2485,0.0468,0.0308,0.4425,0.5615
CSGCN,10,6.185305535793304,0.13494467735290527,0.2547,0.3641,0.4457,0.2547,0.2782,0.2495,0.257,0.0486,0.031,0.459,0.5655
CSGCN,11,6.173745930194855,0.13482379913330078,0.2607,0.376,0.4513,0.2607,0.2824,0.2536,0.2606,0.0502,0.0315,0.471,0.571
CSGCN,12,6.15944766998291,0.13586783409118652,0.2616,0.3746,0.4584,0.2616,0.2857,0.2562,0.2639,0.0502,0.032,0.4695,0.579
CSGCN,13,6.144985854625702,0.13511037826538086,0.2653,0.3778,0.4625,0.2653,0.2896,0.2606,0.2681,0.0505,0.0323,0.4755,0.5845
CSGCN,14,6.126655280590057,0.1361985206604004,0.2682,0.3838,0.4638,0.2682,0.2913,0.2628,0.2699,0.0514,0.0324,0.483,0.5875
CSGCN,15,6.107304215431213,0.14315056800842285,0.2728,0.3927,0.4703,0.2728,0.295,0.2657,0.2725,0.0527,0.0328,0.492,0.5925
CSGCN,16,6.086973965167999,0.13993191719055176,0.2733,0.3911,0.4728,0.2733,0.2967,0.2666,0.2739,0.0525,0.0331,0.49,0.596
CSGCN,17,6.063568651676178,0.1363677978515625,0.2748,0.3914,0.4764,0.2748,0.2993,0.2687,0.2764,0.0525,0.0333,0.49,0.6
CSGCN,18,6.0387202501297,0.13563847541809082,0.276,0.3926,0.4759,0.276,0.2998,0.2703,0.2776,0.0529,0.0332,0.494,0.599
CSGCN,19,6.013023138046265,0.1363389492034912,0.2793,0.3955,0.4793,0.2793,0.3035,0.2738,0.2814,0.0532,0.0336,0.496,0.6055
CSGCN,20,5.982540547847748,0.13672685623168945,0.2778,0.3965,0.4812,0.2778,0.3021,0.2718,0.2792,0.0536,0.0338,0.5,0.608
CSGCN,21,5.952254295349121,0.13592815399169922,0.2789,0.3977,0.4846,0.2789,0.3036,0.2734,0.281,0.0539,0.0339,0.501,0.611
CSGCN,22,5.918732643127441,0.13574767112731934,0.2796,0.3988,0.4872,0.2796,0.3046,0.274,0.2818,0.0541,0.034,0.5015,0.6135
CSGCN,23,5.884815275669098,0.13722586631774902,0.2787,0.397,0.4879,0.2787,0.3044,0.2734,0.2814,0.0539,0.0341,0.4995,0.614
CSGCN,24,5.847503840923309,0.13474464416503906,0.2762,0.3963,0.4878,0.2762,0.3022,0.2697,0.2777,0.0538,0.0341,0.5005,0.615
CSGCN,25,5.808459639549255,0.2542083263397217,0.2745,0.3953,0.4875,0.2745,0.3006,0.2675,0.2755,0.0537,0.0341,0.499,0.6135
CSGCN,26,5.769885838031769,0.13864469528198242,0.2745,0.3952,0.4857,0.2745,0.3001,0.2673,0.2751,0.0538,0.034,0.501,0.611
CSGCN,27,5.727910280227661,0.13701653480529785,0.2757,0.3962,0.4867,0.2757,0.3013,0.2686,0.2764,0.0539,0.034,0.5,0.6125
CSGCN,28,5.685250818729401,0.13973021507263184,0.2754,0.396,0.4871,0.2754,0.3009,0.2688,0.2764,0.0539,0.034,0.501,0.6125
CSGCN,29,5.639271438121796,0.13766884803771973,0.2753,0.3957,0.483,0.2753,0.2998,0.2692,0.2763,0.0539,0.0337,0.5015,0.606
CSGCN,30,5.590369999408722,0.13555908203125,0.275,0.3954,0.4806,0.275,0.299,0.269,0.2759,0.0537,0.0335,0.5015,0.601
CSGCN,31,5.546568393707275,0.1345376968383789,0.2751,0.396,0.4787,0.2751,0.2986,0.269,0.2758,0.0536,0.0335,0.5015,0.6
CSGCN,32,5.491121053695679,0.1352405548095703,0.2739,0.3923,0.4776,0.2739,0.2981,0.2685,0.2755,0.0532,0.0333,0.4965,0.5985
CSGCN,33,5.4409738183021545,0.13585138320922852,0.272,0.3905,0.4761,0.272,0.2962,0.2655,0.2726,0.0531,0.0332,0.4945,0.5965
