Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,11.014486104249954,0.7871241569519043,0.1663,0.2003,0.2649,0.1663,0.1909,0.2606,0.2693,0.0682,0.0475,0.534,0.6605
MHCN,2,8.693265289068222,0.5922341346740723,0.1893,0.2197,0.2882,0.1893,0.2153,0.3068,0.3159,0.0787,0.0537,0.589,0.7205
MHCN,3,7.341503828763962,0.5849478244781494,0.2079,0.235,0.3104,0.2079,0.2371,0.3394,0.3487,0.0871,0.06,0.6335,0.766
MHCN,4,6.6185387670993805,0.5846590995788574,0.2038,0.2315,0.3055,0.2038,0.2323,0.3349,0.3437,0.0862,0.0592,0.631,0.7565
MHCN,5,6.3091645538806915,0.5814595222473145,0.2048,0.2359,0.3057,0.2048,0.2319,0.3391,0.3471,0.0888,0.0601,0.6425,0.757
MHCN,6,6.008971780538559,0.5818333625793457,0.203,0.2324,0.3054,0.203,0.2311,0.3362,0.3446,0.0876,0.0599,0.635,0.7545
MHCN,7,5.776023089885712,0.5910627841949463,0.1982,0.2256,0.2994,0.1982,0.2263,0.3328,0.3415,0.0865,0.0592,0.6255,0.7485
MHCN,8,5.602112203836441,0.5793476104736328,0.1978,0.2228,0.2965,0.1978,0.2258,0.3357,0.3448,0.0856,0.0588,0.6185,0.751
MHCN,9,5.440807431936264,0.577934980392456,0.1943,0.2218,0.2917,0.1943,0.2213,0.3286,0.3377,0.0853,0.0585,0.617,0.7485
MHCN,10,5.354446992278099,0.5774521827697754,0.1952,0.2244,0.2942,0.1952,0.2224,0.3297,0.338,0.087,0.0596,0.634,0.7525
MHCN,11,5.179974123835564,0.5796158313751221,0.1913,0.2164,0.2907,0.1913,0.2202,0.3276,0.3368,0.084,0.0591,0.612,0.7445
MHCN,12,5.125240445137024,0.5773961544036865,0.1883,0.2133,0.2879,0.1883,0.2171,0.3213,0.3301,0.0832,0.0585,0.612,0.7395
MHCN,13,5.025973320007324,0.5774052143096924,0.188,0.2147,0.2904,0.188,0.2177,0.3208,0.3301,0.084,0.0593,0.612,0.7455
MHCN,14,4.938026309013367,0.5776185989379883,0.1859,0.2084,0.2854,0.1859,0.2154,0.3201,0.3298,0.0818,0.0579,0.6,0.7375
