Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,13.243132591247559,0.47125935554504395,0.0122,0.0175,0.0309,0.0122,0.0171,0.0191,0.022,0.0063,0.0057,0.0625,0.108
ASLGCN,2,13.23938113451004,0.38614916801452637,0.0132,0.019,0.0339,0.0132,0.0187,0.0209,0.0242,0.0068,0.0063,0.0675,0.119
ASLGCN,3,13.23550271987915,0.26732969284057617,0.0138,0.02,0.0358,0.0138,0.0197,0.0219,0.0258,0.0069,0.0065,0.0685,0.1235
ASLGCN,4,13.230840623378754,0.260453462600708,0.015,0.0215,0.0384,0.015,0.0212,0.0242,0.028,0.0076,0.007,0.075,0.1315
ASLGCN,5,13.225351750850677,0.2555837631225586,0.0165,0.0226,0.0425,0.0165,0.0236,0.0277,0.0321,0.0078,0.0074,0.0765,0.1415
ASLGCN,6,13.218621611595154,0.2551853656768799,0.0188,0.0257,0.0454,0.0188,0.0258,0.0313,0.0355,0.0089,0.0078,0.0865,0.1485
ASLGCN,7,13.210537314414978,0.2541310787200928,0.0206,0.0287,0.0518,0.0206,0.0284,0.0333,0.0377,0.0098,0.0085,0.095,0.161
ASLGCN,8,13.200605392456055,0.25497937202453613,0.0217,0.0301,0.052,0.0217,0.0294,0.0348,0.0393,0.01,0.0086,0.097,0.163
ASLGCN,9,13.188878297805786,0.25455141067504883,0.0226,0.0316,0.0556,0.0226,0.0309,0.0357,0.0405,0.0104,0.0091,0.101,0.1725
ASLGCN,10,13.174712538719177,0.2540578842163086,0.0217,0.0304,0.0563,0.0217,0.0306,0.0339,0.0389,0.0103,0.0092,0.1,0.1725
ASLGCN,11,13.158522009849548,0.25640416145324707,0.0229,0.0328,0.0583,0.0229,0.0317,0.0349,0.0398,0.0109,0.0095,0.107,0.181
ASLGCN,12,13.13966166973114,0.2584106922149658,0.0237,0.034,0.0572,0.0237,0.0318,0.0366,0.0411,0.011,0.0093,0.108,0.174
ASLGCN,13,13.11806857585907,0.258512020111084,0.0237,0.0343,0.063,0.0237,0.0334,0.036,0.0413,0.011,0.01,0.107,0.1885
ASLGCN,14,13.093532681465149,0.2584042549133301,0.0244,0.0353,0.0633,0.0244,0.034,0.0369,0.0421,0.0112,0.01,0.109,0.187
ASLGCN,15,13.065662205219269,0.25669288635253906,0.025,0.0363,0.0638,0.025,0.0345,0.0378,0.0431,0.0114,0.0101,0.11,0.1885
