Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,6.926824986934662,0.3701138496398926,0.2578,0.3489,0.4251,0.2578,0.2795,0.2628,0.2693,0.0487,0.0305,0.4497,0.5448
HAGN,2,6.92201966047287,0.15185332298278809,0.2989,0.3979,0.4807,0.2989,0.3228,0.31,0.3173,0.0573,0.0357,0.5138,0.6198
HAGN,3,6.915712475776672,0.1511387825012207,0.3271,0.4333,0.5149,0.3271,0.3508,0.3403,0.3477,0.0634,0.0387,0.5583,0.6628
HAGN,4,6.906678199768066,0.15065288543701172,0.3404,0.4493,0.5365,0.3404,0.3662,0.3568,0.3644,0.0662,0.0411,0.5803,0.6898
HAGN,5,6.894764482975006,0.15142464637756348,0.3466,0.459,0.5495,0.3466,0.3736,0.3616,0.3693,0.0683,0.0427,0.5958,0.7069
HAGN,6,6.878874599933624,0.16493988037109375,0.3505,0.4639,0.5583,0.3505,0.3782,0.364,0.3717,0.0696,0.0434,0.6018,0.7134
HAGN,7,6.858070135116577,0.15116143226623535,0.3522,0.4664,0.5608,0.3522,0.3802,0.3662,0.3744,0.07,0.0438,0.6008,0.7174
HAGN,8,6.832855224609375,0.15912938117980957,0.3507,0.4678,0.5605,0.3507,0.3782,0.3632,0.371,0.0702,0.0439,0.6028,0.7164
HAGN,9,6.801553785800934,0.15863609313964844,0.3474,0.4609,0.5547,0.3474,0.3753,0.361,0.3689,0.0696,0.0437,0.5958,0.7104
HAGN,10,6.765686929225922,0.15041160583496094,0.3436,0.4544,0.5574,0.3436,0.374,0.358,0.3664,0.0687,0.0439,0.5893,0.7109
HAGN,11,6.722614049911499,0.14874029159545898,0.3402,0.4486,0.5562,0.3402,0.3717,0.3564,0.3654,0.0681,0.0437,0.5823,0.7109
HAGN,12,6.675107836723328,0.14986729621887207,0.3353,0.4442,0.5542,0.3353,0.3675,0.3512,0.3604,0.0674,0.0435,0.5773,0.7094
HAGN,13,6.617792725563049,0.15694069862365723,0.3323,0.4434,0.5483,0.3323,0.3631,0.3473,0.3562,0.0669,0.043,0.5753,0.7044
HAGN,14,6.559548199176788,0.1599898338317871,0.3272,0.4372,0.5438,0.3272,0.3587,0.3417,0.3508,0.0659,0.0427,0.5668,0.6983
HAGN,15,6.48993992805481,0.14994096755981445,0.3232,0.4316,0.5378,0.3232,0.3546,0.3377,0.3467,0.0651,0.0423,0.5643,0.6938
HAGN,16,6.419883847236633,0.14959478378295898,0.32,0.4282,0.5359,0.32,0.3517,0.3343,0.3434,0.0646,0.0421,0.5588,0.6903
HAGN,17,6.339424252510071,0.14983153343200684,0.316,0.4253,0.5326,0.316,0.3477,0.3293,0.3382,0.0642,0.0419,0.5578,0.6863
HAGN,18,6.2625404596328735,0.15416932106018066,0.3133,0.4232,0.5257,0.3133,0.3436,0.3262,0.3348,0.0638,0.0414,0.5553,0.6783
