Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,6.926888048648834,0.3137333393096924,0.2536,0.3379,0.403,0.2536,0.2725,0.2677,0.2733,0.0485,0.0299,0.4497,0.5328
LightGCN,2,6.922370076179504,0.13282203674316406,0.3012,0.3921,0.464,0.3012,0.3225,0.3218,0.3279,0.0581,0.0357,0.5173,0.6043
LightGCN,3,6.91636735200882,0.1345837116241455,0.3336,0.4368,0.513,0.3336,0.3563,0.3543,0.3602,0.0664,0.0404,0.5733,0.6608
LightGCN,4,6.908371388912201,0.13371920585632324,0.3569,0.4681,0.5522,0.3569,0.3816,0.3779,0.3846,0.0728,0.0439,0.6098,0.7064
LightGCN,5,6.897557199001312,0.13312053680419922,0.3751,0.4956,0.5814,0.3751,0.4002,0.3962,0.4026,0.0781,0.0466,0.6473,0.7399
LightGCN,6,6.883039832115173,0.13158249855041504,0.3917,0.5145,0.602,0.3917,0.4178,0.4131,0.4195,0.0813,0.0488,0.6728,0.7624
LightGCN,7,6.8655383586883545,0.1377711296081543,0.4043,0.5357,0.6181,0.4043,0.4293,0.4245,0.4303,0.085,0.0505,0.6963,0.7789
LightGCN,8,6.843251407146454,0.13393235206604004,0.4114,0.5439,0.6292,0.4114,0.4372,0.4324,0.4384,0.087,0.0518,0.7054,0.7889
LightGCN,9,6.817689061164856,0.13350248336791992,0.418,0.5513,0.6358,0.418,0.4437,0.4397,0.4454,0.0884,0.0526,0.7144,0.7939
LightGCN,10,6.786180853843689,0.13216876983642578,0.4221,0.555,0.6401,0.4221,0.4481,0.4445,0.4503,0.0893,0.0531,0.7169,0.7974
LightGCN,11,6.752847492694855,0.13231372833251953,0.4261,0.5613,0.645,0.4261,0.4515,0.4473,0.4529,0.0905,0.0536,0.7234,0.8024
LightGCN,12,6.713026642799377,0.13051319122314453,0.4296,0.5615,0.6463,0.4296,0.4553,0.4523,0.4577,0.091,0.0538,0.7269,0.8039
LightGCN,13,6.667090356349945,0.13078975677490234,0.4293,0.5621,0.6505,0.4293,0.4559,0.4516,0.4572,0.0913,0.0542,0.7274,0.8069
LightGCN,14,6.618449509143829,0.13023114204406738,0.4315,0.565,0.6468,0.4315,0.4562,0.4539,0.4588,0.092,0.0541,0.7324,0.8034
LightGCN,15,6.56443589925766,0.130842924118042,0.4317,0.562,0.6508,0.4317,0.4584,0.4555,0.4611,0.0918,0.0545,0.7274,0.8059
LightGCN,16,6.504326045513153,0.13051414489746094,0.4335,0.5647,0.6517,0.4335,0.4597,0.4573,0.4625,0.0922,0.0547,0.7324,0.8079
LightGCN,17,6.440235495567322,0.1322004795074463,0.4339,0.5663,0.6515,0.4339,0.4597,0.4573,0.4625,0.0924,0.0547,0.7324,0.8079
LightGCN,18,6.37421041727066,0.13209748268127441,0.434,0.5638,0.6518,0.434,0.4606,0.459,0.4642,0.0921,0.0548,0.7319,0.8084
LightGCN,19,6.302401125431061,0.1302809715270996,0.4329,0.5618,0.6509,0.4329,0.4599,0.4582,0.4638,0.0918,0.0548,0.7269,0.8069
LightGCN,20,6.227308034896851,0.12999367713928223,0.4331,0.5606,0.6507,0.4331,0.4604,0.4588,0.4646,0.0917,0.0548,0.7244,0.8064
LightGCN,21,6.151319324970245,0.13233375549316406,0.4343,0.5601,0.6526,0.4343,0.4623,0.4603,0.4664,0.0918,0.0549,0.7229,0.8089
LightGCN,22,6.070778667926788,0.13216090202331543,0.4333,0.5597,0.6521,0.4333,0.4612,0.4592,0.4653,0.0917,0.055,0.7219,0.8079
LightGCN,23,5.98196804523468,0.13235998153686523,0.4326,0.5612,0.6511,0.4326,0.4597,0.4579,0.4639,0.0919,0.0548,0.7244,0.8094
LightGCN,24,5.897711336612701,0.1314983367919922,0.4325,0.5622,0.6521,0.4325,0.4594,0.4569,0.4627,0.0923,0.0548,0.7259,0.8099
LightGCN,25,5.804768443107605,0.24639296531677246,0.4304,0.5591,0.6511,0.4304,0.4581,0.4555,0.4615,0.0915,0.0548,0.7234,0.8089
LightGCN,26,5.712205529212952,0.1313796043395996,0.4303,0.5577,0.6502,0.4303,0.4583,0.4562,0.4623,0.0914,0.0548,0.7229,0.8089
LightGCN,27,5.614244639873505,0.13138246536254883,0.431,0.5596,0.651,0.431,0.4587,0.457,0.463,0.0915,0.0549,0.7229,0.8094
LightGCN,28,5.5246371030807495,0.13202714920043945,0.4303,0.5574,0.6511,0.4303,0.4586,0.4564,0.4626,0.0912,0.0549,0.7209,0.8099
LightGCN,29,5.423983514308929,0.13202571868896484,0.4311,0.5583,0.6505,0.4311,0.4591,0.4576,0.4634,0.0912,0.0549,0.7229,0.8079
LightGCN,30,5.329891085624695,0.1313619613647461,0.4321,0.5589,0.65,0.4321,0.4598,0.4588,0.4648,0.0913,0.0548,0.7229,0.8089
LightGCN,31,5.216424107551575,0.13330841064453125,0.4316,0.5585,0.6483,0.4316,0.4591,0.4581,0.464,0.0911,0.0548,0.7229,0.8069
LightGCN,32,5.122081816196442,0.13065052032470703,0.4313,0.5579,0.6473,0.4313,0.4588,0.4586,0.4645,0.091,0.0548,0.7219,0.8049
