Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,9.512975662946701,0.7675778865814209,0.1876,0.2214,0.2883,0.1876,0.2133,0.2953,0.3045,0.0755,0.0519,0.5825,0.713
MHCN,2,7.404627293348312,0.5785713195800781,0.2076,0.2415,0.3125,0.2076,0.235,0.3313,0.3405,0.0855,0.0584,0.6275,0.761
MHCN,3,6.621292561292648,0.5770013332366943,0.2122,0.2474,0.3197,0.2122,0.2405,0.3424,0.3515,0.0889,0.0609,0.6525,0.783
MHCN,4,6.155585139989853,0.5798382759094238,0.209,0.2412,0.3147,0.209,0.2377,0.3408,0.3502,0.0878,0.06,0.636,0.768
MHCN,5,5.795696407556534,0.5784316062927246,0.2096,0.2384,0.3142,0.2096,0.2391,0.3479,0.357,0.0875,0.0609,0.638,0.7705
MHCN,6,5.564663603901863,0.5782642364501953,0.2102,0.2389,0.3104,0.2102,0.2379,0.3466,0.3555,0.0882,0.06,0.6415,0.767
MHCN,7,5.389284536242485,0.5849461555480957,0.2078,0.2363,0.3118,0.2078,0.2371,0.3439,0.3536,0.0883,0.061,0.6365,0.775
MHCN,8,5.205425173044205,0.5780808925628662,0.211,0.24,0.3108,0.211,0.2384,0.3486,0.357,0.091,0.0614,0.657,0.7755
MHCN,9,5.0846317410469055,0.5778143405914307,0.2073,0.2357,0.3108,0.2073,0.2363,0.3471,0.3563,0.0891,0.0614,0.645,0.7755
MHCN,10,4.90483184158802,0.5768172740936279,0.2043,0.2336,0.3072,0.2043,0.2327,0.3375,0.3463,0.089,0.0609,0.644,0.77
MHCN,11,4.826066970825195,0.5776159763336182,0.2007,0.2301,0.3054,0.2007,0.2297,0.3317,0.341,0.0872,0.0603,0.629,0.7635
MHCN,12,4.731733784079552,0.5773561000823975,0.2048,0.2326,0.3007,0.2048,0.2311,0.3426,0.3508,0.0877,0.0593,0.6365,0.7545
MHCN,13,4.6585337817668915,0.5786712169647217,0.1996,0.231,0.3065,0.1996,0.2291,0.3284,0.3372,0.0873,0.0608,0.638,0.7635
MHCN,14,4.595947206020355,0.5772449970245361,0.1971,0.2264,0.2968,0.1971,0.2246,0.3287,0.3372,0.087,0.0596,0.6365,0.756
