Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,34646.840087890625,0.2947733402252197,0.4144,0.4668,0.5759,0.4144,0.4591,0.588,0.5916,0.1834,0.1193,0.912,0.962
SimGCL,2,32539.404541015625,0.08881306648254395,0.4373,0.4925,0.5988,0.4373,0.4811,0.6067,0.6104,0.1958,0.1248,0.922,0.972
SimGCL,3,32067.4951171875,0.08573698997497559,0.4575,0.521,0.6351,0.4575,0.5037,0.6175,0.6194,0.21,0.1332,0.944,0.972
SimGCL,4,31534.49169921875,0.08510780334472656,0.4763,0.5426,0.6553,0.4763,0.5228,0.6367,0.6392,0.2182,0.1387,0.948,0.984
SimGCL,5,31348.998779296875,0.08784127235412598,0.4888,0.5621,0.6752,0.4888,0.5358,0.6395,0.6414,0.2276,0.144,0.956,0.982
SimGCL,6,30819.26171875,0.08649039268493652,0.5018,0.5807,0.6918,0.5018,0.5482,0.6452,0.6472,0.2356,0.1481,0.962,0.99
SimGCL,7,30704.347900390625,0.09316205978393555,0.5137,0.5968,0.7075,0.5137,0.5598,0.6488,0.6506,0.2436,0.1521,0.966,0.992
SimGCL,8,30665.922607421875,0.08705973625183105,0.5234,0.6089,0.7183,0.5234,0.5692,0.6538,0.6556,0.2496,0.155,0.968,0.992
SimGCL,9,30417.6435546875,0.0878455638885498,0.53,0.6178,0.7308,0.53,0.5774,0.6559,0.6577,0.254,0.1581,0.972,0.996
SimGCL,10,30239.149169921875,0.08632683753967285,0.5395,0.6328,0.7384,0.5395,0.5835,0.6577,0.6591,0.262,0.16,0.976,0.996
SimGCL,11,30129.14404296875,0.08620691299438477,0.5444,0.6389,0.7445,0.5444,0.5887,0.6598,0.661,0.2648,0.1618,0.98,0.996
SimGCL,12,30217.2333984375,0.085662841796875,0.5517,0.6514,0.7542,0.5517,0.5943,0.6579,0.659,0.2722,0.1645,0.984,1.0
SimGCL,13,29757.6220703125,0.08559417724609375,0.5573,0.6597,0.759,0.5573,0.599,0.6618,0.6628,0.2756,0.1659,0.986,1.0
