Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,99868.52124023438,0.40139126777648926,0.1822,0.261,0.3311,0.1822,0.2035,0.193,0.2005,0.0418,0.028,0.3885,0.497
SimGCL,2,92595.21411132812,0.2164475917816162,0.2346,0.3314,0.4052,0.2346,0.2572,0.2504,0.2573,0.0544,0.0347,0.492,0.591
SimGCL,3,89741.23583984375,0.20404267311096191,0.2742,0.3742,0.4539,0.2742,0.299,0.296,0.3038,0.0616,0.0393,0.545,0.656
SimGCL,4,87594.31103515625,0.19820284843444824,0.3049,0.4117,0.4979,0.3049,0.3319,0.3305,0.3388,0.0684,0.0436,0.5925,0.7095
SimGCL,5,86257.423828125,0.21272850036621094,0.3313,0.444,0.5307,0.3313,0.3589,0.3593,0.3671,0.0741,0.047,0.634,0.7455
SimGCL,6,84997.39697265625,0.20178437232971191,0.3526,0.4676,0.5561,0.3526,0.381,0.3837,0.3914,0.0789,0.0498,0.6645,0.773
SimGCL,7,84234.119140625,0.20108604431152344,0.371,0.4919,0.5774,0.371,0.3984,0.4023,0.4097,0.0838,0.0519,0.6935,0.7985
SimGCL,8,83491.31420898438,0.19527339935302734,0.3897,0.5127,0.599,0.3897,0.4175,0.424,0.4309,0.0879,0.0542,0.7225,0.8225
SimGCL,9,83176.67846679688,0.1938633918762207,0.4052,0.5296,0.6132,0.4052,0.4326,0.4402,0.4475,0.0911,0.0558,0.7355,0.839
SimGCL,10,82602.80297851562,0.1937236785888672,0.4178,0.5409,0.6233,0.4178,0.4449,0.4545,0.4617,0.0939,0.0571,0.749,0.849
SimGCL,11,82034.37353515625,0.19328880310058594,0.4302,0.5567,0.637,0.4302,0.4567,0.4677,0.4744,0.0971,0.0587,0.7695,0.8645
SimGCL,12,81915.43603515625,0.19327998161315918,0.4412,0.5693,0.6497,0.4412,0.4675,0.479,0.4851,0.0999,0.06,0.7855,0.874
